filename,title,text,len
01-Cover.pdf,01-Cover,Ian F. Darwin   \nFourth \n Edition\nJava  \n Cookbook\nProblems and Solutions  \nfor Java Developers\nIan F. Darwin\nJava Cookbook\nProblems and Solutions for Java DevelopersFOURTH EDITION,189
02-Copyright.pdf,02-Copyright,"978-1-492-07258-4\n[LSI]Java Cookbook\nby Ian F. Darwin\nCopyright © 2020 RejmiNet Group, Inc. All rights reserved.\nPrinted in the United States of America.\nPublished by O’Reilly Media, Inc., 1005 Gravenstein Highway North, Sebastopol, CA 95472.\nO’Reilly books may be purchased for educational, business, or sales promotional use. Online editions are\nalso available for most titles ( http://oreilly.com ). For more information, contact our corporate/institutional\nsales department: 800-998-9938 or corporate@oreilly.com .\nAcquisition Editor:  Zan McQuade\nDevelopment Editor:  Corbin Collins\nProduction Editor:  Beth Kelly\nCopyeditor:  Amanda Kersey\nProofreader:  Charles RoumeliotisIndexer:  Potomac Indexing, LLC\nInterior Designer:  David Futato\nCover Designer:  Karen Montgomery\nIllustrator:  Rebecca Demarest\nJune 2001:  First Edition\nJune 2004:  Second Edition\nJuly 2014:  Third Edition\nMarch 2020:  Fourth Edition\nRevision History for the Fourth Edition\n2020-03-17: First Release\nSee http://oreilly.com/catalog/errata.csp?isbn=9781492072584  for release details.\nThe O’Reilly logo is a registered trademark of O’Reilly Media, Inc. Java Cookbook , the cover image, and\nrelated trade dress are trademarks of O’Reilly Media, Inc.\nThe views expressed in this work are those of the author, and do not represent the publisher’s views.\nWhile the publisher and the author have used good faith efforts to ensure that the information and\ninstructions contained in this work are accurate, the publisher and the author disclaim all responsibility\nfor errors or omissions, including without limitation responsibility for damages resulting from the use of\nor reliance on this work. Use of the information and instructions contained in this work is at your own\nrisk. If any code samples or other technology this work contains or describes is subject to open source\nlicenses or the intellectual property rights of others, it is your responsibility to ensure that your use\nthereof complies with such licenses and/or rights.\nIn Memoriam\nAndrej Cerar Darwin 1989-2014\nSon, friend, fellow writer, and craftsman.",2129
03-Table of Contents.pdf,03-Table of Contents,"Table of Contents\nPreface. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  xiii\n1.Getting Started: Compiling and Running Java. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  1\n1.0 Introduction                                                                                                                 1\n1.1 Compiling and Running Java: Standard JDK                                                          2\n1.2 Compiling and Running Java: GraalVM for Better Performance                        3\n1.3 Compiling, Running, and Testing with an IDE                                                       5\n1.4 Exploring Java with JShell                                                                                        11\n1.5 Using CLASSPATH Effectively                                                                                13\n1.6 Downloading and Using the Code Examples                                                        15\n1.7 Automating Dependencies, Compilation, Testing, and Deployment with\nApache Maven                                                                                                              23\n1.8 Automating Dependencies, Compilation, Testing, and Deployment with\nGradle                                                                                                                             27\n1.9 Dealing with Deprecation Warnings                                                                      29\n1.10 Maintaining Code Correctness with Unit Testing: JUnit                                   31\n1.11 Maintaining Y our Code with Continuous Integration                                       34\n1.12 Getting Readable Stack Traces                                                                               38\n1.13 Finding More Java Source Code                                                                            39\n1.14 Finding Runnable Java Libraries                                                                           40\n2.Interacting with the Environment. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  43\n2.0 Introduction                                                                                                               43\n2.1 Getting Environment Variables                                                                               43\n2.2 Getting Information from System Properties                                                       44\n2.3 Dealing with Code That Depends on the Java Version or the Operating\nSystem                                                                                                                            46\nv\n2.4 Using Extensions or Other Packaged APIs                                                            51\n2.5 Using the Java Modules System                                                                               52\n3.Strings and Things. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  57\n3.0 Introduction                                                                                                               57\n3.1 Taking Strings Apart with Substrings or Tokenizing                                            60\n3.2 Putting Strings Together with StringBuilder                                                         65\n3.3 Processing a String One Character at a Time                                                        67\n3.4 Aligning, Indenting, and Unindenting Strings                                                      69\n3.5 Converting Between Unicode Characters and Strings                                         73\n3.6 Reversing a String by Word or by Character                                                         75\n3.7 Expanding and Compressing Tabs                                                                          76\n3.8 Controlling Case                                                                                                        81\n3.9 Entering Nonprintable Characters                                                                          82\n3.10 Trimming Blanks from the End of a String                                                         83\n3.11 Creating a Message with I18N Resources                                                            85\n3.12 Using a Particular Locale                                                                                        88\n3.13 Creating a Resource Bundle                                                                                   89\n3.14 Program: A Simple Text Formatter                                                                       90\n3.15 Program: Soundex Name Comparisons                                                               92\n4.Pattern Matching with Regular Expressions. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  97\n4.0 Introduction                                                                                                               97\n4.1 Regular Expression Syntax                                                                                       99\n4.2 Using Regexes in Java: Test for a Pattern                                                              106\n4.3 Finding the Matching Text                                                                                     109\n4.4 Replacing the Matched Text                                                                                   112\n4.5 Printing All Occurrences of a Pattern                                                                  115\n4.6 Printing Lines Containing a Pattern                                                                     118\n4.7 Controlling Case in Regular Expressions                                                             119\n4.8 Matching Accented, or Composite, Characters                                                  120\n4.9 Matching Newlines in Text                                                                                     121\n4.10 Program: Apache Logfile Parsing                                                                        123\n4.11 Program: Full Grep                                                                                               125\n5.Numbers. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  131\n5.0 Introduction                                                                                                             131\n5.1 Checking Whether a String Is a Valid Number                                                   134\n5.2 Converting Numbers to Objects and Vice Versa                                                135\n5.3 Taking a Fraction of an Integer Without Using Floating Point                        136\n5.4 Working with Floating-Point Numbers                                                               137\nvi | Table of Contents\n5.5 Formatting Numbers                                                                                               142\n5.6 Converting Among Binary, Octal, Decimal, and Hexadecimal                        146\n5.7 Operating on a Series of Integers                                                                          147\n5.8 Formatting with Correct Plurals                                                                           149\n5.9 Generating Random Numbers                                                                              151\n5.10 Multiplying Matrices                                                                                             153\n5.11 Using Complex Numbers                                                                                     155\n5.12 Handling Very Large Numbers                                                                           158\n5.13 Program: TempConverter                                                                                    160\n5.14 Program: Number Palindromes                                                                          162\n6.Dates and Times. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  167\n6.0 Introduction                                                                                                             167\n6.1 Finding Today’s Date                                                                                               170\n6.2 Formatting Dates and Times                                                                                  172\n6.3 Converting Among Dates/Times, YMDHMS, and Epoch Seconds                 174\n6.4 Parsing Strings into Dates                                                                                      175\n6.5 Difference Between Two Dates                                                                              176\n6.6 Adding to or Subtracting from a Date                                                                  177\n6.7 Handling Recurring Events                                                                                    178\n6.8 Computing Dates Involving Time Zones                                                             181\n6.9 Interfacing with Legacy Date and Calendar Classes                                           182\n7.Structuring Data with Java. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  185\n7.0 Introduction                                                                                                             185\n7.1 Using Arrays for Data Structuring                                                                        186\n7.2 Resizing an Array                                                                                                    188\n7.3 The Collections Framework                                                                                   189\n7.4 Like an Array, but More Dynamic                                                                        190\n7.5 Using Generic Types in Y our Own Class                                                             194\n7.6 How Shall I Iterate Thee? Let Me Enumerate the Ways                                     197\n7.7 Eschewing Duplicates with a Set                                                                           201\n7.8 Structuring Data in a Linked List                                                                          202\n7.9 Mapping with Hashtable and HashMap                                                               207\n7.10 Storing Strings in Properties and Preferences                                                   209\n7.11 Sorting a Collection                                                                                               213\n7.12 Avoiding the Urge to Sort                                                                                     218\n7.13 Finding an Object in a Collection                                                                       220\n7.14 Converting a Collection to an Array                                                                  222\n7.15 Making Y our Data Iterable                                                                                   223\n7.16 Using a Stack of Objects                                                                                       226\nTable of Contents | vii\n7.17 Multidimensional Structures                                                                               229\n7.18 Simplifying Data Objects with Lombok or Record                                          231\n7.19 Program: Timing Comparisons                                                                           233\n8.Object-Oriented Techniques. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  237\n8.0 Introduction                                                                                                             237\n8.1 Object Methods: Formatting Objects with toString(), Comparing with\nEquals                                                                                                                           240\n8.2 Using Inner Classes                                                                                                 247\n8.3 Providing Callbacks via Interfaces                                                                        249\n8.4 Polymorphism/Abstract Methods                                                                         253\n8.5 Using Typesafe Enumerations                                                                               255\n8.6 Avoiding NPEs with Optional                                                                               259\n8.7 Enforcing the Singleton Pattern                                                                            261\n8.8 Roll Y our Own Exceptions                                                                                     263\n8.9 Using Dependency Injection                                                                                  265\n8.10 Program: Plotter                                                                                                    268\n9.Functional Programming Techniques: Functional Interfaces, Streams,\nand Parallel Collections. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  273\n9.0 Introduction                                                                                                             273\n9.1 Using Lambdas/Closures Instead of Inner Classes                                             276\n9.2 Using Lambda Predefined Interfaces Instead of Y our Own                              280\n9.3 Simplifying Processing with Streams                                                                   283\n9.4 Simplifying Streams with Collectors                                                                    284\n9.5 Improving Throughput with Parallel Streams and Collections                        287\n9.6 Using Existing Code as Functional with Method References                           289\n9.7 Java Mixins: Mixing in Methods                                                                           293\n10. Input and Output: Reading, Writing, and Directory Tricks. . . . . . . . . . . . . . . . . . . . . . .  297\n10.0 Introduction                                                                                                           297\n10.1 About InputStreams/OutputStreams and Readers/Writers                            299\n10.2 Reading a Text File                                                                                                301\n10.3 Reading from the Standard Input or from the Console/Controlling\nTerminal                                                                                                                      304\n10.4 Printing with Formatter and printf                                                                     308\n10.5 Scanning Input with StreamTokenizer                                                               312\n10.6 Scanning Input with the Scanner Class                                                              316\n10.7 Scanning Input with Grammatical Structure                                                    319\n10.8 Copying a File                                                                                                        324\n10.9 Reassigning the Standard Streams                                                                      325\nviii | Table of Contents\n10.10 Duplicating a Stream as It Is Written; Reassigning Standard Streams        326\n10.11 Reading/Writing a Different Character Set                                                     329\n10.12 Those Pesky End-of-Line Characters                                                               330\n10.13 Beware Platform-Dependent File Code                                                           330\n10.14 Reading/Writing Binary Data                                                                            331\n10.15 Reading and Writing JAR or ZIP Archives                                                      332\n10.16 Finding Files in a Filesystem-Neutral Way with getResource() and\ngetResourceAsStream()                                                                                             336\n10.17 Getting File Information: Files and Path                                                         338\n10.18 Creating a New File or Directory                                                                      345\n10.19 Changing a File’s Name or Other Attributes                                                   346\n10.20 Deleting a File                                                                                                      349\n10.21 Creating a Transient/Temporary File                                                               351\n10.22 Listing a Directory                                                                                              353\n10.23 Getting the Directory Roots                                                                              354\n10.24 Using the FileWatcher Service to Get Notified About File Changes            356\n10.25 Program: Save User Data to Disk                                                                      358\n10.26 Program: Find—Walking a File Tree                                                                361\n11. Data Science and R. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  367\n11.1 Machine Learning with Java                                                                                368\n11.2 Using Data In Apache Spark                                                                                369\n11.3 Using R Interactively                                                                                             372\n11.4 Comparing/Choosing an R Implementation                                                    374\n11.5 Using R from Within a Java App: Renjin                                                           375\n11.6 Using Java from Within an R Session                                                                 377\n11.7 Using FastR, the GraalVM Implementation of R                                              378\n11.8 Using R in a Web App                                                                                           380\n12. Network Clients. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  383\n12.0 Introduction                                                                                                           383\n12.1 HTTP/REST Web Client                                                                                      385\n12.2 Contacting a Socket Server                                                                                  388\n12.3 Finding and Reporting Network Addresses                                                      389\n12.4 Handling Network Errors                                                                                    391\n12.5 Reading and Writing Textual Data                                                                      392\n12.6 Reading and Writing Binary or Serialized Data                                                394\n12.7 UDP Datagrams                                                                                                     397\n12.8 URI, URL, or URN?                                                                                              400\n12.9 Program: TFTP UDP Client                                                                                401\n12.10 Program: Sockets-Based Chat Client                                                                406\nTable of Contents | ix\n12.11 Program: Simple HTTP Link Checker                                                             410\n13. Server-Side Java. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  413\n13.0 Introduction                                                                                                           413\n13.1 Opening a Server Socket for Business                                                                414\n13.2 Finding Network Interfaces                                                                                 417\n13.3 Returning a Response (String or Binary)                                                           418\n13.4 Returning Object Information Across a Network Connection                      422\n13.5 Handling Multiple Clients                                                                                    423\n13.6 Serving the HTTP Protocol                                                                                 428\n13.7 Securing a Web Server with SSL and JSSE                                                         430\n13.8 Creating a REST Service with JAX-RS                                                               433\n13.9 Network Logging                                                                                                   436\n13.10 Setting Up SLF4J                                                                                                  437\n13.11 Network Logging with Log4j                                                                             439\n13.12 Network Logging with java.util.logging                                                           444\n14. Processing JSON Data. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  449\n14.0 Introduction                                                                                                           449\n14.1 Generating JSON Directly                                                                                    451\n14.2 Parsing and Writing JSON with Jackson                                                            452\n14.3 Parsing and Writing JSON with org.json                                                           453\n14.4 Parsing and Writing JSON with JSON-B                                                           455\n14.5 Finding JSON Elements with JSON Pointer                                                      457\n15. Packages and Packaging. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  461\n15.0 Introduction                                                                                                           461\n15.1 Creating a Package                                                                                                462\n15.2 Documenting Classes with Javadoc                                                                    464\n15.3 Beyond Javadoc: Annotations/Metadata                                                            468\n15.4 Preparing a Class as a JavaBean                                                                           469\n15.5 Archiving with JAR                                                                                               473\n15.6 Running a Program from a JAR                                                                          474\n15.7 Packaging Web Tier Components into a W AR File                                          476\n15.8 Creating a Smaller Distribution with jlink                                                        478\n15.9 Using JPMS to Create a Module                                                                          479\n16. Threaded Java. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  483\n16.0 Introduction                                                                                                           483\n16.1 Running Code in a Different Thread                                                                  485\n16.2 Displaying a Moving Image with Animation                                                    489\nx | Table of Contents\n16.3 Stopping a Thread                                                                                                 494\n16.4 Rendezvous and Timeouts                                                                                   497\n16.5 Synchronizing Threads with the synchronized Keyword                               498\n16.6 Simplifying Synchronization with Locks                                                           504\n16.7 Simplifying Producer/Consumer with the Queue Interface                           508\n16.8 Optimizing Parallel Processing with Fork/Join                                                511\n16.9 Scheduling Tasks: Future Times, Background Saving in an Editor                514\n17. Reflection,  or “A Class Named Class”. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  519\n17.0 Introduction                                                                                                           519\n17.1 Getting a Class Descriptor                                                                                   520\n17.2 Finding and Using Methods and Fields                                                             521\n17.3 Accessing Private Methods and Fields via Reflection                                      525\n17.4 Loading and Instantiating a Class Dynamically                                               526\n17.5 Constructing a Class from Scratch with a ClassLoader                                   529\n17.6 Constructing a Class from Scratch with JavaCompiler                                    530\n17.7 Performance Timing                                                                                             533\n17.8 Printing Class Information                                                                                  537\n17.9 Listing Classes in a Package                                                                                 539\n17.10 Using and Defining Annotations                                                                      542\n17.11 Finding Plug-In-Like Classes via Annotations                                               547\n17.12 Program: CrossRef                                                                                              549\n18. Using Java with Other Languages. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  555\n18.0 Introduction                                                                                                           555\n18.1 Running an External Program from Java                                                           556\n18.2 Running a Program and Capturing Its Output                                                 560\n18.3 Calling Other Languages via javax.script                                                           564\n18.4 Mixing Languages with GraalVM                                                                       566\n18.5 Marrying Java and Perl                                                                                         567\n18.6 Calling Other Languages via Native Code                                                         571\n18.7 Calling Java from Native Code                                                                            576\nAfterword. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  dlxxix\nA. Java Then and Now. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  581\nIndex. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  591\nTable of Contents | xi",28412
04-Who This Book Is For.pdf,04-Who This Book Is For,"1For the quirks, see the Java Puzzlers  books  by Joshua Bloch and Neal Gafter (Addison-Wesley).Preface\nLike any of the most-used programming languages, Java has its share of detractors,\nadvocates, issues, quirks,1 and a learning curve. The Java Cookbook  aims to help the\nJava developer get up to speed on some of the most important parts of Java develop‐\nment. I focus on the standard APIs and some third-party APIs, but I don’t hesitate to\ncover language issues as well.\nThis is the fourth edition of this book, and it has been shaped by many people and by\nthe myriad changes that Java has undergone over its first two decades of popularity.\nReaders interested in Java’s history can refer to Appendix A .\nJava 11 is the current long-term supported version, but Java 12 and 13 are out. Java 14\nis in early access and scheduled for final release the very same day as this book’s\nfourth edition. The new cadence of releases every six months may be great for the\nJava SE development team at Oracle and for click-driven, Java-related news sites, but\nit “may cause some extra work” for Java book authors, since books typically have a\nlonger revision cycle than Java now does! Java 9, which came out after the previous\nedition of this book, was a breaking release, the first release in a very long time to\nbreak backwards compatibility, primarily the Java module system. Everything in the\nbook is assumed to work on any JVM that is still being used to develop code. Nobody\nshould be using Java 7 (or anything before it!) for anything, and nobody should be\ndoing new development in Java 8. If you are, it’s time to move on!\nThe goal of this revision is to keep the book up to date with all this change. While\ncutting out a lot of older material, I’ve added information on new features such as\nModules and the interactive JShell, and I’ve updated a lot of other information along\nthe way.\nxiii",1911
05-Whats in This Book.pdf,05-Whats in This Book,,0
06-Organization of This Book.pdf,06-Organization of This Book,"Who This Book Is For\nI’m going to assume that you know the basics of Java. I won’t tell you how to println\na string, nor how to write a class that extends another and/or implements an\ninterface.  I presume you’ve taken a Java course such as Learning Tree’s Introduction\nor that you’ve studied an introductory book such as  Head First Java , Learning Java , or\nJava in a Nutshell  (O’Reilly). However, Chapter 1  covers some techniques that you\nmight not know very well and that are necessary to understand some of the later\nmaterial. Feel free to skip around! Both the printed version of the book and the elec‐\ntronic copy are heavily cross-referenced.\nWhat’s in This Book?\nJava has seemed better suited to “development in the large, ” or enterprise application\ndevelopment, than to the one-line, one-off script in Perl, Awk, or Python. That’s\nbecause it is a compiled, object-oriented language. However, this suitability has\nchanged somewhat with the appearance of JShell (see Recipe 1.4 ). I illustrate many\ntechniques with shorter Java class examples and even code fragments; some of the\nsimpler ones will be shown using JShell. All of the code examples (other than some\none- or two-liners) are in one of my public GitHub repositories, so you can rest\nassured that every fragment of code you see here has been compiled, and most have\nbeen run recently.\nSome of the longer examples in this book are tools that I originally wrote to automate\nsome mundane task or another. For example, a tool called MkIndex  (in the javasrc\nrepository) reads the top-level directory of the place where I keep my Java example\nsource code, and it builds a browser-friendly index.html  file for that directory.\nAnother example is XmlForm , which was used to convert parts of the manuscript from\nXML into the form needed by another publishing software. XmlForm  also handled—\nby use of another program, GetMark —full and partial code insertions from the javasrc\ndirectory into the book manuscript. XmlForm  is included in the Github repository I\nmentioned, as is a later version of GetMark , though neither of these was used in build‐\ning the fourth edition. These days, O’Reilly’s Atlas publishing software uses  Asciidoc‐\ntor, which provides the mechanism we use for inserting files and parts of files into the\nbook.\nOrganization of This Book\nLet’s go over the organization of this book. Each chapter consists of a handful of rec‐\nipes, short sections that describe a problem and its solution, along with a code exam‐\nple. The code in each recipe is intended to be largely self-contained; feel free to\nborrow  bits and pieces of any of it for use in your own projects. The code is dis‐\ntributed with a Berkeley-style copyright, just to discourage wholesale reproduction.\nxiv | Preface\nI start off Chapter 1, Getting Started: Compiling and Running Java , by describing some\nmethods of compiling your program on different platforms, running them in differ‐\nent environments (browser, command line, windowed desktop), and debugging.\nChapter 2, Interacting with the Environment , moves from compiling and running your\nprogram to getting it to adapt to the surrounding countryside—the other programs\nthat live in your computer.\nThe next few chapters deal with basic APIs. Chapter 3, Strings and Things , concen‐\ntrates on one of the most basic but powerful data types in Java, showing you how to\nassemble, dissect, compare, and rearrange what you might otherwise think of as ordi‐\nnary text. This chapter also covers the topic of internationalization/localization so\nthat your programs can work as well in Akbar, Afghanistan, Algiers, Amsterdam, and\nAngleterre as they do in Alberta, Arkansas, and Alabama.\nChapter 4, Pattern Matching with Regular Expressions , teaches you how to use the\npowerful regular expressions technology from Unix in many string-matching and\npattern-matching problem domains. Regex processing has been standard in Java for\nyears, but if you don’t know how to use it, you may be reinventing the flat tire.\nChapter 5, Numbers , deals both with built-in numeric types such as int and double ,\nas well as the corresponding API classes ( Integer , Double , etc.) and the conversion\nand testing facilities they offer. There is also brief mention of the “big number”\nclasses. Because Java programmers often need to deal in dates and times, both locally\nand internationally, Chapter 6, Dates and Times , covers this important topic.\nThe next few chapters cover data processing. As in most languages, arrays in Java are\nlinear, indexed collections of similar objects, as discussed in Chapter 7, Structuring\nData with Java . This chapter goes on to deal with the many Collections classes: pow‐\nerful ways of storing quantities of objects in the java.util  package, including use of\nJava Generics.\nDespite some syntactic resemblance to procedural languages such as C, Java is at\nheart an Object-Oriented Programming (OOP) language, with some important Func‐\ntional Programming (FP) constructs skilfully blended in. Chapter 8, Object-Oriented\nTechniques , discusses some of the key notions of OOP as it applies to Java, including\nthe commonly overridden methods of java.lang.Object  and the important issue of\ndesign patterns. Java is not, and never will be, a pure FP language. However, it is pos‐\nsible to use some aspects of FP , increasingly so with Java 8 and its support of lambda\nexpressions (a.k.a. closures). This is discussed in Chapter 9, Functional Programming\nTechniques: Functional Interfaces, Streams, and Parallel Collections .\nThe next chapter deals with aspects of traditional input and output. Chapter 10, Input\nand Output: Reading, Writing, and Directory Tricks , details the rules for reading and\nwriting files (don’t skip this if you think files are boring; you’ll need some of this\ninformation in later chapters). The chapter also shows you everything else about\nPreface | xv\nfiles— such as finding their size and last-modified time—and about reading and mod‐\nifying directories, creating temporary files, and renaming files on disk.\nBig data and data science have become a thing, and Java is right in there. Apache\nHadoop, Apache Spark, and much more of the big data infrastructure is written in,\nand extensible with, Java, as described in Chapter 11, Data Science and R . The R pro‐\ngramming language is popular with data scientists, statsticians, and other scientists.\nThere are at least two reimplementations of R coded in Java, and Java can also be\ninterfaced directly with the standard R implementation in both directions, so this\nchapter covers R as well.\nBecause Java was originally promulgated as the programming language for the inter‐\nnet, it’s only fair to spend some time on networking in Java. Chapter 12, Network Cli‐\nents, covers the basics of network programming from the client side, focusing on\nsockets. Today so many applications need to access a web service, primarily RESTful\nweb services, that this seemed to be necessary. I’ll then move to the server side in\nChapter 13, Server-Side Java , wherein you’ll learn some server-side programming\ntechniques.\nOne simple text-based representation for data interchange is JSON, the JavaScript\nobject notation. Chapter 14, Processing JSON Data , describes the format and some of\nthe many APIs that have emerged to deal with it.\nChapter 15, Packages and Packaging , shows how to create packages of classes that\nwork together. This chapter also talks about deploying (a.k.a. distributing and instal‐\nling) your software.\nChapter 16, Threaded  Java , tells you how to write classes that appear to do more than\none thing at a time and let you take advantage of powerful multiprocessor hardware.\nChapter 17, Reflection,  or “ A Class Named Class” , lets you in on such secrets as how to\nwrite API cross-reference documents mechanically and how web servers are able to\nload any old Servlet—never having seen that particular class before—and run it.\nSometimes you already have code written and working in another language that can\ndo part of your work for you, or you want to use Java as part of a larger package.\nChapter 18, Using Java with Other Languages , shows you how to run an external pro‐\ngram (compiled or script) and also interact directly with native code in C/C++ or\nother languages.\nThere isn’t room in a book this size for everything I’ d like to tell you about Java. The\nAfterword  presents some closing thoughts and a link to my online summary of Java\nAPIs that every Java developer should know about.\nFinally, Appendix A, Java Then  and Now , gives the storied history of Java in a release-\nby-release timeline, so whatever version of Java you learned, you can jump in here\nand get up to date quickly.\nxvi | Preface",8819
07-Java Books.pdf,07-Java Books,"So many topics, and so few pages! Many topics do not recieve 100% coverage; I’ve\ntried to include the most important or most useful parts of each API. To go beyond,\ncheck the official javadoc  pages for each package; many of these pages have some\nbrief tutorial information on how the package is to be used.\nBesides the parts of Java covered in this book, two other platform editions, Java ME\nand Java EE, have been standardized. Java Micro Edition (Java ME) is concerned with\nsmall devices such as handhelds, cell phones, and fax machines. At the other end of\nthe size scale—large server machines—there’s Eclipse Jakarta EE , replacing the former\nJava EE, which in the last century was known as J2EE. Jakarta EE is concerned with\nbuilding large, scalable, distributed applications. APIs that are part of Jakarta EE\ninclude Servlets, JavaServer Pages, JavaServer Faces, JavaMail, Enterprise JavaBeans\n(EJBs), Container and Dependency Injection (CDI), and Transactions. Jakarta EE\npackages normally begin with “javax” because they are not core packages. This book\nmentions but a few of these; there is also a Java EE 8 Cookbook  by Elder Moraes\n(O’Reilly) that covers some of the Jakarta EE APIs, as well as an older  Java Servlet &\nJSP Cookbook  by Bruce Perry (O’Reilly).\nThis book doesn’t cover Java Micro Edition, Java ME. At all. But speaking of cell\nphones and mobile devices, you probably know that Android uses Java as its lan‐\nguage. What should be comforting to Java developers is that Android also uses most\nof the core Java API, except for Swing and AWT, for which it provides Android-\nspecific replacements. The Java developer who wants to learn Android may consider\nlooking at my Android Cookbook  (O’Reilly), or the book’s website .\nJava Books\nA lot of useful information is packed into this book. However, due to the breadth of\ntopics, it is not possible to give book-length treatment to any one topic. Because of\nthis, the book contains references to many websites and other books. In pointing out\nthese references, I’m hoping to serve my target audience: the person who wants to\nlearn more about Java.\nO’Reilly publishes, in my opinion, the best selection of Java books on the market. As\nthe API continues to expand, so does the coverage. Check out the complete list of\nO’Reilly’s collection of Java books ; you can buy them at most bookstores, both physi‐\ncal and virtual. Y ou can also read them online through the O’Reilly Online Learning\nPlatform , a paid subscription service. And, of course, most are now available in ebook\nformat; O’Reilly ebooks are DRM free, so you don’t have to worry about their\ncopy-protection  scheme locking you into a particular device or system, as you do\nwith certain other publishers.\nThough many books are mentioned at appropriate spots in the book, a few deserve\nspecial mention here.\nPreface | xvii\nFirst and foremost, David Flanagan and Benjamin Evan’s Java in a Nutshell  (O’Reilly)\noffers a brief overview of the language and API and a detailed reference to the most\nessential packages. This is handy to keep beside your computer.  Head First Java  by\nBert Bates and Kathy Sierra offers a much more whimsical introduction to the lan‐\nguage and is recommended for the less experienced developer.\nJava 8 Lambdas  (Warburton, O’Reilly) covers the Lambda syntax introduced in Java 8\nin support of functional programming and more concise code in general.\nJava 9 Modularity: Patterns and Practices for Developing Maintainable Applications  by\nSander Mak and Paul Bakker (O’Reilly) covers the important changes made in the\nlanguage in Java 9 for the Java module system.\nJava Virtual Machine  by Jon Meyer and Troy Downing (O’Reilly) will intrigue the\nperson who wants to know more about what’s under the hood. This book is out of\nprint but can be found used and in libraries.\nA definitive (and monumental) description of programming the Swing GUI is Java\nSwing  by Robert Eckstein et al. (O’Reilly).\nJava Network Programming  and Java I/O , both by Elliotte Harold (O’Reilly), are also\nuseful references.\nFor Java Database work, Database Programming with JDBC & Java  by George Reese\n(O’Reilly) and Pro JPA 2: Mastering the Java Persistence API  by Mike Keith and Mer‐\nrick Schincariol (Apress) are recommended. Or my forthcoming overview of Java\nDatabase .\nAlthough the book you’re now reading doesn’t have much coverage of the Java EE, I’ d\nlike to mention two books on that topic:\n•Arun Gupta covers the Enterprise Edition in Java EE 7 Essentials  (O’Reilly).\n•Adam Bien’s Real World Java EE Patterns: Rethinking Best Practices  offers useful\ninsights in designing and implementing an Enterprise application.\nY ou can find more at the O’Reilly website .\nFinally, although it’s not a book, Oracle has a great deal of Java information  on the\nweb. This web page used to feature a large diagram showing all the components of\nJava in a “conceptual diagram. ” An early version of this is shown in Figure P-1 ; each\ncolored box is a clickable link to details on that particular technology.\nxviii | Preface",5123
