filename,title,text,len
01-Cover.pdf,01-Cover,"Second \n Edition\nDavid Foster\nForeword by Karl FristonGenerative\nDeep Learning\nTeaching Machines to Paint, Write,  \nCompose, and PlaySECOND  \nEDITION\nAI / DEEP LEARNING “Generative Deep \nLearning  is an \naccessible introduction \nto the deep learning \ntoolkit for generative \nmodeling. If you are a \ncreative practitioner \nwho loves to tinker \nwith code and want to \napply deep learning \nto your work, then this \nis the book for you.”\n—David Ha\nHead of Strategy, Stability AI\n“An excellent book that \ndives right into all of \nthe major techniques \nbehind state-of-the-\nart generative deep \nlearning. An exciting \nexploration of one of \nthe most fascinating \ndomains in AI!” \n—François Chollet\nCreator of KerasGenerative Deep Learning\nTwitter: @oreillymedia\nlinkedin.com/company/oreilly-media\nyoutube.com/oreillymedia Generative AI is the hottest topic in tech. This practical book \nteaches machine learning engineers and data scientists how \nto use TensorFlow and Keras to create impressive generative \ndeep learning models from scratch, including variational \nautoencoders (VAEs), generative adversarial networks \n(GANs), Transformers, normalizing flows, energy-based \nmodels, and denoising diffusion models.\nThe book starts with the basics of deep learning and \nprogresses to cutting-edge architectures. Through tips  \nand tricks, you’ll understand how to make your models  \nlearn more efficiently and become more creative.\n• Discover how VAEs can change facial expressions in photos\n• Train GANs to generate images based on your own dataset\n• Build diffusion models to produce new varieties of flowers\n• Train your own GPT for text generation\n• Learn how large language models like ChatGPT are trained\n• Explore state-of-the-art architectures such as StyleGAN2 \nand ViT-VQGAN\n• Compose polyphonic music using Transformers  \nand MuseGAN\n• Understand how generative world models can solve \nreinforcement learning tasks\n• Dive into multimodal models such as DALL.E 2, Imagen,  \nand Stable Diffusion\nThis book also explores the future of generative AI and  \nhow individuals and companies can proactively begin \nto leverage this remarkable new technology to create \ncompetitive advantage.David Foster  is the cofounder of \nApplied Data Science Partners.\nUS $79.99  CAN $99.99\nISBN: 978-1-098-13418-1SECOND  \nEDITION\nPraise for Generative Deep Learning\nGenerative Deep Learning  is an accessible introduction to the deep learning toolkit for\ngenerative modeling. If you are a creative practitioner who loves to tinker with code and\nwant to apply deep learning to your work, then this is the book for you.\n—David Ha, Head of Strategy, Stability AI\nAn excellent book that dives right into all of the major techniques behind state-of-the-art\ngenerative deep learning. Y ou’ll find intuitive explanations and clever analogies—\nbacked by didactic, highly readable code examples. An exciting\nexploration of one of the most fascinating domains in AI!\n—François Chollet, Creator of Keras\nDavid Foster’s explanations of complex concepts are clear and concise,\nenriched with intuitive visuals, code examples, and exercises.\nAn excellent resource for students and practitioners!\n—Suzana Ilić, Principal Program Manager Responsible AI,\nMicrosoft  Azure OpenAI\nGenerative AI is the next revolutionary step in AI technology that will have a massive\nimpact on the world. This book provides a great introduction to this field\nand its incredible potential and potential risks.\n—Connor Leahy, CEO at Conjecture\nand Cofounder of EleutherAI\nPredicting the world means understanding the world—in all modalities. In that sense,\ngenerative AI is solving the very core of intelligence.\n—Jonas Andrulis, Founder & CEO Aleph Alpha\nGenerative AI is reshaping countless industries and powering a new generation of\ncreative tools. This book is the perfect way to get going with generative modeling and\nstart building with this revolutionary technology yourself.\n—Ed Newton-Rex, VP Audio at Stability AI and composer\nDavid taught me everything I know about machine learning and has a\nknack for explaining the underlying concepts. Generative Deep Learning  is my go-to\nresource for generative AI and lives on a shelf next to my work desk amongst\nmy small collection of favorite technical books.\n—Zack Thoutt,  CPO at AutoSalesVelocity\nGenerative AI is likely to have a profound impact on society. This book gives an\nintroduction to the field that is accessible without skimping on technical detail.\n—Raza Habib, Cofounder of Humanloop\nWhen people ask me how to get started with generative AI, I always recommend David’s\nbook. The second edition is awesome because it covers the strongest models,\nsuch as diffusion models and Transformers. Definitely a must-have for\nanyone interested in computational creativity!\n—Dr. Tristan Behrens, AI Expert and AI Music Artist in\nResidence at KI Salon Heilbronn\nDense in tech knowledge, this is my number one go-to literature when I have ideas\naround generative AI. It should be on every data scientist’s bookshelf.\n—Martin Musiol, Founder of generativeAI.net\nThe book covers the full taxonomy of generative models in excellent detail. One of the\nbest things I found about the book is that it covers the important theory behind the\nmodels as well as solidifying the reader’s understanding with practical examples.\nI must point out that the chapter on GANs is one of the best explanations I have read\nand provides intuitive means to fine-tune your models. The book covers a\nwide range of generative AI modalities including text, image, and music.\nA great resource for anyone getting started with GenAI.\n—Aishwarya Srinivasan, Data Scientist, Google Cloud\nDavid Foster\nForeword by Karl FristonGenerative Deep Learning\nTeaching Machines to Paint, Write,\nCompose, and PlaySECOND EDITION\nBoston Farnham Sebastopol Tokyo Beijing Boston Farnham Sebastopol Tokyo Beijing",5988
02-Copyright.pdf,02-Copyright,"978-1-098-13418-1\n[LSI]Generative Deep Learning\nby David Foster\nCopyright © 2023 Applied Data Science Partners Ltd. All rights reserved.\nPrinted in the United States of America.\nPublished by O’Reilly Media, Inc., 1005 Gravenstein Highway North, Sebastopol, CA 95472.\nO’Reilly books may be purchased for educational, business, or sales promotional use. Online editions are\nalso available for most titles ( http://oreilly.com ). For more information, contact our corporate/institutional\nsales department: 800-998-9938 or corporate@oreilly.com .\nAcquisitions Editor:  Nicole Butterfield\nDevelopment Editor:  Michele Cronin\nProduction Editor:  Christopher Faucher\nCopyeditor:  Charles Roumeliotis\nProofreader:  Rachel HeadIndexer:  Judith McConville\nInterior Designer:  David Futato\nCover Designer:  Karen Montgomery\nIllustrator:  Kate Dullea\nJuly 2019:  First Edition\nMay 2023:  Second Edition\nRevision History for the Second Edition\n2023-04-28: First Release\nSee http://oreilly.com/catalog/errata.csp?isbn=9781098134181  for release details.\nThe O’Reilly logo is a registered trademark of O’Reilly Media, Inc. Generative Deep Learning , the cover\nimage, and related trade dress are trademarks of O’Reilly Media, Inc.\nThe views expressed in this work are those of the author and do not represent the publisher’s views. While\nthe publisher and the author have used good faith efforts to ensure that the information and instructions\ncontained in this work are accurate, the publisher and the author disclaim all responsibility for errors or\nomissions, including without limitation responsibility for damages resulting from the use of or reliance\non this work. Use of the information and instructions contained in this work is at your own risk. If any\ncode samples or other technology this work contains or describes is subject to open source licenses or the\nintellectual property rights of others, it is your responsibility to ensure that your use thereof complies\nwith such licenses and/or rights.\nFor Alina, the loveliest noise vector of them all.",2076
03-Table of Contents.pdf,03-Table of Contents,"Table of Contents\nForeword. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  xv\nPreface. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  xvii\nPart I. Introduction to Generative Deep Learning\n1.Generative Modeling. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  3\nWhat Is Generative Modeling?                                                                                       4\nGenerative Versus Discriminative Modeling                                                           5\nThe Rise of Generative Modeling                                                                              6\nGenerative Modeling and AI                                                                                      8\nOur First Generative Model                                                                                           9\nHello World!                                                                                                                  9\nThe Generative Modeling Framework                                                                    10\nRepresentation Learning                                                                                           12\nCore Probability Theory                                                                                               15\nGenerative Model Taxonomy                                                                                       18\nThe Generative Deep Learning Codebase                                                                  20\nCloning the Repository                                                                                             20\nUsing Docker                                                                                                              21\nRunning on a GPU                                                                                                     21\nSummary                                                                                                                         21\n2.Deep Learning. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  23\nData for Deep Learning                                                                                                24\nDeep Neural Networks                                                                                                  25\nvii\nWhat Is a Neural Network?                                                                                       25\nLearning High-Level Features                                                                                  26\nTensorFlow and Keras                                                                                               27\nMultilayer Perceptron (MLP)                                                                                       28\nPreparing the Data                                                                                                     28\nBuilding the Model                                                                                                    30\nCompiling the Model                                                                                                 35\nTraining the Model                                                                                                    37\nEvaluating the Model                                                                                                 38\nConvolutional Neural Network (CNN)                                                                      40\nConvolutional Layers                                                                                                 41\nBatch Normalization                                                                                                  46\nDropout                                                                                                                       49\nBuilding the CNN                                                                                                      51\nTraining and Evaluating the CNN                                                                           53\nSummary                                                                                                                         54\nPart II. Methods\n3.Variational Autoencoders. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  59\nIntroduction                                                                                                                   60\nAutoencoders                                                                                                                  61\nThe Fashion-MNIST Dataset                                                                                   62\nThe Autoencoder Architecture                                                                                63\nThe Encoder                                                                                                                64\nThe Decoder                                                                                                                65\nJoining the Encoder to the Decoder                                                                        67\nReconstructing Images                                                                                              69\nVisualizing the Latent Space                                                                                     70\nGenerating New Images                                                                                            71\nVariational Autoencoders                                                                                             74\nThe Encoder                                                                                                                75\nThe Loss Function                                                                                                      80\nTraining the Variational Autoencoder                                                                    82\nAnalysis of the Variational Autoencoder                                                                84\nExploring the Latent Space                                                                                           85\nThe CelebA Dataset                                                                                                   85\nTraining the Variational Autoencoder                                                                    87\nAnalysis of the Variational Autoencoder                                                                89\nGenerating New Faces                                                                                               90\nviii | Table of Contents\nLatent Space Arithmetic                                                                                            91\nMorphing Between Faces                                                                                          92\nSummary                                                                                                                         93\n4.Generative Adversarial Networks. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  95\nIntroduction                                                                                                                   96\nDeep Convolutional GAN (DCGAN)                                                                        97\nThe Bricks Dataset                                                                                                     98\nThe Discriminator                                                                                                      99\nThe Generator                                                                                                          101\nTraining the DCGAN                                                                                              104\nAnalysis of the DCGAN                                                                                          109\nGAN Training: Tips and Tricks                                                                              110\nWasserstein GAN with Gradient Penalty (WGAN-GP)                                        113\nWasserstein Loss                                                                                                       114\nThe Lipschitz Constraint                                                                                        115\nEnforcing the Lipschitz Constraint                                                                       116\nThe Gradient Penalty Loss                                                                                      117\nTraining the WGAN-GP                                                                                         119\nAnalysis of the WGAN-GP                                                                                     121\nConditional GAN (CGAN)                                                                                        122\nCGAN Architecture                                                                                                 123\nTraining the CGAN                                                                                                 124\nAnalysis of the CGAN                                                                                             126\nSummary                                                                                                                       127\n5.Autoregressive Models. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  129\nIntroduction                                                                                                                 130\nLong Short-Term Memory Network (LSTM)                                                         131\nThe Recipes Dataset                                                                                                 132\nWorking with Text Data                                                                                          133\nTokenization                                                                                                             134\nCreating the Training Set                                                                                        137\nThe LSTM Architecture                                                                                          138\nThe Embedding Layer                                                                                             138\nThe LSTM Layer                                                                                                       140\nThe LSTM Cell                                                                                                         142\nTraining the LSTM                                                                                                   144\nAnalysis of the LSTM                                                                                              146\nRecurrent Neural Network (RNN) Extensions                                                       149\nStacked Recurrent Networks                                                                                  149\nTable of Contents | ix\nGated Recurrent Units                                                                                             151\nBidirectional Cells                                                                                                    153\nPixelCNN                                                                                                                      153\nMasked Convolutional Layers                                                                                154\nResidual Blocks                                                                                                         156\nTraining the PixelCNN                                                                                           158\nAnalysis of the PixelCNN                                                                                       159\nMixture Distributions                                                                                             162\nSummary                                                                                                                       164\n6.Normalizing Flow Models. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  167\nIntroduction                                                                                                                 168\nNormalizing Flows                                                                                                      169\nChange of Variables                                                                                                 170\nThe Jacobian Determinant                                                                                      172\nThe Change of Variables Equation                                                                        173\nRealNVP                                                                                                                        174\nThe Two Moons Dataset                                                                                         174\nCoupling Layers                                                                                                       175\nTraining the RealNVP Model                                                                                 181\nAnalysis of the RealNVP Model                                                                            184\nOther Normalizing Flow Models                                                                              186\nGLOW                                                                                                                       186\nFFJORD                                                                                                                     187\nSummary                                                                                                                       188\n7.Energy-Based Models. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  189\nIntroduction                                                                                                                 189\nEnergy-Based Models                                                                                                  191\nThe MNIST Dataset                                                                                                 192\nThe Energy Function                                                                                               193\nSampling Using Langevin Dynamics                                                                    194\nTraining with Contrastive Divergence                                                                  197\nAnalysis of the Energy-Based Model                                                                    201\nOther Energy-Based Models                                                                                  202\nSummary                                                                                                                       203\n8.Diffusion  Models. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  205\nIntroduction                                                                                                                 206\nDenoising Diffusion Models (DDM)                                                                        208\nThe Flowers Dataset                                                                                                208\nx | Table of Contents\nThe Forward Diffusion Process                                                                             209\nThe Reparameterization Trick                                                                               210\nDiffusion Schedules                                                                                                 211\nThe Reverse Diffusion Process                                                                               214\nThe U-Net Denoising Model                                                                                  217\nTraining the Diffusion Model                                                                                224\nSampling from the Denoising Diffusion Model                                                  225\nAnalysis of the Diffusion Model                                                                            228\nSummary                                                                                                                       231\nPart III. Applications\n9.Transformers. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  235\nIntroduction                                                                                                                 236\nGPT                                                                                                                                236\nThe Wine Reviews Dataset                                                                                     237\nAttention                                                                                                                   238\nQueries, Keys, and Values                                                                                       239\nMultihead Attention                                                                                                241\nCausal Masking                                                                                                        242\nThe Transformer Block                                                                                           245\nPositional Encoding                                                                                                 248\nTraining GPT                                                                                                            250\nAnalysis of GPT                                                                                                        252\nOther Transformers                                                                                                     255\nT5                                                                                                                                256\nGPT-3 and GPT-4                                                                                                    259\nChatGPT                                                                                                                    260\nSummary                                                                                                                       264\n10. Advanced GANs. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  267\nIntroduction                                                                                                                 268\nProGAN                                                                                                                        269\nProgressive Training                                                                                                269\nOutputs                                                                                                                      276\nStyleGAN                                                                                                                      277\nThe Mapping Network                                                                                            278\nThe Synthesis Network                                                                                            279\nOutputs from StyleGAN                                                                                         280\nStyleGAN2                                                                                                                    281\nTable of Contents | xi\nWeight Modulation and Demodulation                                                                282\nPath Length Regularization                                                                                    283\nNo Progressive Growing                                                                                         284\nOutputs from StyleGAN2                                                                                       286\nOther Important GANs                                                                                              286\nSelf-Attention GAN (SAGAN)                                                                               286\nBigGAN                                                                                                                     288\nVQ-GAN                                                                                                                   289\nViT VQ-GAN                                                                                                           292\nSummary                                                                                                                       294\n11. Music Generation. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  297\nIntroduction                                                                                                                 298\nTransformers for Music Generation                                                                         299\nThe Bach Cello Suite Dataset                                                                                 300\nParsing MIDI Files                                                                                                   300\nTokenization                                                                                                             303\nCreating the Training Set                                                                                        304\nSine Position Encoding                                                                                           305\nMultiple Inputs and Outputs                                                                                  307\nAnalysis of the Music-Generating Transformer                                                  309\nTokenization of Polyphonic Music                                                                        313\nMuseGAN                                                                                                                     317\nThe Bach Chorale Dataset                                                                                      317\nThe MuseGAN Generator                                                                                      320\nThe MuseGAN Critic                                                                                              326\nAnalysis of the MuseGAN                                                                                      327\nSummary                                                                                                                       329\n12. World Models. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  331\nIntroduction                                                                                                                 331\nReinforcement Learning                                                                                             332\nThe CarRacing Environment                                                                                 334\nWorld Model Overview                                                                                              336\nArchitecture                                                                                                              336\nTraining                                                                                                                     338\nCollecting Random Rollout Data                                                                              339\nTraining the V AE                                                                                                         340\nThe V AE Architecture                                                                                             341\nExploring the V AE                                                                                                   343\nCollecting Data to Train the MDN-RNN                                                                 346\nxii | Table of Contents\nTraining the MDN-RNN                                                                                            346\nThe MDN-RNN Architecture                                                                                347\nSampling from the MDN-RNN                                                                             348\nTraining the Controller                                                                                               348\nThe Controller Architecture                                                                                   349\nCMA-ES                                                                                                                     349\nParallelizing CMA-ES                                                                                              351\nIn-Dream Training                                                                                                      353\nSummary                                                                                                                       356\n13. Multimodal Models. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  359\nIntroduction                                                                                                                 360\nDALL.E 2                                                                                                                       361\nArchitecture                                                                                                              362\nThe Text Encoder                                                                                                     362\nCLIP                                                                                                                           362\nThe Prior                                                                                                                   367\nThe Decoder                                                                                                             369\nExamples from DALL.E 2                                                                                       373\nImagen                                                                                                                           377\nArchitecture                                                                                                              377\nDrawBench                                                                                                               378\nExamples from Imagen                                                                                           379\nStable Diffusion                                                                                                            380\nArchitecture                                                                                                              380\nExamples from Stable Diffusion                                                                            381\nFlamingo                                                                                                                       381\nArchitecture                                                                                                              382\nThe Vision Encoder                                                                                                 382\nThe Perceiver Resampler                                                                                         383\nThe Language Model                                                                                               385\nExamples from Flamingo                                                                                        388\nSummary                                                                                                                       389\n14. Conclusion. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  391\nTimeline of Generative AI                                                                                          392\n2014–2017: The V AE and GAN Era                                                                      394\n2018–2019: The Transformer Era                                                                          394\n2020–2022: The Big Model Era                                                                              395\nThe Current State of Generative AI                                                                          396\nLarge Language Models                                                                                           396\nTable of Contents | xiii\nText-to-Code Models                                                                                               400\nText-to-Image Models                                                                                             402\nOther Applications                                                                                                   405\nThe Future of Generative AI                                                                                      407\nGenerative AI in Everyday Life                                                                              407\nGenerative AI in the Workplace                                                                            409\nGenerative AI in Education                                                                                    410\nGenerative AI Ethics and Challenges                                                                    411\nFinal Thoughts                                                                                                             413\nIndex. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  417\nxiv | Table of Contents",31555
04-Foreword.pdf,04-Foreword,"Foreword\nThis book is becoming part of my life. On finding a copy in my living room I asked\nmy son, “When did you get this?” He replied, “When you gave it to me, ” bemused by\nmy senior moment. Going through various sections together, I came to regard Gener‐\native Deep Learning  as the Gray’s Anatomy  of Generative AI.\nThe author dissects the anatomy of generative AI with an incredible clarity and reas‐\nsuring authority. He offers a truly remarkable account of a fast-moving field, under‐\nwritten with pragmatic examples, engaging narratives, and references that are so\ncurrent, it reads like a living history.\nThroughout his deconstructions, the author maintains a sense of wonder and excite‐\nment about the potential of generative AI—especially evident in the book’s compel‐\nling dénouement. Having laid bare the technology, he reminds us that we are at the\ndawn of a new age of intelligence, an age in which generative AI holds a mirror up to\nour language, our art, our creativity; reflecting not just what we have created, but\nwhat we could create—what we can create—limited only by “your own imagination. ”\nThe central theme of generative models in artificial intelligence resonates deeply with\nme, because I see exactly the same themes emerging in the natural sciences; namely, a\nview of ourselves as generative models of our lived world. I suspect in the next edition\nof this book we will read about the confluence of artificial and natural intelligence.\nUntil that time, I will keep this edition next to my copy of Gray’s Anatomy , and other\ntreasures on my bookshelf.\n— Karl Friston, FRS\nProfessor of Neuroscience\nUniversity College London\nxv",1678
05-Prerequisites.pdf,05-Prerequisites,"Preface\nWhat I cannot create, I do not understand.\n—Richard Feynman\nGenerative AI is one of the most revolutionary technologies of our time, transform‐\ning the way we interact with machines. Its potential to revolutionize the way we live,\nwork, and play has been the subject of countless conversations, debates, and predic‐\ntions. But what if there was an even greater potential to this powerful technology?\nWhat if the possibilities of generative AI extend beyond our current imagination?\nThe future of generative AI may be more exciting than we ever thought possible…\nSince  our earliest days, we have sought opportunities to generate original and beauti‐\nful creations. For early humans, this took the form of cave paintings depicting wild\nanimals and abstract patterns, created with pigments placed carefully and methodi‐\ncally onto rock. The Romantic Era gave us the mastery of Tchaikovsky symphonies,\nwith their ability to inspire feelings of triumph and tragedy through sound waves,\nwoven together to form beautiful melodies and harmonies. And in recent times, we\nhave found ourselves rushing to bookshops at midnight to buy stories about a fic‐\ntional wizard, because the combination of letters creates a narrative that wills us to\nturn the page and find out what happens to our hero.\nIt is therefore not surprising that humanity has started to ask the ultimate question of\ncreativity: can we create something that is in itself creative?\nThis is the question that generative AI aims to answer. With recent advances in meth‐\nodology and technology, we are now able to build machines that can paint original\nartwork in a given style, write coherent blocks of text with long-term structure, com‐\npose music that is pleasant to listen to, and develop winning strategies for complex\ngames by generating imaginary future scenarios. This is just the start of a generative\nrevolution that will leave us with no choice but to find answers to some of the biggest\nquestions about the mechanics of creativity, and ultimately, what it means to be\nhuman.\nxvii\nIn short, there has never been a better time to learn about generative AI—so let’s get\nstarted!\nObjective and Approach\nThis  book assumes no prior knowledge of generative AI. We will build up all of the\nkey concepts from scratch in a way that is intuitive and easy to follow, so don’t worry\nif you have no experience with generative AI. Y ou have come to the right place!\nRather than only covering the techniques that are currently in vogue, this book serves\nas a complete guide to generative modeling that covers a broad range of model fami‐\nlies. There is no one technique that is objectively better  or worse  than any other—in\nfact, many state-of-the-art models now mix together ideas from across the broad\nspectrum of approaches to generative modeling. For this reason, it is important to\nkeep abreast of developments across all areas of generative AI, rather than focusing\non one particular kind of technique. One thing is certain: the field of generative AI is\nmoving fast, and you never know where the next groundbreaking idea will come\nfrom!\nWith this in mind, the approach I will take is to show you how to train your own\ngenerative models on your own data, rather than relying on pre-trained off-the-shelf\nmodels. While there are now many impressive open source generative models that\ncan be downloaded and run in a few lines of code, the aim of this book is to dig\ndeeper into their architecture and design from first principles, so that you gain a\ncomplete understanding of how they work and can code up examples of each techni‐\nque from scratch using Python and Keras.\nIn summary, this book can be thought of as a map of the current generative AI land‐\nscape that covers both theory and practical applications, including full working\nexamples of key models from the literature. We will walk through the code for each\nstep by step, with clear signposts that show how the code implements the theory\nunderpinning each technique. This book can be read cover to cover or used as a ref‐\nerence book that you can dip into. Above all, I hope you find it a useful and enjoyable\nread!\nThroughout the book, you will find short, allegorical stories that\nhelp explain the mechanics of some of the models we will be build‐\ning. I believe that one of the best ways to teach a new abstract\ntheory is to first convert it into something that isn’t quite so\nabstract, such as a story, before diving into the technical explana‐\ntion. The story and the model explanation are just the same\nmechanics explained in two different domains—you might there‐\nfore find it useful to refer back to the relevant story while learning\nabout the technical details of each model!\nxviii | Preface",4794
