filename,title,text,len
01-Table of Contents.pdf,01-Table of Contents,"978-1-098-15096-9\n[LSI]Hands-On Large Language Models\nby Jay Alammar and Maarten Grootendorst\nCopyright © 2024 Jay Alammar and Maarten Pieter Grootendorst. All rights reserved.\nPrinted in the United States of America.\nPublished by O’Reilly Media, Inc., 1005 Gravenstein Highway North, Sebastopol, CA 95472.\nO’Reilly books may be purchased for educational, business, or sales promotional use. Online editions are\nalso available for most titles ( http://oreilly.com ). For more information, contact our corporate/institutional\nsales department: 800-998-9938 or corporate@oreilly.com .\nAcquisitions Editor:  Nicole Butterfield\nDevelopment Editor:  Michele Cronin\nProduction Editor:  Ashley Stussy\nCopyeditor:  Charles Roumeliotis\nProofreader:  Kim CoferIndexer:  BIM Creatives, LLC\nInterior Designer:  David Futato\nCover Designer:  Karen Montgomery\nIllustrator:  Kate Dullea\nSeptember 2024:  First Edition\nRevision History for the First Edition\n2024-09-10: First Release\nSee http://oreilly.com/catalog/errata.csp?isbn=9781098150969  for release details.\nThe O’Reilly logo is a registered trademark of O’Reilly Media, Inc. Hands-On Large Language Models , the\ncover image, and related trade dress are trademarks of O’Reilly Media, Inc.\nThe views expressed in this work are those of the authors and do not represent the publisher’s views.\nWhile the publisher and the authors have used good faith efforts to ensure that the information and\ninstructions contained in this work are accurate, the publisher and the authors disclaim all responsibility\nfor errors or omissions, including without limitation responsibility for damages resulting from the use\nof or reliance on this work. Use of the information and instructions contained in this work is at your\nown risk. If any code samples or other technology this work contains or describes is subject to open\nsource licenses or the intellectual property rights of others, it is your responsibility to ensure that your use\nthereof complies with such licenses and/or rights.\nTable of Contents\nPreface. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  xi\nPart I. Understanding Language Models\n1.An Introduction to Large Language Models. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  3\nWhat Is Language AI?                                                                                                     4\nA Recent History of Language AI                                                                                  5\nRepresenting Language as a Bag-of-Words                                                              6\nBetter Representations with Dense Vector Embeddings                                        8\nTypes of Embeddings                                                                                                 10\nEncoding and Decoding Context with Attention                                                  11\nAttention Is All Y ou Need                                                                                         15\nRepresentation Models: Encoder-Only Models                                                     18\nGenerative Models: Decoder-Only Models                                                            20\nThe Y ear of Generative AI                                                                                         23\nThe Moving Definition of a “Large Language Model”                                             25\nThe Training Paradigm of Large Language Models                                                  25\nLarge Language Model Applications: What Makes Them So Useful?                    27\nResponsible LLM Development and Usage                                                               28\nLimited Resources Are All Y ou Need                                                                          28\nInterfacing with Large Language Models                                                                   29\nProprietary, Private Models                                                                                      29\nOpen Models                                                                                                               30\nOpen Source Frameworks                                                                                         31\nGenerating Y our First Text                                                                                           32\nSummary                                                                                                                         34\nv\n2.Tokens and Embeddings. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  37\nLLM Tokenization                                                                                                         38\nHow Tokenizers Prepare the Inputs to the Language Model                               38\nDownloading and Running an LLM                                                                       39\nHow Does the Tokenizer Break Down Text?                                                          43\nWord Versus Subword Versus Character Versus Byte Tokens                            44\nComparing Trained LLM Tokenizers                                                                      46\nTokenizer Properties                                                                                                  55\nToken Embeddings                                                                                                        57\nA Language Model Holds Embeddings for the Vocabulary of Its Tokenizer    57\nCreating Contextualized Word Embeddings with Language Models                58\nText Embeddings (for Sentences and Whole Documents)                                      61\nWord Embeddings Beyond LLMs                                                                               63\nUsing pretrained Word Embeddings                                                                       63\nThe Word2vec Algorithm and Contrastive Training                                            64\nEmbeddings for Recommendation Systems                                                              67\nRecommending Songs by Embeddings                                                                   67\nTraining a Song Embedding Model                                                                         69\nSummary                                                                                                                         71\n3.Looking Inside Large Language Models. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  73\nAn Overview of Transformer Models                                                                         74\nThe Inputs and Outputs of a Trained Transformer LLM                                     74\nThe Components of the Forward Pass                                                                    76\nChoosing a Single Token from the Probability Distribution (Sampling/\nDecoding)                                                                                                                79\nParallel Token Processing and Context Size                                                           81\nSpeeding Up Generation by Caching Keys and Values                                        83\nInside the Transformer Block                                                                                   85\nRecent Improvements to the Transformer Architecture                                         95\nMore Efficient Attention                                                                                           96\nThe Transformer Block                                                                                           101\nPositional Embeddings (RoPE)                                                                              102\nOther Architectural Experiments and Improvements                                       105\nSummary                                                                                                                       106\nPart II. Using Pretrained Language Models\n4.Text Classification . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  111\nThe Sentiment of Movie Reviews                                                                              112\nText Classification with Representation Models                                                     113\nvi | Table of Contents\nModel Selection                                                                                                            115\nUsing a Task-Specific Model                                                                                      116\nClassification Tasks That Leverage Embeddings                                                     120\nSupervised Classification                                                                                        121\nWhat If We Do Not Have Labeled Data?                                                              123\nText Classification with Generative Models                                                             127\nUsing the Text-to-Text Transfer Transformer                                                      128\nChatGPT for Classification                                                                                     132\nSummary                                                                                                                       135\n5.Text Clustering and Topic Modeling. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  137\nArXiv’s Articles: Computation and Language                                                         138\nA Common Pipeline for Text Clustering                                                                 139\nEmbedding Documents                                                                                          139\nReducing the Dimensionality of Embeddings                                                     140\nCluster the Reduced Embeddings                                                                          142\nInspecting the Clusters                                                                                            144\nFrom Text Clustering to Topic Modeling                                                                 146\nBERTopic: A Modular Topic Modeling Framework                                           148\nAdding a Special Lego Block                                                                                  156\nThe Text Generation Lego Block                                                                           160\nSummary                                                                                                                       164\n6.Prompt Engineering. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  167\nUsing Text Generation Models                                                                                  167\nChoosing a Text Generation Model                                                                       167\nLoading a Text Generation Model                                                                         168\nControlling Model Output                                                                                     170\nIntro to Prompt Engineering                                                                                     173\nThe Basic Ingredients of a Prompt                                                                        173\nInstruction-Based Prompting                                                                                175\nAdvanced Prompt Engineering                                                                                 177\nThe Potential Complexity of a Prompt                                                                 177\nIn-Context Learning: Providing Examples                                                          180\nChain Prompting: Breaking up the Problem                                                       182\nReasoning with Generative Models                                                                          184\nChain-of-Thought: Think Before Answering                                                      185\nSelf-Consistency: Sampling Outputs                                                                     188\nTree-of-Thought: Exploring Intermediate Steps                                                 189\nOutput Verification                                                                                                     191\nProviding Examples                                                                                                 192\nGrammar: Constrained Sampling                                                                         194\nTable of Contents | vii\nSummary                                                                                                                       198\n7.Advanced Text Generation Techniques and Tools. . . . . . . . . . . . . . . . . . . . . . . . . . . . .  199\nModel I/O: Loading Quantized Models with LangChain                                      200\nChains: Extending the Capabilities of LLMs                                                           202\nA Single Link in the Chain: Prompt Template                                                     203\nA Chain with Multiple Prompts                                                                            206\nMemory: Helping LLMs to Remember Conversations                                          209\nConversation Buffer                                                                                                 210\nWindowed Conversation Buffer                                                                            212\nConversation Summary                                                                                          214\nAgents: Creating a System of LLMs                                                                          218\nThe Driving Power Behind Agents: Step-by-step Reasoning                            219\nReAct in LangChain                                                                                                221\nSummary                                                                                                                       224\n8.Semantic Search and Retrieval-Augmented Generation. . . . . . . . . . . . . . . . . . . . . . . .  225\nOverview of Semantic Search and RAG                                                                   226\nSemantic Search with Language Models                                                                  228\nDense Retrieval                                                                                                         228\nReranking                                                                                                                  240\nRetrieval Evaluation Metrics                                                                                  244\nRetrieval-Augmented Generation (RAG)                                                                249\nFrom Search to RAG                                                                                               250\nExample: Grounded Generation with an LLM API                                            252\nExample: RAG with Local Models                                                                         252\nAdvanced RAG Techniques                                                                                    255\nRAG Evaluation                                                                                                        257\nSummary                                                                                                                       258\n9.Multimodal Large Language Models. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  259\nTransformers for Vision                                                                                             260\nMultimodal Embedding Models                                                                                263\nCLIP: Connecting Text and Images                                                                       265\nHow Can CLIP Generate Multimodal Embeddings?                                          265\nOpenCLIP                                                                                                                 268\nMaking Text Generation Models Multimodal                                                         273\nBLIP-2: Bridging the Modality Gap                                                                       273\nPreprocessing Multimodal Inputs                                                                         278\nUse Case 1: Image Captioning                                                                                280\nUse Case 2: Multimodal Chat-Based Prompting                                                 283\nSummary                                                                                                                       286\nviii | Table of Contents\nPart III. Training and Fine-Tuning Language Models\n10. Creating Text Embedding Models. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  289\nEmbedding Models                                                                                                      289\nWhat Is Contrastive Learning?                                                                                  291\nSBERT                                                                                                                            293\nCreating an Embedding Model                                                                                  296\nGenerating Contrastive Examples                                                                         296\nTrain Model                                                                                                               297\nIn-Depth Evaluation                                                                                                300\nLoss Functions                                                                                                          301\nFine-Tuning an Embedding Model                                                                           309\nSupervised                                                                                                                 309\nAugmented SBERT                                                                                                  311\nUnsupervised Learning                                                                                               316\nTransformer-Based Sequential Denoising Auto-Encoder                                  316\nUsing TSDAE for Domain Adaptation                                                                 320\nSummary                                                                                                                       321\n11. Fine-Tuning Representation Models for Classification . . . . . . . . . . . . . . . . . . . . . . . . .  323\nSupervised Classification                                                                                            323\nFine-Tuning a Pretrained BERT Model                                                                325\nFreezing Layers                                                                                                         328\nFew-Shot Classification                                                                                               333\nSetFit: Efficient Fine-Tuning with Few Training Examples                               333\nFine-Tuning for Few-Shot Classification                                                              337\nContinued Pretraining with Masked Language Modeling                                    340\nNamed-Entity Recognition                                                                                        345\nPreparing Data for Named-Entity Recognition                                                   347\nFine-Tuning for Named-Entity Recognition                                                       352\nSummary                                                                                                                       353\n12. Fine-Tuning Generation Models. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  355\nThe Three LLM Training Steps: Pretraining, Supervised Fine-Tuning, and\nPreference Tuning                                                                                                    355\nSupervised Fine-Tuning (SFT)                                                                                  357\nFull Fine-Tuning                                                                                                       357\nParameter-Efficient Fine-Tuning (PEFT)                                                             359\nInstruction Tuning with QLoRA                                                                               367\nTemplating Instruction Data                                                                                  367\nModel Quantization                                                                                                 369\nLoRA Configuration                                                                                                370\nTable of Contents | ix\nTraining Configuration                                                                                           371\nTraining                                                                                                                     372\nMerge Weights                                                                                                          373\nEvaluating Generative Models                                                                                   373\nWord-Level Metrics                                                                                                 374\nBenchmarks                                                                                                              374\nLeaderboards                                                                                                            376\nAutomated Evaluation                                                                                             376\nHuman Evaluation                                                                                                   376\nPreference-Tuning / Alignment / RLHF                                                                  378\nAutomating Preference Evaluation Using Reward Models                                   379\nThe Inputs and Outputs of a Reward Model                                                       380\nTraining a Reward Model                                                                                       380\nTraining No Reward Model                                                                                    384\nPreference Tuning with DPO                                                                                     385\nTemplating Alignment Data                                                                                   386\nModel Quantization                                                                                                 386\nTraining Configuration                                                                                           387\nTraining                                                                                                                     388\nSummary                                                                                                                       389\nAfterword. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  391\nIndex. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  393\nx | Table of Contents",24696
02-Preface.pdf,02-Preface,,0
03-Prerequisites.pdf,03-Prerequisites,"Preface\nLarge language models (LLMs) have had a profound and far-reaching impact on the\nworld. By enabling machines to better understand and generate human-like language,\nLLMs have opened new possibilities in the field of AI and impacted entire industries.\nThis book provides a comprehensive and highly visual introduction to the world of\nLLMs, covering both the conceptual foundations and practical applications. From\nword representations that preceded deep learning to the cutting-edge (at the time\nof this writing) Transformer architecture, we will explore the history and evolution\nof LLMs. We delve into the inner workings of LLMs, exploring their architectures,\ntraining methods, and fine-tuning techniques. We also examine various applications\nof LLMs in text classification, clustering, topic modeling, chatbots, search engines,\nand more.\nWith its unique blend of intuition-building, applications, and illustrative style, we\nhope that this book provides the ideal foundation for those looking to explore the\nexciting world of LLMs. Whether you are a beginner or an expert, we invite you to\njoin us on this journey to start building with LLMs.\nAn Intuition-First Philosophy\nThe main goal of this book is to provide an intuition  into the field of LLMs. The pace\nof development in the Language AI field is incredibly fast and frustration can build\ntrying to keep up with the latest technologies. Instead, we focus on the fundamentals\nof LLMs and intend to provide a fun and easy learning process.\nTo achieve this intuition-first  philosophy  we liberally make use of visual language.\nIllustrations will help give a visual identity to major concepts and processes involved\nxi",1703
04-Book Structure.pdf,04-Book Structure,,0
05-Part III Training and Fine-Tuning Language Models.pdf,05-Part III Training and Fine-Tuning Language Models,"1J. Alammar. “Machine learning research communication via illustrated and interactive web articles. ” Beyond\nStatic Papers: Rethinking How We Share Scientific  Understanding in ML . ICLR 2021 Workshop (2021).in the learning process of LLMs.1 With our illustrative method of storytelling, we\nwant to take you on a journey to this exciting and potentially world-changing field.\nThroughout the book, we make a clear distinction between representation and gener‐\native language models. Representation models are LLMs that do not generate text but\nare commonly used for task-specific use cases, like classification, whereas generation\nmodels are LLMs that generate text, like GPT models. Although generative models\nare typically the first thing that comes to mind when thinking about LLMs, there is\nstill much use for representation models. We are also loosely using the word “large”\nin large language models  and often elect to simply call them language models as size\ndescriptions are often rather arbitrary and not always indicative of capability.\nPrerequisites\nThis book assumes that you have some experience programming in Python and are\nfamiliar with the fundamentals of machine learning. The focus will be on building a\nstrong intuition rather than deriving mathematical equations. As such, illustrations\ncombined with hands-on examples will drive the examples and learning through this\nbook. This book assumes no prior knowledge of popular deep learning frameworks\nsuch as PyTorch or TensorFlow nor any prior knowledge of generative modeling.\nIf you are not familiar with Python, a great place to start is Learn Python , where you\nwill find many tutorials on the basics of the language. To further ease the learning\nprocess, we made all the code available on Google Colab , a platform where you can\nrun all of the code without the need to install anything locally.\nBook Structure\nThe book is broadly divided into three parts. They are illustrated in Figure P-1  to give\nyou a full view of the book. Note that each chapter can be read independently, so feel\nfree to skim chapters you are already familiar with.\nPart I: Understanding Language Models\nIn Part I of the book, we explore the inner workings of language models both small\nand large. We start with an overview of the field and common techniques (see Chap‐\nter 1 ) before moving over to two central components of these models, tokenization\nand embeddings (see Chapter 2 ). We finish this part of the book with an updated\nand expanded version of Jay’s well-known Illustrated Transformer , which dives into\nxii | Preface\nthe architecture of these models (see Chapter 3 ). Many terms and definitions will be\nintroduced that are used throughout the book.\nFigure P-1. All parts and chapters of the book.\nPart II: Using Pretrained Language Models\nIn Part II of the book, we explore how LLMs can be used through common use cases.\nWe use pretrained models and demonstrate their capabilities without the need to\nfine-tune them.\nY ou learn how to use language models for supervised classification (see Chapter 4 ),\ntext clustering and topic modeling (see Chapter 5 ), leveraging embedding models\nfor semantic search (see Chapter 6 ), generating text (see Chapters 7 and 8), and\nextending the capabilities of text generation to the visual domain (see Chapter 9 ).\nPreface | xiii",3371
06-API Keys.pdf,06-API Keys,"Learning these individual language model capabilities will equip you with the skill\nset to problem-solve with LLMs and build more and more advanced systems and\npipelines.\nPart III: Training and Fine-Tuning Language Models\nIn Part III of the book, we explore advanced concepts through training and fine-\ntuning all kinds of language models. We will explore how to create and fine-tune an\nembedding model (see Chapter 10 ), review how to fine-tune BERT for classification\n(see Chapter 11 ), and end the book with several methods for fine-tuning generation\nmodels (see Chapter 12 ).\nHardware and Software Requirements\nRunning generative models is generally a compute-intensive task that requires a com‐\nputer with a strong GPU. Since those are not available to every reader, all examples\nin this book are made to run using an online platform, namely Google Colaboratory ,\noften shortened to “Google Colab. ” At the time of writing, this platform allows you to\nuse an NVIDIA GPU (T4) for free to run your code. This GPU  has 16 GB of VRAM\n(which is the memory of your GPU), which is the minimum amount of VRAM we\nexpect for the examples throughout the book.\nNot all chapters require a minimum of 16 GB VRAM as\nsome examples, like training and fine-tuning, are more compute-\nintensive than others, such as prompt engineering. In the repos‐\nitory, you will find the minimum GPU requirements for each\nchapter.\nAll code, requirements, and additional tutorials are available in this book’s repository .\nIf you want to run the examples locally, we recommend access to an NVIDIA GPU\nwith a minimum of 16 GB of VRAM. For a local installation, for example with conda,\nyou can follow this setup to create your environment:\nconda create -n thellmbook python=3.10\nconda activate thellmbook\nY ou can install all the necessary dependencies by forking or cloning the repository\nand then running the following in your newly created Python 3.10 environment:\npip install -r requirements.txt\nxiv | Preface",2013
07-Using Code Examples.pdf,07-Using Code Examples,"API Keys\nWe use both open source and proprietary models throughout the examples to\ndemonstrate the advantages and disadvantages of both. For the proprietary models,\nusing OpenAI and Cohere’s offering, you will need to create a free account:\nOpenAI\nClick  “sign up” on the site to create a free account. This account allows you to\ncreate an API key, which can be used to access GPT-3.5. Then, go to “ API keys” to\ncreate a secret key.\nCohere\nRegister  a free account on the website. Then, go to “ API keys” to create a secret\nkey.\nNote that with both accounts, rate limits apply and that these free API keys only allow\nfor a limited number of calls per minute. Throughout all examples, we have taken\nthat into account and provided local alternatives if necessary.\nFor the open source models, you do not need to create an account with the exception\nof the Llama 2 model in Chapter 2 . To use that model, you will need a Hugging Face\naccount:\nHugging Face\nClick  “sign up” on the Hugging Face website to create a free account. Then, in\n“Settings” go to “ Access Tokens” to create a token that you can use to download\ncertain LLMs.\nConventions Used in This Book\nThe following typographical conventions are used in this book:\nItalic\nIndicates new terms, URLs, email addresses, filenames, and file extensions.\nConstant width\nUsed for program listings, as well as within paragraphs to refer to program\nelements such as variable or function names, databases, data types, environment\nvariables, statements, and keywords.\nConstant width bold\nShows commands or other text that should be typed literally by the user.\nConstant width italic\nShows text that should be replaced with user-supplied values or by values deter‐\nmined by context.\nPreface | xv",1772
08-How to Contact Us.pdf,08-How to Contact Us,"This element signifies a tip or suggestion.\nThis element signifies a general note.\nUsing Code Examples\nSupplemental material (code examples, exercises, etc.) is available for download at\nhttps://github.com/HandsOnLLM/Hands-On-Large-Language-Models .\nIf you have a technical question or a problem using the code examples, please send\nemail to support@oreilly.com .\nThis book is here to help you get your job done. In general, if example code is\noffered with this book, you may use it in your programs and documentation. Y ou\ndo not need to contact us for permission unless you’re reproducing a significant\nportion of the code. For example, writing a program that uses several chunks of code\nfrom this book does not require permission. Selling or distributing examples from\nO’Reilly books does require permission. Answering a question by citing this book\nand quoting example code does not require permission. Incorporating a significant\namount of example code from this book into your product’s documentation does\nrequire permission.\nWe appreciate, but generally do not require, attribution. An attribution usually\nincludes the title, author, publisher, and ISBN. For example: “ Hands-On Large Lan‐\nguage Models  by Jay Alammar and Maarten Grootendorst (O’Reilly). Copyright 2024\nJay Alammar and Maarten Pieter Grootendorst, 978-1-098-15096-9. ”\nIf you feel your use of code examples falls outside fair use or the permission given\nabove, feel free to contact us at permissions@oreilly.com .\nO’Reilly Online Learning\nFor more than 40 years, O’Reilly Media  has provided technol‐\nogy and business training, knowledge, and insight to help\ncompanies succeed.\nxvi | Preface",1692
09-Acknowledgments.pdf,09-Acknowledgments,"Our unique network of experts and innovators share their knowledge and expertise\nthrough books, articles, and our online learning platform. O’Reilly’s online learning\nplatform gives you on-demand access to live training courses, in-depth learning\npaths, interactive coding environments, and a vast collection of text and video from\nO’Reilly and 200+ other publishers. For more information, visit https://oreilly.com .\nHow to Contact Us\nPlease address comments and questions concerning this book to the publisher:\nO’Reilly Media, Inc.\n1005 Gravenstein Highway North\nSebastopol, CA 95472\n800-889-8969 (in the United States or Canada)\n707-827-7019 (international or local)\n707-829-0104 (fax)\nsupport@oreilly.com\nhttps://www.oreilly.com/about/contact.html\nWe have a web page for this book, where we list errata, examples, and any additional\ninformation. Y ou can access this page at https://oreil.ly/hands_on_LLMs_1e .\nFor news and information about our books and courses, visit https://oreilly.com .\nFind us on LinkedIn: https://linkedin.com/company/oreilly-media .\nWatch us on Y ouTube: https://youtube.com/oreillymedia .\nAcknowledgments\nWriting this book has been an incredible experience, collaboration, and journey\nfor us.\nThe field of (large) language models is one of the most dynamic areas in technology\ntoday, and within the span of writing this book, we have witnessed extraordinary\nadvancements. Y et, despite the rapid pace of change, the fundamental principles\nremain strikingly consistent which made the writing process particularly intriguing.\nWe are grateful to have had the opportunity to explore this field in-depth at such a\npivotal moment.\nWorking with our O’Reilly team was incredible! Special thanks to Michele Cronin for\nher amazing feedback, support, and enthusiasm for this book from day one. We could\nnot have asked for a better editor—you are amazing! Thank you, Nicole Butterfield,\nfor kicking off this book and helping us maintain a structured approach throughout\nthe writing. Thank you to Karen Montgomery for creating our wonderful cover, we\nPreface | xvii\nlove the kangaroo! Big thanks to Kate Dullea for being so patient with us having to go\nthrough hundreds of illustrations many times over. The timely early releases by Clare\nLaylock helped us see our work grow which was a big motivator, thank you. Thanks\nto Ashley Stussy and Charles Roumeliotis for the development in the final stages of\nthe book and everyone else at O’Reilly who contributed.\nThanks to our amazing crew of technical reviewers. Invaluable feedback was given\nby Harm Buisman, Emir Muñoz, Luba Elliott, Guarav Chawla, Rafael V . Pierre, Luba\nElliott, Tarun Narayanan, Nikhil Buduma, and Patrick Harrison.\nJay\nI’ d love to extend my deepest gratitude to my family for their unwavering support\nand inspiration. I would like to specifically acknowledge my parents, Abdullah and\nMishael, and my aunts, Hussah and Aljoharah.\nI’m grateful to the friends, colleagues, and collaborators who helped me understand\nand explain the tricky concepts covered in this book as well as to the Cohere folks\nwho cultivate a supporting learning and sharing environment. Thank you to Adrien\nMorisot, Aidan Gomez, Andy Toulis, Anfal Alatawi, Arash Ahmadian, Bharat Venki‐\ntesh, Edward Grefenstette, Ivan Zhang, Joao Araújo, Luis Serrano, Matthias Gallé,\nMeor Amer, Nick Frosst, Patrick Lewis, Phil Blunsom, Sara Hooker, and Suhas Pai.\nI couldn’t conceive of this project getting accomplished to the level it has without\nthe extraordinary talent and tireless effort of Maarten, my coauthor. Y our ability\nto repeatedly nail the technical details (from the pinned version of the nth import\ndependency to the latest in LLM quantization) while weaving some of the world’s best\nvisual narratives is absolutely breathtaking.\nLastly, a tip of the hat to the incredible coffee shop scene of Riyadh, Saudi Arabia for\nsupplying me with caffeine and a good place to focus from dawn until midnight. It’s\nwhere I read most of these papers and worked out my understanding (looking at you,\nElixir Bunn).\nMaarten\nI want to begin by expressing my heartfelt appreciation to my coauthor, Jay. Y our\ninsights have made this not only possible but incredibly fulfilling. This journey has\nbeen nothing short of amazing and collaborating with you has been an absolute joy.\nI want to sincerely thank my wonderful colleagues at IKNL for their continued\nsupport throughout this journey. A special mention goes to Harm—our Monday\nmorning coffee breaks discussing this book were a constant source of encouragement.\nThank you to my family and friends for their unwavering support, and to my parents\nin particular. Pap, despite the challenges you faced, you always found a way to be\nxviii | Preface\nthere for me when I needed it most, thank you. Mam, the conversations we had\nas aspiring writers were wonderful and motivated me more than you could ever\nimagine. Thank you both for your endless support and encouragement.\nFinally, I am at a loss for words to adequately express my gratitude to my wonderful\nwife, Ilse. Lieverd, your boundless enthusiasm and patience have been legendary,\nespecially when I droned on about the latest LLM developments for hours on end.\nY ou are my greatest support. My apologies to my amazing daughter, Sarah. At just\ntwo years old, you already have listened to more about large language models than\nanyone should have to endure in a lifetime! I promise we’ll make up for it with\nendless playtime and adventures together.\nPreface | xix",5593
10-Part I. Understanding Language Models.pdf,10-Part I. Understanding Language Models,PART I\nUnderstanding Language Models,37
