filename,title,text,len
01-Cover.pdf,01-Cover,"MACHINE LEARNING“A must read for \npractitioners aspiring \nto build real-world \nsystems, not just  \ntrain models.”\n—Jacopo Tagliabue\nCo-founder of Bauplan,  \nco-creator of RecList and evalRS\n“This book will sit on \nmy bookshelf as the \nstandard reference on \nthis topic from now on.”\n—Will Kurt\nAI engineer and author of  \nBayesian Statistics the Fun Way and  \nGet Programming with HaskellBuilding Recommendation  \nSystems in Python and JAX\nTwitter: @oreillymedia\nlinkedin.com/company/oreilly-media\nyoutube.com/oreillymedia Implementing and designing systems that make suggestions \nto users are among the most popular and essential machine \nlearning applications available. Whether you want customers \nto find the most appealing items at your online store, videos \nto enrich and entertain them, or news they need to know, \nrecommendation systems (RecSys) provide the way. \nIn this practical book, authors Bryan Bischof and Hector Yee  \nillustrate core concepts and provide examples to help you  \ncreate a RecSys for any industry or scale. You’ll learn the  \nmath, ideas, and implementation details you need to succeed.  \nThis book includes the RecSys platform components,  \nrelevant MLOps tools in your stack, plus code examples and \nhelpful suggestions in PySpark, SparkSQL, FastAPI,  \nand Weights & Biases. \nYou’ll learn:\n• The data essential for building a RecSys\n• How to frame your data and business as a RecSys problem\n• Ways to evaluate models appropriate for your system\n• Methods to implement, train, test, and deploy the model  \nyou choose\n• Metrics you need to track to ensure your system is  \nworking as planned\n• How to improve your system as you learn more about  \nyour users, products, and business caseBryan Bischof  leads AI at Hex,  \nand is an adjunct professor in the \nRutgers Masters of Business and \nAnalytics program where he teaches  \nData Science. Previously, he was  \nthe Head of Data Science at Weights \nand Biases, where he built the DS, \nML, and Data Engineering teams. \nHector Yee  is a staff software \nengineer at Google who’s worked  \non projects that include the  \nfirst content-based ranker on  \nimage search and self-driving  \ncar perception. \n9781492 09799057999US $79.99  CAN $99.99\nISBN: 978-1-492-09799-0\nPraise for Building Recommendation Systems in\nPython and JAX\nBryan and Hector have created something special here, introducing concepts that\ntake most people years to learn within the RecSys domain and then providing\nclear code examples that put them into practice. I wish I had this book when I\nstarted out on my RecSys journey.\n—Even Oldridge, Director of Engineering,\nRecommender Systems, NVIDIA\nThis is a book I’ve been waiting for, making recommendation systems accessible using\nJAX. The only other thing you need is your laptop.\n—Shaked Zychlinski, former Head of\nRecommendations at Lightricks\nBryan and Hector have distilled decades of recommendation system advancements into a\nconcise, yet practical guide. Bridging the gap between theory and application, this book\nis packed with easy-to-understand Python and JAX examples. This is an indispensable\nguide for RecSys practitioners at all levels, from novices to experts.\n—Eugene Yan, Applied Scientist, Amazon\nThis book takes a holistic approach to building recommender systems, synthesizing\nmath, code, systems design, and business application. It covers all the nuances\nthat practitioners need to consider to implement real-world solutions. The intuitive\nexamples using publicly available datasets enables the reader to turn abstract\nconcepts into concrete learnings.\n—Eric Colson, AI Advisor, Former Chief Algorithms Officer  at\nStitch Fix, Former VP of Data Science and Engineering at Netflix\nRecommender systems are among the most impactful ML systems ever deployed.\nThis book brilliantly navigates the balance between principled modeling, clear code\nexamples, and architectural best practices. A must read for practitioners aspiring to\nbuild real-world systems, not just train models.\n—Jacopo Tagliabue, Co-founder of Bauplan, Adjunct Professor\nof ML Systems at NYU, Co-creator of RecList and evalRS\nFor years I’ve found there is a tremendous gap between recommendation systems as\ndescribed in texts and as practiced in the field. Y ee and Bischof ’s excellent Building\nRecommendation Systems in Python and JAX  closes this gap and will make readers finally\nfeel initiated into this vital area of data science.\n—Will Kurt, AI Engineer and author of Bayesian Statistics the\nFun Way  and Get Programming with Haskell\nThis book is an essential resource for anyone interested in the information retrieval (IR)\nspace. The authors take special care to do the incredibly important and nuanced work of\npreparing the reader to solve problems in this space. With this book as a reference, you\nwill be able to think through how to set up the IR problem, think through the practical\nsteps to take, and then get building.\n—Eric Schles, Research Scientist, Johns Hopkins University\nBryan Bischof and Hector YeeBuilding Recommendation\nSystems in Python and JAX\nHands-on Production Systems at Scale\nBoston Farnham Sebastopol Tokyo Beijing Boston Farnham Sebastopol Tokyo Beijing",5271
02-Table of Contents.pdf,02-Table of Contents,"978-1-492-09799-0\n[LSI]Building Recommendation Systems in Python and JAX\nby Bryan Bischof and Hector Y ee\nCopyright © 2024 Bryan Bischof and Resonant Intelligence LLC. All rights reserved.\nPrinted in the United States of America.\nPublished by O’Reilly Media, Inc., 1005 Gravenstein Highway North, Sebastopol, CA 95472.\nO’Reilly books may be purchased for educational, business, or sales promotional use. Online editions are\nalso available for most titles ( http://oreilly.com ). For more information, contact our corporate/institutional\nsales department: 800-998-9938 or corporate@oreilly.com .\nAcquisitions Editor:  Nicole Butterfield\nDevelopment Editor:  Jill Leonard\nProduction Editor:  Aleeya Rahman\nCopyeditor:  Sharon Wilkey\nProofreader:  Piper Editorial Consulting, LLCIndexer:  Judith McConville\nInterior Designer:  David Futato\nCover Designer:  Karen Montgomery\nIllustrator:  Kate Dullea\nDecember 2023:  First Edition\nRevision History for the First Edition\n2023-12-04: First Release\nSee http://oreilly.com/catalog/errata.csp?isbn=9781492097990  for release details.\nThe O’Reilly logo is a registered trademark of O’Reilly Media, Inc. Building Recommendation Systems in\nPython and JAX , the cover image, and related trade dress are trademarks of O’Reilly Media, Inc.\nThe views expressed in this work are those of the authors and do not represent the publisher’s views.\nWhile the publisher and the authors have used good faith efforts to ensure that the information and\ninstructions contained in this work are accurate, the publisher and the authors disclaim all responsibility\nfor errors or omissions, including without limitation responsibility for damages resulting from the use\nof or reliance on this work. Use of the information and instructions contained in this work is at your\nown risk. If any code samples or other technology this work contains or describes is subject to open\nsource licenses or the intellectual property rights of others, it is your responsibility to ensure that your use\nthereof complies with such licenses and/or rights.\nTable of Contents\nPreface. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  xiii\nPart I. Warming Up\n1.Introduction. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  3\nKey Components of a Recommendation System                                                        4\nCollector                                                                                                                        4\nRanker                                                                                                                            4\nServer                                                                                                                             4\nSimplest Possible Recommenders                                                                                 5\nThe Trivial Recommender                                                                                          5\nMost-Popular-Item Recommender                                                                           6\nA Gentle Introduction to JAX                                                                                        7\nBasic Types, Initialization, and Immutability                                                           7\nIndexing and Slicing                                                                                                    9\nBroadcasting                                                                                                                  9\nRandom Numbers                                                                                                      10\nJust-in-Time Compilation                                                                                         11\nSummary                                                                                                                         12\n2.User-Item Ratings and Framing the Problem. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  13\nThe User-Item Matrix                                                                                                    13\nUser-User Versus Item-Item Collaborative Filtering                                                16\nThe Netflix Challenge                                                                                                   17\nSoft Ratings                                                                                                                     19\nData Collection and User Logging                                                                              19\nWhat to Log                                                                                                                20\nv\nCollection and Instrumentation                                                                               23\nFunnels                                                                                                                         24\nBusiness Insight and What People Like                                                                      26\nSummary                                                                                                                         27\n3.Mathematical Considerations. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  29\nZipf ’s Laws in RecSys and the Matthew Effect                                                          29\nSparsity                                                                                                                            32\nUser Similarity for Collaborative Filtering                                                                 34\nPearson Correlation                                                                                                   35\nRatings via Similarity                                                                                                 36\nExplore-Exploit as a Recommendation System                                                        37\nϵ-greedy                                                                                                                       38\nWhat Should ϵ Be?                                                                                                     39\nThe NLP-RecSys Relationship                                                                                     40\nVector Search                                                                                                              40\nNearest-Neighbors Search                                                                                        42\nSummary                                                                                                                         42\n4.System Design for Recommending. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  43\nOnline Versus Offline                                                                                                    43\nCollector                                                                                                                          44\nOffline Collector                                                                                                         44\nOnline Collector                                                                                                         45\nRanker                                                                                                                             45\nOffline Ranker                                                                                                            46\nOnline Ranker                                                                                                            46\nServer                                                                                                                               46\nOffline Server                                                                                                              47\nOnline Server                                                                                                              47\nSummary                                                                                                                         47\n5.Putting It All Together: Content-Based Recommender. . . . . . . . . . . . . . . . . . . . . . . . . .  49\nRevision Control Software                                                                                            50\nPython Build Systems                                                                                                    51\nRandom-Item Recommender                                                                                      52\nObtaining the STL Dataset Images                                                                              54\nConvolutional Neural Network Definition                                                                55\nModel Training in JAX, Flax, and Optax                                                                    56\nInput Pipeline                                                                                                                 58\nSummary                                                                                                                         70\nvi | Table of Contents\nPart II. Retrieval\n6.Data Processing. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  73\nHydrating Y our System                                                                                                 73\nPySpark                                                                                                                        73\nExample: User Similarity in PySpark                                                                       77\nDataLoaders                                                                                                                82\nDatabase Snapshots                                                                                                    84\nData Structures for Learning and Inference                                                              85\nVector Search                                                                                                              86\nApproximate Nearest Neighbors                                                                             87\nBloom Filters                                                                                                               88\nFun Aside: Bloom Filters as the Recommendation System                                 89\nFeature Stores                                                                                                              90\nSummary                                                                                                                         94\n7.Serving Models and Architectures. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  95\nArchitectures by Recommendation Structure                                                           95\nItem-to-User Recommendations                                                                             96\nQuery-Based Recommendations                                                                             96\nContext-Based Recommendations                                                                          98\nSequence-Based Recommendations                                                                        99\nWhy Bother with Extra Features?                                                                            99\nEncoder Architectures and Cold Starting                                                                100\nDeployment                                                                                                                  103\nModels as APIs                                                                                                         103\nSpinning Up a Model Service                                                                                 104\nWorkflow Orchestration                                                                                         105\nAlerting and Monitoring                                                                                            108\nSchemas and Priors                                                                                                  108\nIntegration Tests                                                                                                       109\nObservability                                                                                                             110\nEvaluation in Production                                                                                            111\nSlow Feedback                                                                                                          111\nModel Metrics                                                                                                           112\nContinuous Training and Deployment                                                                    113\nModel Drift                                                                                                               113\nDeployment Topologies                                                                                          114\nThe Evaluation Flywheel                                                                                             117\nDaily Warm Starts                                                                                                    117\nLambda Architecture and Orchestration                                                             118\nLogging                                                                                                                      119\nTable of Contents | vii\nActive Learning                                                                                                        122\nSummary                                                                                                                       125\n8.Putting It All Together: Data Processing and Counting Recommender. . . . . . . . . . . .  127\nTech Stack                                                                                                                     128\nData Representation                                                                                                    129\nBig Data Frameworks                                                                                                  130\nCluster Frameworks                                                                                                132\nPySpark Example                                                                                                     132\nGloVE Model Definition                                                                                            142\nGloVE Model Specification in JAX and Flax                                                       143\nGloVE Model Training with Optax                                                                       145\nSummary                                                                                                                   146\nPart III. Ranking\n9.Feature-Based and Counting-Based Recommendations. . . . . . . . . . . . . . . . . . . . . . . .  149\nBilinear Factor Models (Metric Learning)                                                               149\nFeature-Based Warm Starting                                                                                    153\nSegmentation Models and Hybrids                                                                           155\nTag-Based Recommenders                                                                                      155\nHybridization                                                                                                            157\nLimitations of Bilinear Models                                                                                  157\nCounting Recommenders                                                                                           159\nReturn to the Most-Popular-Item Recommender                                               159\nCorrelation Mining                                                                                                  160\nPointwise Mutual Information via Co-occurrences                                            162\nSimilarity from Co-occurrence                                                                              163\nSimilarity-Based Recommendations                                                                     164\nSummary                                                                                                                       165\n10. Low-Rank Methods. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  167\nLatent Spaces                                                                                                                167\nDot Product Similarity                                                                                                169\nCo-occurrence Models                                                                                                171\nReducing the Rank of a Recommender Problem                                                    172\nOptimizing for MF with ALS                                                                                 174\nRegularization for MF                                                                                             176\nRegularized MF Implementation                                                                           177\nWSABIE                                                                                                                     199\nDimension Reduction                                                                                                 199\nviii | Table of Contents\nIsometric Embeddings                                                                                             203\nNonlinear Locally Metrizable Embeddings                                                          204\nCentered Kernel Alignment                                                                                    206\nAffinity and p-sale                                                                                                       206\nPropensity Weighting for Recommendation System Evaluation                          208\nPropensity                                                                                                                 209\nSimpson’s and Mitigating Confounding                                                               210\nSummary                                                                                                                       212\n11. Personalized Recommendation Metrics. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  213\nEnvironments                                                                                                               214\nOnline and Offline                                                                                                   214\nUser Versus Item Metrics                                                                                        215\nA/B Testing                                                                                                                215\nRecall and Precision                                                                                                    216\n@ k                                                                                                                              218\nPrecision at k                                                                                                             219\nRecall at k                                                                                                                  219\nR-precision                                                                                                                220\nmAP , MMR, NDCG                                                                                                    220\nmAP                                                                                                                           220\nMRR                                                                                                                           221\nNDCG                                                                                                                        222\nmAP Versus NDCG?                                                                                               223\nCorrelation Coefficients                                                                                          223\nRMSE from Affinity                                                                                                    224\nIntegral Forms: AUC and cAUC                                                                               224\nRecommendation Probabilities to AUC-ROC                                                    225\nComparison to Other Metrics                                                                                225\nBPR                                                                                                                                226\nSummary                                                                                                                       227\n12. Training for Ranking. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  229\nWhere Does Ranking Fit in Recommender Systems?                                            229\nLearning to Rank                                                                                                         230\nTraining an LTR Model                                                                                               231\nClassification for Ranking                                                                                      231\nRegression for Ranking                                                                                           231\nClassification and Regression for Ranking                                                           232\nW ARP                                                                                                                            233\nk-order Statistic                                                                                                            234\nBM25                                                                                                                             236\nTable of Contents | ix\nMultimodal Retrieval                                                                                                  238\nSummary                                                                                                                       238\n13. Putting It All Together: Experimenting and Ranking. . . . . . . . . . . . . . . . . . . . . . . . . . .  241\nExperimentation Tips                                                                                                  241\nKeep It Simple                                                                                                           242\nDebug Print Statements                                                                                          242\nDefer Optimization                                                                                                  243\nKeep Track of Changes                                                                                            244\nUse Feature Engineering                                                                                         244\nUnderstand Metrics Versus Business Metrics                                                      245\nPerform Rapid Iteration                                                                                          245\nSpotify Million Playlist Dataset                                                                                 246\nBuilding URI Dictionaries                                                                                      248\nBuilding the Training Data                                                                                     249\nReading the Input                                                                                                     252\nModeling the Problem                                                                                             254\nFraming the Loss Function                                                                                     257\nExercises                                                                                                                        261\nSummary                                                                                                                       262\nPart IV. Serving\n14. Business Logic. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  265\nHard Ranking                                                                                                               266\nLearned Avoids                                                                                                            266\nHand-Tuned Weights                                                                                                  267\nInventory Health                                                                                                          268\nImplementing Avoids                                                                                                  269\nModel-Based Avoids                                                                                                    271\nSummary                                                                                                                       272\n15. Bias in Recommendation Systems. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  273\nDiversification of Recommendations                                                                       274\nImproving Diversity                                                                                                274\nApplying Portfolio Optimization                                                                           276\nMultiobjective Functions                                                                                            277\nPredicate Pushdown                                                                                                    278\nFairness                                                                                                                          279\nSummary                                                                                                                       280\nx | Table of Contents\n16. Acceleration Structures. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  281\nSharding                                                                                                                        282\nLocality Sensitive Hashing                                                                                          282\nk-d Trees                                                                                                                        284\nHierarchical k-means                                                                                                  288\nCheaper Retrieval Methods                                                                                        290\nSummary                                                                                                                       290\nPart V. The Future of Recs\n17. Sequential Recommenders. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  293\nMarkov Chains                                                                                                             294\nOrder-Two Markov Chain                                                                                      295\nOther Markov Models                                                                                             295\nRNN and CNN Architectures                                                                                    297\nAttention Architectures                                                                                              299\nSelf-Attentive Sequential Recommendation                                                        300\nBERT4Rec                                                                                                                 300\nRecency Sampling                                                                                                    301\nMerging Static and Sequential                                                                                301\nSummary                                                                                                                       303\n18. What’s Next for Recs?. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  305\nMultimodal Recommendations                                                                                 306\nGraph-Based Recommenders                                                                                    307\nNeural Message Passing                                                                                          308\nApplications                                                                                                              310\nRandom Walks                                                                                                         311\nMetapath and Heterogeneity                                                                                  313\nLLM Applications                                                                                                        313\nLLM Recommenders                                                                                               314\nLLM Training                                                                                                            314\nInstruct Tuning for Recommendations                                                                317\nLLM Rankers                                                                                                            317\nRecommendations for AI                                                                                       318\nSummary                                                                                                                       319\nIndex. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  321\nTable of Contents | xi",31835
03-Preface.pdf,03-Preface,"Preface\nHow did you come to find this book? Did you see an ad for it on a website? Maybe\na friend or mentor suggested it; or perhaps you saw a post on social media that\nreferenced it. Could it be that you found it sitting on a shelf in a bookstore—a\nbookstore that your trusty maps app led you to? However you came to find it, you’ve\nalmost certainly come to this book via a recommendation system.\nImplementing  and designing systems that provide suggestions to users is among\nthe most popular and most essential applications of machine learning (ML) to any\nbusiness. Whether you want to help your users find the best clothing to match their\ntastes, the most appealing items to buy from an online store, videos to enrich and\nentertain them, maximally engaging content to surface from their networks, or the\nnews highlights they need to know on that day, recommendation systems provide\nthe way.\nModern recommendation system designs are as diverse as the domains they serve.\nThese systems consist of the computer software architectures to implement and\nexecute product goals, in addition to the algorithmic components of ranking. Meth‐\nods for ranking recommendations can come from traditional statistical learning\nalgorithms, linear-algebraic inspirations, geometric considerations, and, of course,\ngradient-based methods. Just as the algorithmic methods are diverse, so too are the\nmodeling and evaluation considerations for recommending: personalized ranking,\nsearch recommendations, sequence modeling, and the scoring for all of these are now\nneed-to-know for the ML engineer working with recommendation systems.\nThe abbreviation RecSys is often used by practitioners to describe\nthe field of recommendation systems. Therefore, in this book, we\nuse RecSys when referring to the field, and recommendation sys‐\ntem when referring to what we build.\nxiii\n1Some may quibble that Apple also has core recommendation systems at the heart of its company. While it’s\ncertainly true that the App Store forms a crucial strategic product for the company, we remain conservative\nin our four-out-of-five assessment and say that recommendation systems are not Apple’s primary revenue-\ngenerating capability.If you’re an ML practitioner, you are probably aware of recommendation systems,\nand you may know one or two of the simplest modeling approaches and be able\nto speak intelligently about the relevant data structures and model architectures;\nhowever, RecSys frequently falls outside the core curriculum of data science and ML.\nMany senior data scientists with years of experience in the industry know little about\nactually building a recommendation system and may feel intimidated when the topic\ncomes up. Despite drawing on similar foundations and skills as other ML problems,\nRecSys has a vibrant community with a fast-moving focus that can make it easy to\nrelegate building recommendation systems to other  data scientists who have already\ninvested the time, or are willing to stay on top of the latest information.\nThe reason this book exists, is to break through those perceived barriers. Understand‐\ning recommendation systems at a practical level is not only useful for business cases\nrequiring content to be served to users, but the underlying ideas of RecSys often\nbridge gaps between an incredibly diverse set of other types of ML. Take, for exam‐\nple, an article recommendation system that may utilize natural language processing\n(NLP) to find representations of the articles, sequential modeling to promote longer\nengagement, and contextual components to allow user queries to guide results. If\nyou’re approaching the field from a purely academic interest, no matter what aspects\nof mathematics you’re interested in, sooner or later, there appears a link or applica‐\ntion in RecSys!\nFinally, if connections to other fields, applications of nearly all of mathematics,\nor the obvious business utility aren’t  enough to get you interested in RecSys, the\nstunning cutting-edge technology might: RecSys is at and beyond the forefront of\nML at all times. One benefit of having obvious revenue impact is that companies\nand practitioners need to always be pushing the boundaries of what is possible and\nhow they go about it. The most advanced deep learning architectures and best code\ninfrastructures are brought to bear on this field. That’s hardly a surprise when you\nconsider that at the heart of four of the five letters in FAANG—which stands for\nMeta (formerly Facebook), Apple, Amazon, Netflix, and Google—lies one or many\nrecommendation systems.1\nAs a practitioner, you’ll need to understand how to do the following:\n•Take your data and business problem and frame it as a RecSys problem•\n•Identify the essential data to get started building a RecSys•\nxiv | Preface",4828
04-OReilly Online Learning.pdf,04-OReilly Online Learning,"•Determine the appropriate models for your RecSys problem and how should you•\nevaluate them.\n•Implement, train, test, and deploy the aforementioned models•\n•Track metrics to ensure that your system is working as planned•\n•Incrementally improve your system as you learn more about your users, prod‐•\nucts, and business case\nThis book illustrates the core concepts and examples necessary to complete these\nsteps, whatever the industry or scale. We’ll guide you through the math, ideas, and\nimplementation details for building recommendation systems—whether it’s your first\nor your fiftieth. We’ll show you how to build these systems with Python and JAX.\nIf you’re not yet familiar, JAX is a Python framework from Google that seeks to\nmake autodifferentiation and functional programming paradigms first-class objects.\nAdditionally, it uses a NumPy API style especially convenient for ML practitioners\nfrom a variety of backgrounds.\nWe will show code examples and architecture models that capture the essential\nconcepts necessary and provide the way to scale these systems to production applica‐\ntions.\nConventions Used in This Book\nThe following typographical conventions are used in this book:\nItalic\nIndicates new terms, URLs, email addresses, filenames, and file extensions.\nConstant width\nUsed for program listings, as well as within paragraphs to refer to program\nelements such as variable or function names, databases, data types, environment\nvariables, statements, and keywords.\nConstant width bold\nShows commands or other text that should be typed literally by the user.\nConstant width italic\nShows text that should be replaced with user-supplied values or by values deter‐\nmined by context.\nThis element signifies a tip or suggestion.\nPreface | xv\nThis element signifies a general note.\nThis element indicates a warning or caution.\nUsing Code Examples\nThe included code snippets reference notebooks that will run on moderate-size and,\nin most cases, free resources. To facilitate easy experimentation and exploration we\nprovide the code via Google Colab notebooks.\nSupplemental material (code examples, exercises, etc.) is available for download at\nESRecsys on GitHub .\nIf you have a technical question or a problem using the code examples, please send\nemail to bookquestions@oreilly.com .\nThis book is here to help you get your job done. In general, if example code is\noffered with this book, you may use it in your programs and documentation. Y ou\ndo not need to contact us for permission unless you’re reproducing a significant\nportion of the code. For example, writing a program that uses several chunks of code\nfrom this book does not require permission. Selling or distributing examples from\nO’Reilly books does require permission. Answering a question by citing this book\nand quoting example code does not require permission. Incorporating a significant\namount of example code from this book into your product’s documentation does\nrequire permission.\nWe appreciate, but generally do not require, attribution. An attribution usually\nincludes the title, author, publisher, and ISBN. For example: “ Building Recommenda‐\ntion Systems in Python and JAX  by Bryan Bischof and Hector Y ee. Copyright 2024\nBryan Bischof and Resonant Intelligence LLC, 978-1-492-09799-0. ”\nIf you feel your use of code examples falls outside fair use or the permission given\nabove, feel free to contact us at permissions@oreilly.com .\nxvi | Preface",3492
