filename,title,text,len
01-Copyright.pdf,01-Copyright,"978-1-098-15999-3\n[LSI]Financial Data Engineering\nby Tamer Khraisha\nCopyright © 2025 Tamer Khraisha. All rights reserved.\nPrinted in the United States of America.\nPublished by O’Reilly Media, Inc., 1005 Gravenstein Highway North, Sebastopol, CA 95472.\nO’Reilly books may be purchased for educational, business, or sales promotional use. Online editions are\nalso available for most titles ( https://oreilly.com ). For more information, contact our corporate/institu‐\ntional sales department: 800-998-9938 or corporate@oreilly.com .\nAcquisitions Editor:  Michelle Smith\nDevelopment Editor:  Jill Leonard\nProduction Editor:  Gregory Hyman\nCopyeditor:  Liz Wheeler\nProofreader:  Sonia SarubaIndexer:  nSight, Inc.\nInterior Designer:  David Futato\nCover Designer:  Karen Montgomery\nIllustrator:  Kate Dullea\nOctober 2024:  First Edition\nRevision History for the First Edition\n2024-10-09: First Release\nSee http://oreilly.com/catalog/errata.csp?isbn=9781098159993  for release details.\nThe O’Reilly logo is a registered trademark of O’Reilly Media, Inc. Financial Data Engineering , the cover\nimage, and related trade dress are trademarks of O’Reilly Media, Inc.\nThe views expressed in this work are those of the author and do not represent the publisher’s views. While\nthe publisher and the author have used good faith efforts to ensure that the information and instructions\ncontained in this work are accurate, the publisher and the author disclaim all responsibility for errors or\nomissions, including without limitation responsibility for damages resulting from the use of or reliance\non this work. Use of the information and instructions contained in this work is at your own risk. If any\ncode samples or other technology this work contains or describes is subject to open source licenses or the\nintellectual property rights of others, it is your responsibility to ensure that your use thereof complies\nwith such licenses and/or rights.\nTo my wife Marti, my constant cheerleader and greatest inspiration, and to our wonder‐\nful baby Mark, whose laughter is the melody that accompanies my writing. This book is\na small reflection  of the love and joy you bring into my world.",2206
02-Table of Contents.pdf,02-Table of Contents,"Table of Contents\nForeword. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  xiii\nPreface. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  xv\nPart I. Foundations of Financial Data Engineering\n1.Financial Data Engineering Clarified . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  3\nDefining Financial Data Engineering                                                                           4\nFirst of All, What Is Finance?                                                                                     5\nDefining Data Engineering                                                                                       10\nDefining Financial Data Engineering                                                                      12\nWhy Financial Data Engineering?                                                                               13\nVolume, Variety, and Velocity of Financial Data                                                   14\nFinance-Specific Data Requirements and Problems                                             19\nFinancial Machine Learning                                                                                     21\nThe Disruptive FinTech Landscape                                                                         27\nRegulatory Requirements and Compliance                                                           31\nThe Financial Data Engineer Role                                                                               32\nDescription of the Role                                                                                              32\nWhere Do Financial Data Engineers Work?                                                          33\nResponsibilities and Activities of a Financial Data Engineer                              36\nSkills of a Financial Data Engineer                                                                          38\nSummary                                                                                                                         42\n2.Financial Data Ecosystem. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  43\nSources of Financial Data                                                                                             44\nPublic Financial Data                                                                                                 44\nv\nSecurity Exchanges                                                                                                    47\nCommercial Data Vendors, Providers, and Distributors                                     47\nSurvey Data                                                                                                                 53\nAlternative Data                                                                                                         54\nConfidential and Proprietary Data                                                                          54\nStructures of Financial Data                                                                                         55\nTime Series Data                                                                                                         55\nCross-Sectional Data                                                                                                 56\nPanel Data                                                                                                                   57\nMatrix Data                                                                                                                 59\nGraph Data                                                                                                                  60\nText Data                                                                                                                      67\nTypes of Financial Data                                                                                                 68\nFundamental Data                                                                                                      68\nMarket Data                                                                                                                70\nTransaction Data                                                                                                        73\nAnalytics Data                                                                                                             76\nAlternative Data                                                                                                         76\nReference Data                                                                                                            77\nEntity Data                                                                                                                  80\nBenchmark Financial Datasets                                                                                    80\nCenter for Research in Security Prices                                                                    81\nCompustat Financials                                                                                                81\nTrade and Quote Database                                                                                        81\nInstitutional Brokers’ Estimate System                                                                   81\nIvyDB OptionMetrics                                                                                                82\nTrade Reporting and Compliance Engine                                                              82\nOrbis Global Database                                                                                               82\nSDC Platinum                                                                                                             83\nStandard & Poor’s Dow Jones Indices                                                                     83\nAlternative Datasets                                                                                                   83\nSummary                                                                                                                         85\n3.Financial Identification  Systems. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  87\nFinancial Identifiers                                                                                                       87\nFinancial Identifier and Identification System Defined                                       88\nThe Need for Financial Identifiers                                                                           89\nWho Creates Financial Identification Systems?                                                     90\nDesired Properties of a Financial Identifier                                                               93\nUniqueness                                                                                                                  93\nGlobality                                                                                                                      94\nScalability                                                                                                                     96\nvi | Table of Contents\nCompleteness                                                                                                              97\nAccessibility                                                                                                                 98\nTimeliness                                                                                                                    98\nAuthenticity                                                                                                                99\nGranularity                                                                                                                  99\nPermanence                                                                                                               100\nImmutability                                                                                                             102\nSecurity                                                                                                                      102\nFinancial Identification Systems Landscape                                                            103\nInternational Securities Identification Number                                                   104\nClassification of Financial Instruments                                                                106\nFinancial Instrument Short Name                                                                         107\nCommittee on Uniform Security Identification Procedures                             108\nLegal Entity Identifier                                                                                              109\nTransaction Identifiers                                                                                            110\nStock Exchange Daily Official List                                                                        112\nTicker Symbols                                                                                                         113\nDerivative Identifiers                                                                                               114\nFinancial Instrument Global Identifier                                                                 116\nFactSet Permanent Identifier                                                                                  119\nLSEG Permanent Identifier                                                                                     119\nDigital Asset Identifiers                                                                                           120\nIndustry and Sector Identifiers                                                                              121\nBank Identifiers                                                                                                        122\nSummary                                                                                                                       125\n4.Financial Entity Systems. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  127\nFinancial Entity Defined                                                                                             128\nFinancial Named Entity Recognition                                                                        129\nNamed Entity Recognition Described                                                                  129\nHow Does Named Entity Recognition Work?                                                     134\nApproaches to Named Entity Recognition                                                           141\nNamed Entity Recognition Software Libraries                                                    149\nFinancial Entity Resolution                                                                                        150\nEntity Resolution Described                                                                                   151\nThe Importance of Entity Resolution in Finance                                                151\nHow Does Entity Resolution Work?                                                                      156\nApproaches to Entity Resolution                                                                           164\nEntity Resolution Software Libraries                                                                    170\nSummary                                                                                                                       170\nTable of Contents | vii\n5.Financial Data Governance. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  171\nFinancial Data Governance                                                                                        171\nFinancial Data Governance Defined                                                                     171\nFinancial Data Governance Justified                                                                     172\nData Quality                                                                                                                 174\nDimension 1: Data Errors                                                                                       175\nDimension 2: Data Outliers                                                                                    177\nDimension 3: Data Biases                                                                                       179\nDimension 4: Data Granularity                                                                              180\nDimension 5: Data Duplicates                                                                               182\nDimension 6: Data Availability and Completeness                                             185\nDimension 7: Data Timeliness                                                                               187\nDimension 8: Data Constraints                                                                              188\nDimension 9: Data Relevance                                                                                189\nData Integrity                                                                                                               190\nPrinciple 1: Data Standards                                                                                    190\nPrinciple 2: Data Backups                                                                                       191\nPrinciple 3: Data Archiving                                                                                    191\nPrinciple 4: Data Aggregation                                                                                192\nPrinciple 5: Data Lineage                                                                                        193\nPrinciple 6: Data Catalogs                                                                                       194\nPrinciple 7: Data Ownership                                                                                  195\nPrinciple 8: Data Contracts                                                                                     195\nPrinciple 9: Data Reconciliation                                                                            197\nData Security and Privacy                                                                                           198\nData Privacy                                                                                                              201\nData Anonymization                                                                                               203\nData Encryption                                                                                                       209\nAccess Control                                                                                                          210\nSummary                                                                                                                       212\nPart II. The Financial Data Engineering Lifecycle\n6.Overview of the Financial Data Engineering Lifecycle. . . . . . . . . . . . . . . . . . . . . . . . . .  215\nFinancial Data Engineering Lifecycle Defined                                                        215\nCriteria for Building the Financial Data Engineering Stack                                  218\nCriterion 1: Open Source Versus Commercial Software                                    218\nCriterion 2: Ease of Use Versus Performance                                                      224\nCriterion 3: Cloud Versus On Premises                                                                227\nCriterion 4: Public Versus Private Versus Hybrid Cloud                                   235\nCriterion 5: Single Versus Multi-Cloud                                                                238\nviii | Table of Contents\nCriterion 6: Monolithic Versus Modular Codebase                                            240\nSummary                                                                                                                       242\n7.Data Ingestion Layer. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  243\nData Transmission and Arrival Processes                                                                243\nData Transmission Protocols                                                                                 244\nData Arrival Processes                                                                                             249\nData Ingestion Formats                                                                                              256\nGeneral-Purpose Formats                                                                                       256\nBig Data Formats                                                                                                      257\nIn-Memory Formats                                                                                                258\nStandardized Financial Formats                                                                            258\nData Ingestion Technologies                                                                                      269\nFinancial APIs                                                                                                           269\nFinancial Data Feeds                                                                                                274\nSecure File Transfer                                                                                                 275\nCloud Access                                                                                                             275\nWeb Access                                                                                                                277\nSpecialized Financial Software                                                                               277\nData Ingestion Best Practices                                                                                     277\nMeet Business Requirements                                                                                  277\nDesign for Change                                                                                                   278\nEnforce Data Governance                                                                                       278\nPerform Benchmarking and Stress Testing                                                          279\nSummary                                                                                                                       279\n8.Data Storage Layer. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  281\nPrinciples of Data Storage System Design                                                               281\nPrinciple 1: Business Requirements                                                                      282\nPrinciple 2: Data Modeling                                                                                     283\nPrinciple 3: Transactional Guarantee                                                                    284\nPrinciple 4: Consistency Tradeoffs                                                                        287\nPrinciple 4: Scalability                                                                                             288\nPrinciple 5: Security                                                                                                 290\nData Storage Modeling                                                                                               290\nSQL Versus NoSQL                                                                                                  291\nPrimary Versus Secondary                                                                                      292\nOperational Versus Analytical                                                                                292\nNative Versus Non-Native                                                                                      293\nMulti-Model Versus Polyglot Persistence                                                             293\nData Storage Models                                                                                                    294\nThe Data Lake Model                                                                                              294\nTable of Contents | ix\nThe Relational Model                                                                                              301\nThe Document Model                                                                                             314\nThe Time Series Model                                                                                            319\nThe Message Broker Model                                                                                    323\nThe Graph Model                                                                                                     329\nThe Warehouse Model                                                                                            335\nThe Blockchain Model                                                                                            343\nSummary                                                                                                                       346\n9.Data Transformation and Delivery Layer. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  347\nData Querying                                                                                                              347\nQuerying Patterns                                                                                                    347\nQuery Optimization                                                                                                351\nData Transformation                                                                                                   357\nTransformation Operations                                                                                    357\nTransformation Patterns                                                                                         368\nComputational Requirements                                                                                374\nData Delivery                                                                                                                382\nData Consumers                                                                                                       382\nDelivery Mechanisms                                                                                              383\nSummary                                                                                                                       384\n10. The Monitoring Layer. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  385\nMetrics, Events, Logs, and Traces                                                                              386\nMetrics                                                                                                                       386\nEvents                                                                                                                         388\nLogs                                                                                                                            388\nTraces                                                                                                                         389\nData Quality Monitoring                                                                                            390\nPerformance Monitoring                                                                                            392\nCost Monitoring                                                                                                          397\nBusiness and Analytical Monitoring                                                                         400\nData Observability                                                                                                       404\nSummary                                                                                                                       406\n11. Financial Data Workflows . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  407\nWorkflow-Oriented Software Architectures                                                            407\nWhat Is a Data Workflow?                                                                                          408\nWorkflow Management Systems                                                                               410\nFlexibility                                                                                                                   410\nConfigurability                                                                                                         410\nDependency Management                                                                                      411\nx | Table of Contents\nCoordination Patterns                                                                                             412\nScalability                                                                                                                  413\nIntegration                                                                                                                 413\nTypes of Financial Data Workflows                                                                          414\nExtract-Transform-Load Workflows                                                                     414\nStream Processing Workflows                                                                                417\nMicroservice Workflows                                                                                         420\nMachine Learning Workflows                                                                                424\nSummary                                                                                                                       429\n12. Hands-On Projects. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  431\nPrerequisites                                                                                                                 431\nProject 1: Designing a Bank Account Management System Database with\nPostgreSQL                                                                                                                432\nConceptual Model: Business Requirements                                                         432\nLogical Model: Entity Relationship Diagram                                                       434\nPhysical Model: Data Definition and Manipulation Language                         436\nProject 1: Local Testing                                                                                           436\nProject 1: Clean Up                                                                                                  441\nProject 1: Summary                                                                                                 442\nProject 2: Designing a Financial Data ETL Workflow with Mage and Python  442\nProject 2: Workflow Definition                                                                              442\nProject 2: Database Design                                                                                     443\nProject 2: Local Testing                                                                                           444\nProject 2: Clean Up                                                                                                  448\nProject 2: Summary                                                                                                 448\nProject 3: Designing a Microservice Workflow with Netflix Conductor,\nPostgreSQL, and Python                                                                                         448\nProject 3: Workflow Definition                                                                              448\nProject 3: Database Design                                                                                     450\nProject 3: Local Testing                                                                                           452\nProject 3: Clean Up                                                                                                  456\nProject 3: Summary                                                                                                 457\nProject 4: Designing a Financial Reference Data Store with OpenFIGI,\nPermID, and GLEIF APIs                                                                                       457\nProject 4: Prerequisites                                                                                            458\nProject 4: Local Testing                                                                                           458\nProject 4: Clean Up                                                                                                  459\nProject 4: Summary                                                                                                 460\nConclusion                                                                                                                    460\nFollow Updates on These Projects                                                                            460\nReport Issues or Ask Questions                                                                                 460\nTable of Contents | xi\nThe Path Forward: Trends Shaping Financial Markets. . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  461\nAfterword. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  465\nIndex. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  467\nxii | Table of Contents",31215
03-Foreword.pdf,03-Foreword,"Foreword\nThe common metaphor for data in financial services is that of oil, lifeblood, or more\ngenerally life-giving fuel. However, equally important is how firms use this fuel to the\nbenefit of their business. Data is often raw material that needs to be processed,\nrefined and blended before it can be used. How this material is then used in decision-\nmaking workflows is a critical differentiator. From strategy formulation, product\ndevelopment down to process implementation, operations and reporting to investors,\ncustomers and regulators, how firms manage information can be the difference\nbetween thriving, surviving or indeed declining.\nThe rapid changes in how data is captured, aggregated, distilled, consumed and dis‐\ntributed have led to faster cycle times, new insights and a much more close-knit inte‐\ngration of computer science into business operations. The wide variety of traditional\nas well as new data sets that often don’t fit the mold of traditional computer science,\nbrings opportunities for business differentiation and provides the burgeoning field of\nfinancial data engineering with the raw materials it needs.\nThis variety has fostered rapid development of data governance and a better apprecia‐\ntion of the various aspects of data quality. Data pipelines do not exist in isolation but\nare shaped by the context of business goals, external reporting considerations as well\nas legal and commercial constraints. Cloud transition and the range of data sets, tools\nand data engineering techniques available can make us feel spoiled for choice. Invari‐\nably, trade-offs take place, quality can be in the eye of the beholder and the right com‐\nbination of data and engineering methods bridges business and technology. However,\ngetting this combination right is no mean feat and there are many challenges that can\neasily derail any financial data engineering project.\nPerhaps a more apt metaphor for data in financial services is that of food with data as\nthe ingredients and financial data engineering being similar to the process of cooking.\nThe number of both basic ingredients and spices has grown and so has the number of\nculinary techniques and recipes, leading to a proliferation of options on the menu.\nHow the kitchen is staffed is a key differentiator.\nxiii\nWhat Tamer Khraisha has done in his book, Financial Data Engineering , is to provide\nus with a comprehensive guide that helps to better understand the vast and varied\nlandscape of financial information and how best to apply financial data engineering\nconcepts to make the most of it. It provides ‘data chefs’ a structured overview of\nfinancial data engineering and the raw materials to work with: from the different\ntypes of data sets and their identification to a structured treatment of the different\naspects of data quality and data integrity. Subsequently, we get to work on these raw\nmaterials step by step, treating the entire financial data engineering lifecycle and tak‐\ning the business context and trade-offs into account. Whether cloud adoption, data‐\nbase and data warehouse developments, tokenization, machine learning or gen AI,\nTamer puts it into business context.\nI especially liked that Tamer interlaced his overview and guidelines with many real-\nworld case studies and ends the book with several in-depth data engineering projects.\nThis will help practitioners build and finesse their own judgement as to what tools\nand data sets are fit for purpose and what controls or guardrails make sense.\nWith his training in financial economics, background in network science and as a fin‐\ntech practitioner, Tamer bridges business and technology and brings a unique per‐\nspective to the field of financial data engineering. This book connects different topics\nthat are often treated in a dispersed way, not least in financial services organizations\nthemselves.\nThis book will be a source to technologists looking to get a better appreciation of the\nbusiness context of financial data engineering, as well as to those in financial services\ntrying to get a better sense of the art of the possible in financial data engineering. It\nwill be helpful to people fresh in the job market but will also serve as a reference to\nexperienced practitioners.\nFinancial data engineering bridges the old divide between computer science and busi‐\nness and this book will be a great help to successfully navigate that road.\n— Martijn Groot\nFinancial Data Management expert\nAuthor of Managing Financial Information in the\nTrade Lifecycle (Elsevier, 2008) and A Primer in\nFinancial Data Management (Elsevier, 2017)\nSt. Paul’s Bay, Malta, September 2024\nxiv | Foreword",4706
04-Preface.pdf,04-Preface,,0
05-Prerequisites.pdf,05-Prerequisites,"Preface\nWith this book, you will learn fundamental concepts, common challenges, best prac‐\ntices, innovative frameworks, and cutting-edge technologies essential for successfully\ndesigning and building data-driven financial products and services. This book is\nintended to establish foundational knowledge that is accessible to individuals from\ndiverse backgrounds, be they finance, computer science, software engineering, or aca‐\ndemic research. It covers a wide range of carefully selected topics chosen for their\nmarket, technological, and scientific relevance. Each concept in the book is presented\nin straightforward language, accompanied by case studies and finance-specific exam‐\nples for deeper insights. Moreover, to facilitate practical application, the final chapter\npresents four hands-on projects addressing various data-driven challenges related to\nfinancial markets.\nTo fully appreciate the story, read the chapters in order, though each chapter can also\nbe read on its own if you prefer.\nWho Should Read This Book?\nThis book serves a wide audience. This includes individuals working at institutions\nsuch as banks, investment firms, financial data providers, asset management compa‐\nnies, security exchanges, regulatory bodies, financial software vendors, and many\nmore. It is designed for data engineers, software developers, quantitative developers,\nfinancial analysts, and machine learning practitioners who are managing and/or\nworking with financial data and financial data-driven products. Furthermore, the\nbook appeals to scholars and researchers working on data-driven financial analysis,\nreflecting the growing interest in big data research in the financial sector. Whether\nyou’re a practitioner seeking insights into data-driven financial services, a scholar\ninvestigating finance-related problems, or a newcomer eager to venture into the\nfinancial field with a technology-oriented role, this book is designed to meet your\nneeds.\nxv",1981
06-Conventions Used in This Book.pdf,06-Conventions Used in This Book,"Prerequisites\nTo get the most out of the hands-on exercises in Chapter 12 , I recommend having\nsome basic knowledge of the following:\n•Python programming\n•SQL and PostgreSQL\n•Using tools like Python JupyterLab, Python Notebooks, and Pandas\n•Running Docker containers locally\n•Basic Git commands\nHowever, if you’re unfamiliar with all of these, don’t worry! Y ou can still dive into the\nprojects and learn as you go along.\nWhat to Expect from This Book\nThis book aims to combine two domains—data engineering and finance—each\nencompassing numerous concepts, practices, theories, problems, and applications.\nThe sheer number of topics within each of these two domains exceeds the scope of a\nsingle book. Consequently, I’ve aimed to achieve a balance among various considera‐\ntions to provide a comprehensive yet scoped exploration.\nThe key consideration is determining how to allocate emphasis between finance and\ndata engineering throughout the discussion. The initial five chapters ( Part I ) predom‐\ninantly lean toward finance, which may cover familiar ground for people with experi‐\nence in the field. Reading these initial chapters is highly recommended for those\nwithout a finance background and those who are seeking to refresh their knowledge\nof financial data and its associated challenges. Similarly, the last seven chapters\n(Part II ) focus primarily on data engineering, offering a comprehensive treatment of\ndata storage concepts, data modeling, databases, workflows, data ingestion mecha‐\nnisms, data transformations, and more. Even if you’re well-versed in data engineer‐\ning, these chapters will prove invaluable for understanding their specific applications\nand challenges within the financial domain.\nxvi | Preface\n1Gil Press, “Cleaning Big Data: Most Time-Consuming, Least Enjoyable Data Science Task, Survey Says” ,\nForbes , March 23, 2016.Another consideration is finding the right balance between covering a wide range of\ntopics and providing in-depth explanations. The choice of topics in this book was\ndriven by the author’s experience, a literature review, market analysis, expert insights,\nregulatory requirements, and industry standards. At its core, this book is about finan‐\ncial data and the associated methodological and technological challenges. However,\nit’s important to note this is not meant to be a book on financial analysis, financial\nmachine learning, or statistics. Nonetheless, given that a substantial portion of AI and\nmachine learning projects revolve around data preparation and preprocessing—\napproximately 50–80% of the time1—this book can significantly aid in streamlining\nthese crucial tasks. In addition, some topics receive more extensive coverage due to\ntheir significance, while others are briefly addressed as their detailed explanation\nexceeds the book’s scope and length.\nLastly, a major and intricate consideration is finding the right balance between\nemphasizing timeless (immutable) principles and illustrating contemporary issues.\nWhile a book emphasizing immutable concepts remains valuable over time, it’s\nequally beneficial for readers to gain insight into current challenges and receive prac‐\ntical guidance through case studies and technologies. This book aims to strike a deli‐\ncate balance between foundational concepts and practical applications, offering\nreaders a comprehensive understanding of both immutable principles and current\ntrends in the field. For example, Chapter 8  covers the most popular topic in data engi‐\nneering: databases. Due to the rapid evolution of database technologies, this chapter\ntakes an abstract approach, focusing on data storage models rather than specific tech‐\nnologies. Each model is examined in terms of its primary use cases, data modeling\nprinciples, technological implementations, and applications within the financial\ndomain. This approach ensures relevance and longevity in light of emerging database\ninnovations.\nBook Resources and References\nIn this book, I use more than one thousand references spanning various sources: sci‐\nentific journals, books, blog posts, online articles, opinion pieces, and white papers.\nMany of these references are cited throughout the chapters to support the content\nand offer a solid foundation for the information delivered. For those who want to dig\ndeeper, an extensive list of additional references is available on the GitHub page  for\nthis book. I will periodically update this list to include new and relevant references.\nPreface | xvii",4547
