filename,title,text,len
01-Cover.pdf,01-Cover,"Data Governance  \n  The Definitive Guide\nPeople, Processes, and Tools to Operationalize \nData Trustworthiness\nEvren Eryurek, Uri Gilad,  \nValliappa Lakshmanan,  \nAnita Kibunguchy-Grant  \n& Jessi Ashdown\n\nPraise for Data Governance: The Definitive  Guide\nWe live in a digital world. Whether we realize it or not, we are living in the throes of one\nof the biggest economic and social revolutions since the Industrial Revolution. It’s about\ntransforming traditional business processes—many of them previously nondigital or\nmanual—into processes that will fundamentally change how we live, how we operate our\nbusinesses, and how we deliver value to our customers. Data defines, informs, and\npredicts—it is used to penetrate new markets, control costs, drive revenues, manage risk,\nand help us discover the world around us. But to realize these benefits, data must be\nproperly managed and stewarded. Data Governance: The Definitive  Guide  walks you\nthrough the many facets of data management and data governance—people, process and\ntools, data ownership, data quality, data protection, privacy and security—and does it in a\nway that is practical and easy to follow. A must-read for the data professional!\n—John Bottega, president of the EDM Council\nEnterprises are increasingly evolving as insight-driven businesses, putting pressure on\ndata to satisfy new use cases and business ecosystems. Add to this business complexity,\nmarket disruption, and demand for speed, and data governance is front and center to\nmake data trusted, secure, and relevant. This is not your grandfather’s slow and\nbureaucratic data governance either. This book shares the secrets into how modern data\ngovernance ensures data is the cornerstone to your business resilience, elasticity, speed,\nand growth opportunity and not an afterthought.\n—Michele Goetz, vice president/principal analyst–business\ninsights at Forrester\nData governance has evolved from a discipline focused on cost and compliance to one\nthat propels organizations to grow and innovate. Today’s data governance solutions can\nbenefit from technological advances that establish a continuous, autonomous, and\nvirtuous cycle. This in turn becomes an ecosystem—a community in which data is used\nfor good, and doing the right thing is also the easy thing. Executives looking to use data as\nan asset and deliver positive business outcomes need to rethink governance’s role and\nadopt the modern and transformative approach Data Governance: The Definitive  Guide\nprovides.\n—Jim Cushman, CPO of Collibra\nEvren Eryurek, Uri Gilad, Valliappa Lakshmanan,\nAnita Kibunguchy-Grant, and Jessi AshdownData Governance:\nThe Definitive  Guide\nPeople, Processes, and Tools to Operationalize\nData Trustworthiness\nBoston Farnham Sebastopol Tokyo Beijing Boston Farnham Sebastopol Tokyo Beijing",2852
02-Table of Contents.pdf,02-Table of Contents,"978-1-492-06349-0\n[LSI]Data Governance: The Definitive  Guide\nby Evren Eryurek, Uri Gilad, Valliappa Lakshmanan, Anita Kibunguchy-Grant, and Jessi Ashdown\nCopyright © 2021 Uri Gilad, Jessi Ashdown, Valliappa Lakshmanan, Evren Eryurek, and Anita\nKibunguchy-Grant. All rights reserved.\nPrinted in the United States of America.\nPublished by O’Reilly Media, Inc., 1005 Gravenstein Highway North, Sebastopol, CA 95472.\nO’Reilly books may be purchased for educational, business, or sales promotional use. Online editions are\nalso available for most titles ( http://oreilly.com ). For more information, contact our corporate/institutional\nsales department: 800-998-9938 or corporate@oreilly.com .\nAcquisitions Editor:  Jessica Haberman\nDevelopment Editor:  Gary O’Brien\nProduction Editor:  Kate Galloway\nCopyeditor:  Piper Editorial Consulting, LLC\nProofreader:  Arthur JohnsonIndexer:  WordCo Indexing Services, Inc.\nInterior Designer:  David Futato\nCover Designer:  Karen Montgomery\nIllustrator:  Kate Dullea\nMarch 2021:  First Edition\nRevision History for the First Edition\n2021-03-08: First Release\nSee http://oreilly.com/catalog/errata.csp?isbn=9781492063490  for release details.\nThe O’Reilly logo is a registered trademark of O’Reilly Media, Inc. Data Governance: The Definitive  Guide ,\nthe cover image, and related trade dress are trademarks of O’Reilly Media, Inc.\nThe views expressed in this work are those of the authors, and do not represent the publisher’s views.\nWhile the publisher and the authors have used good faith efforts to ensure that the information and\ninstructions contained in this work are accurate, the publisher and the authors disclaim all responsibility\nfor errors or omissions, including without limitation responsibility for damages resulting from the use of\nor reliance on this work. Use of the information and instructions contained in this work is at your own\nrisk. If any code samples or other technology this work contains or describes is subject to open source\nlicenses or the intellectual property rights of others, it is your responsibility to ensure that your use\nthereof complies with such licenses and/or rights.\nTable of Contents\nPreface. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  xi\n1.What Is Data Governance?. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  1\nWhat Data Governance Involves                                                                                     2\nHolistic Approach to Data Governance                                                                      4\nEnhancing Trust in Data                                                                                               5\nClassification and Access Control                                                                                6\nData Governance Versus Data Enablement and Data Security                               8\nWhy Data Governance Is Becoming More Important                                                 9\nThe Size of Data Is Growing                                                                                         9\nThe Number of People Working and/or Viewing the Data Has Grown\nExponentially                                                                                                             10\nMethods of Data Collection Have Advanced                                                           10\nMore Kinds of Data (Including More Sensitive Data) Are Now\nBeing Collected                                                                                                         13\nThe Use Cases for Data Have Expanded                                                                   14\nNew Regulations and Laws Around the Treatment of Data                                   16\nEthical Concerns Around the Use of Data                                                               16\nExamples of Data Governance in Action                                                                     17\nManaging Discoverability, Security, and Accountability                                        18\nImproving Data Quality                                                                                              19\nThe Business Value of Data Governance                                                                      23\nFostering Innovation                                                                                                   23\nThe Tension Between Data Governance and Democratizing Data Analysis       24\nManage Risk (Theft, Misuse, Data Corruption)                                                      25\nRegulatory Compliance                                                                                               26\nConsiderations for Organizations as They Think About Data Governance       28\nWhy Data Governance Is Easier in the Public Cloud                                                 30\nv\nLocation                                                                                                                         31\nReduced Surface Area                                                                                                  32\nEphemeral Compute                                                                                                    32\nServerless and Powerful                                                                                               32\nLabeled Resources                                                                                                        33\nSecurity in a Hybrid World                                                                                         34\nSummary                                                                                                                           34\n2.Ingredients of Data Governance: Tools. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  37\nThe Enterprise Dictionary                                                                                              37\nData Classes                                                                                                                   38\nData Classes and Policies                                                                                            40\nData Classification and Organization                                                                       43\nData Cataloging and Metadata Management                                                           44\nData Assessment and Profiling                                                                                  45\nData Quality                                                                                                                  46\nLineage Tracking                                                                                                          46\nKey Management and Encryption                                                                             47\nData Retention and Data Deletion                                                                             50\nWorkflow Management for Data Acquisition                                                          52\nIAM—Identity and Access Management                                                                  52\nUser Authorization and Access Management                                                          54\nSummary                                                                                                                           55\n3.Ingredients of Data Governance: People and Processes. . . . . . . . . . . . . . . . . . . . . . . . . . .  57\nThe People: Roles, Responsibilities, and Hats                                                              57\nUser Hats Defined                                                                                                        58\nData Enrichment and Its Importance                                                                        65\nThe Process: Diverse Companies, Diverse Needs and Approaches to Data\nGovernance                                                                                                                   65\nLegacy                                                                                                                             66\nCloud Native/Digital Only                                                                                          67\nRetail                                                                                                                              67\nHighly Regulated                                                                                                          69\nSmall Companies                                                                                                          71\nLarge Companies                                                                                                          72\nPeople and Process Together: Considerations, Issues, and Some Successful\nStrategies                                                                                                                        73\nConsiderations and Issues                                                                                           74\nProcesses and Strategies with Varying Success                                                        77\nSummary                                                                                                                           84\nvi | Table of Contents\n4.Data Governance over a Data Life Cycle. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  85\nWhat Is a Data Life Cycle?                                                                                              85\nPhases of a Data Life Cycle                                                                                             86\nData Creation                                                                                                                87\nData Processing                                                                                                            88\nData Storage                                                                                                                  88\nData Usage                                                                                                                     88\nData Archiving                                                                                                              89\nData Destruction                                                                                                          89\nData Life Cycle Management                                                                                         90\nData Management Plan                                                                                               90\nApplying Governance over the Data Life Cycle                                                          92\nData Governance Framework                                                                                    92\nData Governance in Practice                                                                                      94\nExample of How Data Moves Through a Data Platform                                        97\nOperationalizing Data Governance                                                                            100\nWhat Is a Data Governance Policy?                                                                         101\nImportance of a Data Governance Policy                                                               102\nDeveloping a Data Governance Policy                                                                    103\nData Governance Policy Structure                                                                           103\nRoles and Responsibilities                                                                                         105\nStep-by-Step Guidance                                                                                              106\nConsiderations for Governance Across a Data Life Cycle                                   108\nSummary                                                                                                                         111\n5.Improving Data Quality. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  113\nWhat Is Data Quality?                                                                                                   113\nWhy Is Data Quality Important?                                                                                 114\nData Quality in Big Data Analytics                                                                          116\nData Quality in AI/ML Models                                                                                117\nWhy Is Data Quality a Part of a Data Governance Program?                                 121\nTechniques for Data Quality                                                                                        121\nScorecard                                                                                                                     123\nPrioritization                                                                                                               123\nAnnotation                                                                                                                  123\nProfiling                                                                                                                       124\nSummary                                                                                                                         131\n6.Governance of Data in Flight. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  133\nData Transformations                                                                                                   133\nLineage                                                                                                                            134\nWhy Lineage Is Useful                                                                                               135\nTable of Contents | vii\nHow to Collect Lineage                                                                                             135\nTypes of Lineage                                                                                                         136\nThe Fourth Dimension                                                                                              138\nHow to Govern Data in Flight                                                                                  139\nPolicy Management, Simulation, Monitoring, Change Management                    141\nAudit, Compliance                                                                                                         141\nSummary                                                                                                                         142\n7.Data Protection. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  143\nPlanning Protection                                                                                                       143\nLineage and Quality                                                                                                   144\nLevel of Protection                                                                                                     145\nClassification                                                                                                               146\nData Protection in the Cloud                                                                                       146\nMulti-Tenancy                                                                                                            147\nSecurity Surface                                                                                                          147\nVirtual Machine Security                                                                                          148\nPhysical Security                                                                                                            149\nNetwork Security                                                                                                        151\nSecurity in Transit                                                                                                      151\nData Exfiltration                                                                                                             153\nVirtual Private Cloud Service Controls (VPC-SC)                                               155\nSecure Code                                                                                                                156\nZero-Trust Model                                                                                                       157\nIdentity and Access Management                                                                                158\nAuthentication                                                                                                            158\nAuthorization                                                                                                              159\nPolicies                                                                                                                         160\nData Loss Prevention                                                                                                 161\nEncryption                                                                                                                  162\nDifferential Privacy                                                                                                    164\nAccess Transparency                                                                                                  165\nKeeping Data Protection Agile                                                                                    165\nSecurity Health Analytics                                                                                          165\nData Lineage                                                                                                               166\nEvent Threat Detection                                                                                             167\nData Protection Best Practices                                                                                     167\nSeparated Network Designs                                                                                      168\nPhysical Security                                                                                                         168\nPortable Device Encryption and Policy                                                                  170\nData Deletion Process                                                                                                170\nSummary                                                                                                                         173\nviii | Table of Contents\n8.Monitoring. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  175\nWhat Is Monitoring?                                                                                                     175\nWhy Perform Monitoring?                                                                                           176\nWhat Should Y ou Monitor?                                                                                         179\nData Quality Monitoring                                                                                          179\nData Lineage Monitoring                                                                                          180\nCompliance Monitoring                                                                                            182\nProgram Performance Monitoring                                                                          183\nSecurity Monitoring                                                                                                   185\nWhat Is a Monitoring System?                                                                                     187\nAnalysis in Real Time                                                                                                187\nSystem Alerts                                                                                                              187\nNotifications                                                                                                                187\nReporting/Analytics                                                                                                   188\nGraphic Visualization                                                                                                188\nCustomization                                                                                                            188\nMonitoring Criteria                                                                                                       189\nImportant Reminders for Monitoring                                                                        190\nSummary                                                                                                                         191\n9.Building a Culture of Data Privacy and Security. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  193\nData Culture: What It Is and Why It’s Important                                                      193\nStarting at the Top—Benefits of Data Governance to the Business                       194\nAnalytics and the Bottom Line                                                                                195\nCompany Persona and Perception                                                                          195\nIntention, Training, and Communications                                                                196\nA Data Culture Needs to Be Intentional                                                                 197\nTraining: Who Needs to Know What                                                                      197\nBeyond Data Literacy                                                                                                    200\nMotivation and Its Cascading Effects                                                                      200\nMaintaining Agility                                                                                                       201\nRequirements, Regulations, and Compliance                                                        202\nThe Importance of Data Structure                                                                           202\nScaling the Governance Process Up and Down                                                     203\nInterplay with Legal and Security                                                                                203\nStaying on Top of Regulations                                                                                  204\nCommunication                                                                                                         204\nInterplay in Action                                                                                                     204\nAgility Is Still Key                                                                                                       205\nIncident Handling                                                                                                          205\nWhen “Everyone” Is Responsible, No One Is Responsible                                  205\nImportance of Transparency                                                                                        206\nTable of Contents | ix\nWhat It Means to Be Transparent                                                                            206\nBuilding Internal Trust                                                                                              206\nBuilding External Trust                                                                                             207\nSetting an Example                                                                                                     208\nSummary                                                                                                                         208\nA.Google’s Internal Data Governance. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  209\nB.Additional Resources. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  217\nIndex. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .  219\nx | Table of Contents",25528
03-Data Governance Framework.pdf,03-Data Governance Framework,"Preface\nIn recent years, the ease of moving to the cloud has motivated and energized a fast-\ngrowing community of data consumers to collect, capture, store, and analyze data for\ninsights and decision making. For a number of reasons, as adoption of cloud comput‐\ning continues to grow, information management stakeholders have questions about\nthe potential risks involved in managing their data in the cloud. Evren faced such\nquestions for the first time when he worked in healthcare and had to put in place the\nprocesses and technologies to govern data. Now at Google Cloud, Uri and Lak also\nanswer these questions nearly every week and dispense advice on getting value from\ndata, breaking down data silos, preserving anonymity, protecting sensitive informa‐\ntion, and improving the trustworthiness of data.\nWe noticed that GDPR  was what precipitated a sea change in customers’ behavior.\nSome customers even deleted their data, thinking it was the right thing to do. That\nreaction, more than any other, prompted us to write this book capturing the advice\nwe have provided over the years to Google Cloud customers. If data is the new cur‐\nrency, we do not want enterprises to be scared of it. If the data is locked away or is not\ntrustworthy, it is of no value.\nWe all pride ourselves on helping Google Cloud customers get value for their techni‐\ncal expenditures. Data is a huge investment, and we felt obligated to provide our cus‐\ntomers with the best way to get value from it.\nCustomers’ questions usually involve one of three risk factors:\nSecuring the data\nStoring data in a public cloud infrastructure might concern large enterprises that\ntypically deploy their systems on-premises and expect tight security. With a sig‐\nnificant number of security threats and breaches in the news, organizations are\nconcerned that they might be the next victim. These factors contribute to risk\nmanagement concerns for protecting against unauthorized access to or exposure\nof sensitive data, ranging from personally identifiable information (PII) to corpo‐\nrate confidential information, trade secrets, or intellectual property.\nxi\nRegulations and compliance\nThere is a growing set of regulations, including the California Consumer Privacy\nAct (CCPA), the European Union’s General Data Protection Regulation (GDPR),\nand industry-specific standards such as global Legal Entity Identifier (LEI) num‐\nbers in the financial industry and ACORD data standards in the insurance indus‐\ntry. Compliance teams responsible for adhering to these regulations and\nstandards may have concerns about oversight and control of data stored in the\ncloud.\nVisibility and control\nData management professionals and data consumers sometimes lack visibility\ninto their own data landscape: which data assets are available, where those assets\nare located and how and if they can be used, and who has access to the data and\nwhether they should  have access to it. This uncertainty limits their ability to fur‐\nther leverage their own data to improve productivity or drive business value.\nThese risk factors clearly highlight the need for increased data assessment, cataloging\nof metadata, access control management, data quality, and information security as\ncore data governance competencies that the cloud provider should not only provide\nbut also continuously upgrade in a transparent way. In essence, addressing these risks\nwithout abandoning the benefits provided by cloud computing has elevated the\nimportance of not only understanding data governance in the cloud, but also know‐\ning what is important. Good data governance can inspire customer trust and lead to\nvast improvements in customer experience.\nWhy Your Business Needs Data Governance in the Cloud\nAs your business generates more data and moves it into the cloud, the dynamics of\ndata management change in a number of fundamental ways. Organizations should\ntake note of the following:\nRisk management\nThere are concerns about potential exposure of sensitive information to unau‐\nthorized individuals or systems, security breaches, or known personnel accessing\ndata under the wrong circumstances. Organizations are looking to minimize this\nrisk, so additional forms of protection (such as encryption) to obfuscate the data\nobject’s embedded information are required to safeguard the data should a sys‐\ntem breach occur. In addition, other tools are required in order to support access\nmanagement, identify sensitive data assets, and create a policy around their\nprotection.\nData proliferation\nThe speed at which businesses create, update, and stream their data assets has\nincreased, and while cloud-based platforms are capable of handling increased\nxii | Preface\n1Craig Stedman and Jack Vaughan, “What Is Data Governance and Why Does It Matter?”  TechTarget, Decem‐\nber 2019. This article was updated in February 2020; the current version no longer includes this quote.data velocity, volume, and variety, it is important to introduce controls and\nmechanisms to rapidly validate the quality aspects of high-bandwidth data\nstreams.\nData management\nThe need to adopt externally produced data sources and data streams (including\npaid feeds from third parties) means that you should be prepared not to trust all\nexternal data sources. Y ou may need to introduce tools that document data line‐\nage, classification, and metadata to help your employees (data consumers, in par‐\nticular) to determine data usability based on their knowledge of how the data\nassets were produced.\nDiscovery (and data awareness)\nMoving data into any kind of data lake (cloud-based or on-premises) runs the\nrisk of losing track of which data assets have been moved, the characteristics of\ntheir content, and details about their metadata. The ability, therefore, to assess\ndata asset content and sensitivity (no matter where the data is) becomes very\nimportant.\nPrivacy and compliance\nRegulatory compliance demands auditable and measurable standards and proce‐\ndures that ensure compliance with internal data policies as well as external gov‐\nernment regulations. Migrating data to the cloud means that organizations need\ntools to enforce, monitor, and report compliance, as well as ensure that the right\npeople and services have access and permissions to the right data.\nFramework and Best Practices for Data Governance\nin the Cloud\nGiven the changing dynamics of data management, how should organizations think\nabout data governance in the cloud, and why is it important? According to\nTechTarget , data governance is\nthe overall management of the availability, usability, integrity, and security of data used\nin an enterprise. A sound data governance program includes a governing body or\ncouncil, a defined set of procedures and a plan to execute those procedures.1\nSimply put, data governance encompasses the ways that people, processes and tech‐\nnology can work together to enable auditable compliance with defined and agreed-\nupon data policies.\nPreface | xiii\nData Governance Framework\nEnterprises need to think about data governance comprehensively, from data intake\nand ingestion to cataloging, persistence, retention, storage management, sharing,\narchiving, backup, recovery, loss prevention, disposition, and removal and deletion:\nData discovery and assessment\nCloud-based environments often offer an economical option for creating and\nmanaging data lakes, but the risk remains for ungoverned migration of data\nassets. This risk represents a potential loss of knowledge of what data assets are in\nthe data lake, what information is contained within each object, and where those\ndata objects originated from. A best practice for data governance in the cloud is\ndata discovery and assessment in order to know what data assets you have. The\ndata discovery and assessment process is used to identify data assets within the\ncloud environment, and to trace and record each data asset’s origin and lineage,\nwhat transformations have been applied, and object metadata. (Often this meta‐\ndata describes the demographic details, such as the name of the creator, the size\nof the object, the number of records if it is a structured data object, or when it\nwas last updated.)\nData classification  and organization\nProperly evaluating a data asset and scanning the content of its different\nattributes can help categorize the data asset for subsequent organization. This\nprocess can also infer whether the object contains sensitive data and, if so, clas‐\nsify it in terms of the level of data sensitivity, such as personal and private data,\nconfidential data, or intellectual property. To implement data governance in the\ncloud, you’ll need to profile and classify sensitive data to determine which gover‐\nnance policies and procedures apply to the data.\nData cataloging and metadata management\nOnce your data assets are assessed and classified, it is crucial that you document\nyour learnings so that your communities of data consumers have visibility into\nyour organization’s data landscape. Y ou need to maintain a data catalog that con‐\ntains structural metadata, data object metadata, and the assessment of levels of\nsensitivity in relation to the governance directives (such as compliance with one\nor more data privacy regulations). The data catalog not only allows data consum‐\ners to view this information but can also serve as part of a reverse index for\nsearch and discovery, both by phrase and (given the right ontologies) by concept.\nIt is also important to understand the format of structured and semi-structured\ndata objects and allow your systems to handle these data types differently, as\nnecessary.\nxiv | Preface\nData quality management\nDifferent data consumers may have different data quality requirements, so it’s\nimportant to provide a means of documenting data quality expectations as well as\ntechniques and tools for supporting the data validation and monitoring process.\nData quality management processes include creating controls for validation,\nenabling  quality monitoring and reporting, supporting the triage process for\nassessing the level of incident severity, enabling root cause analysis and recom‐\nmendation of remedies to data issues, and data incident tracking. The right pro‐\ncesses for data quality management will provide measurably trustworthy data for\nanalysis.\nData access management\nThere are two aspects of governance for data access. The first aspect is the provi‐\nsioning of access to available assets. It’s important to provide data services that\nallow data consumers to access their data, and fortunately, most cloud platforms\nprovide methods for developing data services. The second aspect is prevention of\nimproper or unauthorized access. It’s important to define identities, groups, and\nroles and assign access rights to establish a level of managed access. This best\npractice involves managing access services as well as interoperating with the\ncloud provider’s identity and access management (IAM) services by defining\nroles, specifying access rights, and managing and allocating access keys to ensure\nthat only authorized and authenticated individuals and systems are able to access\ndata assets according to defined rules.\nAuditing\nOrganizations must be able to assess their systems to make sure that they are\nworking as designed. Monitoring, auditing, and tracking (who did what and\nwhen and with what information) helps security teams gather data, identify\nthreats, and act on those threats before they result in business damage or loss. It’s\nimportant to perform regular audits to check the effectiveness of controls in\norder to quickly mitigate threats and evaluate overall security health.\nData protection\nDespite the efforts of information technology security groups to establish perim‐\neter security as a way to prevent unauthorized individuals from accessing data,\nperimeter security is not and never has been sufficient for protecting sensitive\ndata. While you might be successful in preventing someone from breaking into\nyour system, you are not protected from an insider security breach or even from\nexfiltration (data theft). It’s important to institute additional methods of data pro‐\ntection—including encryption at rest, encryption in transit, data masking, and\npermanent deletion—to ensure that exposed data cannot be read.\nPreface | xv",12477
04-Who Is This Book For.pdf,04-Who Is This Book For,"Operationalizing Data Governance in Your Organization\nTechnology certainly helps support the data governance principles presented in the\npreceding section, but data governance goes beyond the selection and implementa‐\ntion of products and tools. The success of a data governance program depends on a\ncombination of:\n•People  to build the business case, develop the operating model, and take on\nappropriate roles\n•Processes  that operationalize policy development, implementation, and\nenforcement\n•Technology  used to facilitate the ways that people execute those processes\nThe following steps are critical in planning, launching, and supporting a data gover‐\nnance program:\n1.Build the business case . Establish the business case by identifying critical busi‐\nness drivers to justify the effort and investment associated with data governance.\nOutline perceived data risks (such as the storage of data on cloud-based plat‐\nforms) and indicate how data governance helps the organization mitigate those\nrisks.\n2.Document guiding principles . Assert core principles associated with governance\nand oversight of enterprise data. Document those principles in a data governance\ncharter to present to senior management.\n3.Get management buy-in . Engage data governance champions and get buy-in\nfrom the key senior stakeholders. Present your business case and guiding princi‐\nples to C-level management for approval.\n4.Develop an operating model . Once you have management approval, define the\ndata governance roles and responsibilities, and then describe the processes and\nprocedures for the data governance council and data stewardship teams who will\ndefine processes for defining and implementing policies as well as reviewing and\nremediating identified data issues.\n5.Establish a framework for accountability . Establish a framework for assigning\ncustodianship and responsibility for critical data domains. Make sure there is vis‐\nibility to the “data owners” across the data landscape. Provide a methodology to\nensure that everyone is accountable for contributing to data usability.\n6.Develop taxonomies and ontologies . There may be a number of governance\ndirectives associated with data classification, organization, and—in the case of\nsensitive information—data protection. To enable your data consumers to com‐\nply with those directives, there must be a clear definition of the categories (for\norganizational structure) and classifications (for assessing data sensitivity).\nxvi | Preface\n7.Assemble the right technology stack . Once you’ve assigned data governance\nroles to your staff and defined and approved your processes and procedures, you\nshould assemble a suite of tools that facilitate ongoing validation of compliance\nwith data policies and accurate compliance reporting.\n8.Establish education and training . Raise awareness of the value of data gover‐\nnance by developing educational materials highlighting data governance practi‐\nces and procedures, and the use of supporting technology. Plan for regular\ntraining sessions to reinforce good data governance practices.\nThe Business Benefits  of Robust Data Governance\nData security, data protection, data accessibility and usability, data quality, and other\naspects of data governance will continue to emerge and grow as critical priorities for\norganizations. And as more organizations migrate their data assets to the cloud, the\nneed for auditable practices for ensuring data utility will also continue to grow. To\naddress these directives, businesses should frame their data governance practices\naround three key components:\n•A framework that enables people  to define, agree to, and enforce data policies\n•Effective processes  for control, oversight, and stewardship over all data assets\nacross on-premises systems, cloud storage, and data warehouse platforms\n•The right tools and technologies  for operationalizing data policy compliance\nWith this framework in mind, an effective data governance strategy and operating\nmodel provides a path for organizations to establish control and maintain visibility\ninto their data assets, providing a competitive advantage over their peers. Organiza‐\ntions will likely reap immense benefits as they promote a data-driven culture within\ntheir organizations—specifically:\nImproved decision making\nBetter data discovery means that users can find the data they need when they\nneed it, which makes them more efficient. Data-driven decision making plays a\nhuge role in improving business planning within an organization.\nBetter risk management\nA good data governance operating model helps organizations audit their pro‐\ncesses more easily so that they reduce the risk of fines, increase customer trust,\nand improve operations. Downtime can be minimized while productivity still\ngrows.\nPreface | xvii",4866
