Title,Text,Character Count
Preface. Software Design,"Preface In your hands you’re holding the C++ book that I wish I would have had many years ago. Not as one of my first books, no, but as an advanced book, after I had already digested the language mechanics and was able to think beyond the C++ syntax. Y es, this book would have definitely helped me better understand the fundamental aspects of maintainable software, and I’m confident that it will help you too. Why I Wrote This Book By the time I was really digging into the language (that was a few years after the first C++ standard had been released), I had read pretty much every C++ book there was. But despite the fact that many of these books were great and definitely paved the way for my current career as a C++ trainer and consultant, they were too focused on the little details and the implementation specifics, and too far away from the bigger picture of maintainable software. At the time, very few books truly focused on the bigger picture, dealing with the development of lar ge software systems. Among these were John Lakos’ s Large Scale C++  Softwar e Design , a great but literally heavy introduction to dependency management, and the so-called Gang of Four book, which is the classic book on software design patterns.  Unfortunately , over the years, this situation hasn’ t really changed: most books, talks, blogs, etc., primarily focus on language mechanics and features—the small details and specifics. V ery few , and in my opinion way too few , new releases focus on maintainable software, changeability , extensibility , and testability . And if they try to, they unfortunately quickly fall back into the common habit of explaining language mechanics and demonstrating features. This is why I’ve written this book. A book that does not, in contrast to most others, spend time on the mechanics or the many features of the language,1 2 but primarily focuses on changeability , extensibility , and testability of software in general. A book that does not pretend that the use of new C++ standards or features will make the dif ference between good or bad software, but instead clearly shows that it is the management of dependencies that is decisive, that the dependencies in our code decide between it being good or bad. As such, it is a rare kind of book in the world of C++ indeed, as it focuses on the bigger picture: software design.",2362
Who This Book Is For,"What This Book Is About Software Design From my point of view , good software design is the essence of every successful software project. Y et still, despite its fundamental role, there is so little literature on the topic, and very little advice on what to do and how to do things right. Why? W ell, because it’ s difficult. V ery dif ficult. Probably the most dif ficult facet of writing software that we have to face. And that’ s because there is no single “right” solution, no “golden” advice to pass on through the generations of software developers. It always depends. Despite this limitation, I will give advice on how to design good, high- quality software. I will provide design principles, design guidelines, and design patterns that will help you to better understand how to manage dependencies and turn your software into something you can work with for decades. As stated before, there is no “golden” advice, and this book doesn’ t hold any ultimate or perfect solution. Instead, I try to show the most fundamental aspects of good software, the most important details, the diversity and the pros and the cons of dif ferent designs. I will also formulate intrinsic design goals and demonstrate how to achieve these goals with Modern C++. Modern C++ For more than a decade, we’ve been celebrating the advent of Modern C++, applauding the many new features and extensions of the language, and by doing so, creating the impression that Modern C++ will help us solve all software-related problems. Not so in this book. This book does not pretend that throwing a few smart pointers at the code will make the code “Modern” or automatically yield good design. Also, this book won’ t show Modern C++ as an assortment of new features. Instead, it will show how the philosophy of the language has evolved and the way we implement C++ solutions today . But of course, we will also see code. Lots of it. And of course this book will make use of the features of newer C++ standards (including C++20). However , it will also make an ef fort to emphasize that the design is independent of the implementation details and the used features. New features don’ t change the rules about what is good design or bad design; they merely change the way we implement good design. They make it easier to implement good design. So this book shows and discusses implementation details, but (hopefully) doesn’ t get lost in them and always remains focused on the big picture: software design and design patterns. Design Patterns As soon as you start mentioning design patterns, you inadvertently conjure up the expectation of object-oriented programming and inheritance hierarchies. Y es, this book will show the object-oriented origin of many design patterns. However , it will put a strong emphasis on the fact that there isn’t just one way to make good use of a design pattern. I will demonstrate how the implementation of design patterns has evolved and diversified, making use of many dif ferent paradigms, including object-oriented programming, generic programming, and functional programming. This book acknowledges the reality that there is no one true paradigm and does not pretend that there is only one single approach, one ever -working solution for all problems. Instead it tries to show Modern C++ for what it truly is: the opportunity to combine all paradigms, weave them into a strong and durable net, and create software design that will last through the decades. I hope this book proves to be the missing piece in C++ literature. I hope it helps you as much as it would have helped me. I hope that it holds some answers you have been looking for and provides you with a couple of key insights that you were missing. And I also hope that this book keeps you somewhat entertained and motivated to read everything. Most importantly , however , I hope that this book will show you the importance of software design and the role that design patterns play . Because, as you will see, design patterns are everywhere.",4010
OReilly Online Learning,"Who This Book Is For This book is of value to every C++ developer . In particular , it is for every C++ developer interested in understanding the usual problems of maintainable software and learning about common solutions to these problems (and I assume that is indeed every  C++ developer). However , this book is not a C++ beginner ’s book. In fact, most of the guidelines in this book require some experience with software development in general and C++ in particular . For instance, I assume that you have a firm grasp of the language mechanics of inheritance hierarchies and some experience with templates. Then I can reach for the corresponding features whenever necessary and appropriate. Once in a while, I will even reach for some C++20 features (in particular C++20 concepts). However , as the focus is on software design, I will rarely dwell on explaining a particular feature, so if a feature is unknown to you, please consult your favorite C++ language reference. Only occasionally will I add some reminders, mostly about common C++ idioms (such as the Rule of 5 ). How This Book Is Structured This book is or ganized into chapters, each containing several guidelines. Each guideline focuses on one key aspect of maintainable software or one particular design pattern. Hence, the guidelines represent the major takeaways, the aspects that I hope bring the most value to you. They’re written such that you can read all of them from front to back, but since they’re only loosely coupled, they enable you to also start with the guideline that attracts your attention. Still, they’re not independent. Therefore, each guideline contains the necessary cross-references to other guidelines to show you that everything is connected. Conventions Used in This Book The following typographical conventions are used in this book: Italic Indicates new terms, URLs, email addresses, filenames, and file extensions. Constant width Used for program listings, as well as within paragraphs to refer to program elements such as variable or function names, databases, data types, environment variables, statements, and keywords. Constant width bold Shows commands or other text that should be typed literally by the user . Constant width italic Shows text that should be replaced with user -supplied values or by values determined by context. TIP This element signifies a tip or suggestion. NOTE This element signifies a general note. Using Code Examples Supplemental material  (code examples, exercises, etc.) is available for download at https://github.com/igl42/cpp_softwar e_design . If you have a technical question or a problem using the code examples, please send email to bookquestions@or eilly.com . This book is here to help you get your job done. In general, if example code is offered with this book, you may use it in your programs and documentation. Y ou do not need to contact us for permission unless you’re reproducing a significant portion of the code. For example, writing a program that uses several chunks of code from this book does not require permission. Selling or distributing examples from O’Reilly books does require permission. Answering a question by citing this book and quoting example code does not require permission. Incorporating a significant amount of example code from this book into your product’ s documentation does require permission . We appreciate, but generally do not require, attribution. An attribution usually includes the title, author , publisher , and ISBN. For example: “ C++ Softwar e Design  by Klaus Iglber ger (O’Reilly). Copyright 2022 Klaus Iglber ger, 978-1-098-1 1316-2.” If you feel your use of code examples falls outside fair use or the permission given above, feel free to contact us at permissions@or eilly.com .",3772
Acknowledgments,"O’Reilly Online Learning NOTE For more than 40 years, O’Reilly Media  has provided technology and business training, knowledge, and insight to help companies succeed. Our unique network of experts and innovators share their knowledge and expertise through books, articles, and our online learning platform. O’Reilly’ s online learning platform gives you on-demand access to live training courses, in-depth learning paths, interactive coding environments, and a vast collection of text and video from O’Reilly and 200+ other publishers. For more information, visit http://or eilly.com . How to Contact Us Please  address comments and questions concerning this book to the publisher: O’Reilly Media, Inc. 1005 Gravenstein Highway North Sebastopol, CA 95472 800-998-9938 (in the United States or Canada) 707-829-0515 (international or local) 707-829-0104 (fax) We have a web page for this book, where we list errata, examples, and any additional information. Y ou can access this page at https://or eil.ly/c-plus- plus. Email bookquestions@or eilly.com  to comment or ask technical questions about this book. For news and information about our books and courses, visit http://or eilly.com . Find us on LinkedIn: https://linkedin.com/company/or eilly-media . Follow us on T witter: http://twitter .com/or eillymedia . Watch us on Y ouTube: http://youtube.com/or eillymedia . Acknowledgments A book such as this is never the achievement of a single individual. On the contrary , I have to explicitly thank many people who helped me in dif ferent ways to make this book a reality . First and foremost, I want to express my deep gratitude to my wife, Stef fi, who read through the entire book without even knowing C++. And who took care of our two kids to give me the necessary calm to bring all of this information to paper (I am still not sure which of these two was the bigger sacrifice). A special thank-you goes to my reviewers, Daniela Engert, Patrice Roy , Stefan W eller, Mark Summerfield, and Jacob Bandes-Storch, for investing their valuable time to make this a better book by constantly challenging my explanations and examples. A big thank-you also goes to Arthur O’Dwyer , Eduardo Madrid, and Julian Schmidt for their input and feedback about the T ype Erasure design pattern, and to Johannes Gutekunst for the discussions on software architecture and documentation. Furthermore, I want to say thank you to my two cold readers, Matthias Dörfel and V ittorio Romeo, who helped catch many last-second mistakes (and indeed they did). Last, but definitely not least, a big thank-you goes to my editor , Shira Evans, who has spent many hours giving invaluable advice about making the book more consistent and more fun to read. 1 John Lakos, Large-Scale C++ Softwar e Design  (Addison-W esley , 1996). 2 Erich Gamma et al., Design Patterns: Elements of Reusable Object-Oriented Softwar e (Addison-W esley , 1994).",2913
Guideline 1 Understand the Importance of Software Design,"Chapter 1. The Art of Software Design What  is software design? And why should you care about it? In this chapter , I will set the stage for this book on software design. I will explain software design in general, help you understand why it is vitally important for the success of a project, and why it is the one thing you should get right. But you will also see that software design is complicated. V ery complicated. In fact, it is the most complicated part of software development. Therefore, I will also explain several software design principles that will help you to stay on the right path. In “Guideline 1: Understand the Importance of Software Design ”, I will focus on the big picture and explain that software is expected to change. Consequently , software should be able to cope with change. However , that is much easier said than done, since in reality , coupling and dependencies make our life as a developer so much harder . That problem is addressed by software design. I will introduce software design as the art of managing dependencies and abstractions—an essential part of software engineering. In “Guideline 2: Design for Change” , I will explicitly address coupling and dependencies and help you understand how to design for change and how to make software more adaptable. For that purpose, I will introduce both the Single-Responsibility Principle (SRP)  and the Don’ t Repeat Y ourself (DR Y) principle, which help you to achieve this goal. In “Guideline 3: Separate Interfaces to A void Artificial Coupling ”, I will expand the discussion about coupling and specifically address coupling via interfaces. I will also introduce the Interface Segr egation Principle (ISP)  as a means to reduce artificial coupling induced by interfaces. In “Guideline 4: Design for T estability” , I will focus on testability issues that arise as a result of artificial coupling. In particular , I will raise the",1918
Software Design The Art of Managing Dependencies and Abstractions,"question of how to test a private member function and demonstrate that the one true solution is a consequent application of separation of concerns. In “Guideline 5: Design for Extension” , I will address an important kind of change: extensions. Just as code should be easy to change, it should also be easy to extend. I will give you an idea how to achieve that goal, and I will demonstrate the value of the Open-Closed Principle (OCP) . Guideline 1: Understand the Importance of Software Design If I were to ask you which code properties are most important to you, you would, after some thinking, probably say things like readability , testability , maintainability , extensibility , reusability , and scalability . And I would completely agree. But now , if I were to ask you how to achieve these goals, there is a good chance that you would start to list some C++ features: RAII, algorithms, lambdas, modules, and so on. Features Are Not Software Design Yes, C++ of fers a lot of features. A lot. Approximately  half of the almost 2,000 pages of the printed C++ standard are devoted to explaining language mechanics and features.  And since the release of C++1 1, there is the explicit promise that there will be more: every three years, the C++ standardization committee blesses us with a new C++ standard that ships with additional, brand-new features. Knowing that, it doesn’ t come as a big surprise that in the C++ community there’ s a very strong emphasis on features and language mechanics. Most books, talks, and blogs are focused on features, new libraries, and language details. It almost feels as if features are the most important thing about programming in C++, and crucial for the success of a C++ project. But honestly , they are not. Neither the knowledge about all the features nor the choice of the C++ standard is responsible for the success of a project. No, you should not expect features to save your project. On the contrary: a1 2 project can be very successful even if it uses an older C++ standard, and even if only a subset of the available features are used. Leaving aside the human aspects of software development, much more important for the question about success or failure of a project is the  overall structur e of the software. It is the structure that is ultimately responsible for maintainability: how easy is it to change code, extend code, and test code? W ithout the ability to easily change code, add new functionality , and have confidence in its correctness due to tests, a project is at the end of its lifecycle. The structure is also responsible for the scalability of a project: how lar ge can the project grow before it collapses under its own weight? How many people can work on realizing the vision of the project before they step on one another ’s toes? The overall structure is the design of a project. The design plays a much more central role in the success of a project than any feature could ever do. Good software is not primarily about the proper use of any feature; rather , it is about solid architecture and design. Good software design can tolerate some bad implementation decisions, but bad software design cannot be saved by the heroic use of features (old or new) alone. Software Design: The Art of Managing Dependencies and Abstractions Why  is software design so important for the quality of a project? W ell, assuming everything works perfectly right now , as long as nothing changes in your software and as long as nothing needs to be added, you are fine. However , that state will likely not last for long. It’ s reasonable to expect that something will change. After all, the one constant in software development is change. Change is the driving force behind all our problems (and also most of our solutions). That’ s why software is called software: because in comparison to hardware, it is soft and malleable. Y es, software is expected to be easily adapted to the ever -changing requirements. But as you may know , in reality this expectation might not always be true. To illustrate this point, let’ s imagine that you select an issue from your issue tracking system that the team has rated with an expected ef fort of 2. Whatever a 2 means in your own project(s), it most certainly does not sound like a big task, so you are confident that this will be done quickly . In good faith, you first take some time to understand what is expected, and then you start by making a change in some entity A. Because of immediate feedback from your tests (you are lucky to have tests.), you are quickly reminded that you also have to address the issue in entity B. That is surprising. Y ou did not expect that B was involved at all. Still, you go ahead and adapt B anyway . However , again unexpectedly , the nightly build reveals that this causes C and D to stop working. Before continuing, you now investigate the issue a little deeper and find that the roots of the issue are spread through a lar ge portion of the codebase. The small, initially innocent-looking task has evolved into a lar ge, potentially risky code modification.  Your confidence in resolving the issue quickly is gone. And your plans for the rest of the week are as well. Maybe this story sounds familiar to you. Maybe you can even contribute a few war stories of your own. Indeed, most developers have similar experiences. And most of these experiences have the same source of trouble. Usually the problem can be reduced to a single word: dependencies . As Kent Beck has expressed in his book on test-driven development: Dependency is the key pr oblem in softwar e development at all scales. Dependencies are the bane of every software developer ’s existence. “But of course there are dependencies,” you ar gue. “There will always be dependencies. How else should dif ferent pieces of code work together?” And of course, you are correct. Dif ferent pieces of code need to work together , and this interaction will always create some form of coupling. However , while there are necessary , unavoidable dependencies, there are also artificial dependencies that we accidentally introduce because we lack an understanding of the underlying problem, don’ t have a clear idea of the bigger picture, or just don’ t pay enough attention. Needless to say , these artificial dependencies hurt. They make it harder to understand our software, change software, add new features, and write tests. Therefore, one3 4 of the primary tasks, if not the primary task, of a software developer is to keep artificial dependencies at a minimum. This minimization of dependencies is the goal of software architecture and design. To state it in the words of Robert C. Martin: The goal of softwar e architectur e is to minimize the human r esour ces requir ed to build and maintain the r equir ed system. Architecture and design are the tools needed to minimize the work ef fort in any project. They deal with dependencies and reduce the complexity via abstractions. In my own words: Softwar e design  is the art of managing inter dependencies between softwar e components. It aims at minimizing artificial (technical) dependencies and intr oduces the necessary abstractions and compr omises. Yes, software design is an art. It’ s not a science, and it doesn’ t come with a set of easy and clear answers.  Too often the big picture of design eludes us, and we are overwhelmed by the complex interdependencies of software entities. But we are trying to deal with this complexity and reduce it by introducing the right kind of abstractions. This way , we keep the level of detail at a reasonable level. However , too often individual developers on the team may have a dif ferent idea of the architecture and the design. W e might not be able to implement our own vision of a design and be forced to make compromises in order to move forward. TIP The term abstraction  is used in dif ferent contexts. It’ s used for the or ganization of functionality and data items into data types and functions. But it’ s also used to describe the modeling of common behavior and the representation of a set of requirements and expectations. In this book on software design, I will primarily use the term for the latter (see in particular Chapter 2 ).5 6 7",8249
The Three Levels of Software Development,"Note that the words architectur e and design  can be interchanged in the preceding quotes, since they’re very similar and share the same goals. Y et they aren’ t the same. The similarities, but also dif ferences, become clear if you take a look at the three levels of software development. The Three Levels of Software Development Softwar e Architectur e and Softwar e Design  are just two of the three levels of software development. They are complemented by the level of Implementation Details . Figure 1-1  gives an overview of these three levels. To give you a feeling for these three levels, let’ s start with a real-world example of the relationship among architecture, design, and implementation details. Consider yourself to be in the role of an architect. And no, please don’t picture yourself in a comfy chair in front of a computer with a hot coffee next to you, but picture yourself outside at a construction site. Y es, I’m talking about an architect for buildings.  As such an architect, you would be in char ge of all the important properties of a house: its integration into the neighborhood, its structural integrity , the arrangement of rooms, plumbing, etc. Y ou would also take care of a pleasing appearance and functional qualities—perhaps a lar ge living room, easy access between the kitchen and the dining room, and so on. In other words, you would be taking care of the overall architecture , the things that would be hard to change later , but you would also deal with the smaller design aspects concerning the building. However , it’s hard to tell the dif ference between the two: the boundary between architecture and design appears to be fluid and is not clearly separated.8 Figur e 1-1. The thr ee levels of softwar e development: Softwar e Architectur e, Softwar e Design , and Implementation Details . Idioms  can be design or implementation patterns. These decisions would be the end of your responsibility , however . As an architect, you wouldn’ t worry about where to place the refrigerator , the TV , or other furniture. Y ou wouldn’ t deal with all the nifty details about where to place pictures and other pieces of decoration. In other words, you wouldn’ t handle the details; you would just make sure that the homeowner has the necessary structure to live well. The furniture and other “nifty details” in this metaphor correspond to the lowest and most concrete level of software development, the implementation details. This level handles how a solution is implemented. You choose the necessary (and available) C++ standard or any subset of it, as well as the appropriate features, keywords, and language specifics to use, and deal with aspects such as memory acquisition, exception safety , performance, etc. This  is also the level of implementation patterns , such as std::make_unique() as a factory function , std::enable_if as a recurring solution to explicitly benefit from  SFINAE, etc. In software design, you start to focus on the big picture. Questions about maintainability , changeability , extensibility , testability , and scalability are more pronounced on this level. Software design primarily deals with the interaction of software entities, which in the previous metaphor are represented by the arrangement of rooms, doors, pipes, and cables. At this level, you handle the physical and logical dependencies of components (classes, function, etc.).  It’s the level of design patterns such as V isitor , Strategy , and Decorator that define a dependency structure among software entities, as explained in Chapter 3 . These patterns, which usually are transferable from language to language, help you break down complex things into digestible pieces. Softwar e Architectur e is the fuzziest of the three levels, the hardest to put into words. This is because there is no common, universally accepted definition of software architecture. While there may be many dif ferent views on what exactly an architecture is, there is one aspect that everyone seems to agree on: architecture usually entails the big decisions, the aspects of your software that are among the hardest things to change in the future: Architectur e is the decisions that you wish you could get right early in a project, but that you ar e not necessarily mor e likely to get them right than any other . —Ralph Johnson In Software Architecture, you use  architectural patterns such  as client- server ar chitectur e, microservices , and so on.  These patterns also deal9 10 1 1 12 with the question of how to design systems, where you can change one part without af fecting any other parts of your software. Similar to Softwar e design  patterns, they define and address the structure and interdependencies among software entities. In contrast to design patterns, though, they usually deal with the key players, the big entities of your software (e.g., modules and components instead of classes and functions). From this perspective, Software Architecture represents the overall strategy of your software approach, whereas Software Design is the tactics to make the strategy work. The problem with this picture is that there is no definition of “big.” Especially with the advent of microservices, it becomes more and more dif ficult to draw a clear line between small and big entities. Thus, architecture is often described as what expert developers in a project perceive as the key decisions. What  makes the separation between architecture, design, and details a little more dif ficult is the concept of an idiom . An idiom  is a commonly used but language-specific solution for a recurring problem. As such, an idiom also represents a pattern, but it could be either an implementation pattern  or a design pattern . More loosely speaking, C++ idioms are the best practices of the C++ community for either design or implementation. In C++, most idioms fall into the category of implementation details. For instance, there is the copy-and-swap idiom  that you may know from the implementation of a copy assignment operator , and the  RAII idiom  (Resource  Acquisition Is Initialization—you should definitely be familiar with this; if not, please see your second-favorite C++ book ). None of these idioms introduce an abstraction, and none of them help to decouple. Still, they are indispensable to implement good C++ code. I hear you ask, “Could you be a little more specific, please? Isn’ t RAII also providing some form of decoupling? Doesn’ t it decouple resource management from business logic?” Y ou’re correct: RAII separates resource management and business logic. However , it doesn’ t achieve this by means of decoupling, i.e., abstraction, but by means of encapsulation. Both13 14 15",6718
An Example of Artificial Coupling,"abstraction and encapsulation help you make complex systems easier to understand and change, but while abstraction solves the problems and issues that arise at the Software Design level, encapsulation solves the problems and issues that arise at the Implementation Details level. T o quote Wikipedia : The advantages of RAII as a r esour ce management technique ar e that it provides encapsulation, exception safety […], and locality […]. Encapsulation is pr ovided because r esour ce management logic is defined once in the class, not at each call site. While most idioms fall into the category of Implementation Details, there are also idioms that fall into the category of Software Design. T wo examples are the Non-V irtual Interface (NVI) idiom  and the Pimpl idiom . These two idioms are based on two classic design patterns: the  Template Method  design pattern and the Bridge  design pattern , respectively . They introduce an abstraction and help decouple and design for change and extensions. The Focus on Features If software architecture and software design are of such importance, then why are we in the C++ community focusing so strongly on features? Why do we create the illusion that C++ standards, language mechanics, and features are decisive for a project? I think there are three strong reasons for that. First, because there are so many features, with sometimes complex details, we need to spend a lot of time talking about how to use all of them properly . We need to create a common understanding on which use is good and which use is bad. W e as a community need to develop a sense of idiomatic C++. The second reason is that we might put the wrong expectations on features. As an example, let’ s consider C++20 modules. W ithout going into details, this feature may indeed be considered the biggest technical revolution since the beginning of C++. Modules may at last put the questionable and cumbersome practice of including header files into source files to an end.16 Due to this potential, the expectations for that feature are enormous. Some people even expect modules to save their project by fixing their structural issues. Unfortunately , modules will have a hard time satisfying these expectations: modules don’ t improve the structure or design of your code but can merely represent the current structure and design. Modules don’ t repair your design issues, but they may be able to make the flaws visible. Thus, modules simply cannot save your project. So indeed, we may be putting too many or the wrong expectations on features. And last, but not least, the third reason is that despite the huge amount of features and their complexity , in comparison to the complexity of software design, the complexity of C++ features is small. It’ s much easier to explain a given set of rules for features, regardless of how many special cases they contain, than it is to explain the best way to decouple software entities. While there is usually a good answer to all feature-related questions, the common answer in software design is “It depends.” That answer might not even be evidence of inexperience, but of the realization that the best way to make code more maintainable, changeable, extensible, testable, and scalable heavily depends on many project-specific factors.",3298
An Example of Artificial Coupling,"The decoupling of the complex interplay between many entities may indeed be one of the most challenging endeavors that mankind has ever faced: Design and pr ogramming ar e human activities; for get that and all is lost. To me, a combination of these three reasons is why we focus on features so much. But please, don’ t get me wrong. That’ s not to say that features are not important. On the contrary , features are important. And yes, it’ s necessary to talk about features and learn how to use them correctly , but once again, they alone do not save your project. The Focus on Software Design and Design Principles While  features are important, and while it is of course good to talk about them, software design is more important. Software design is essential. I would even ar gue that it’ s the foundation of the success of our projects.17 Therefore, in this book I will make the attempt to truly focus on software design and design principles instead of features. Of course I will still show good and up-to-date C++ code, but I won’ t force the use of the latest and greatest language additions. I will make use of some new features when it is reasonable and beneficial, such as C++20 concepts, but I will not pay attention to noexcept, or use constexpr everywhere. Instead I will try to tackle the dif ficult aspects of software. I will, for the most part, focus on software design, the rationale behind design decisions, design principles, managing dependencies, and dealing with abstractions. In summary , software design is the critical part of writing software. Software developers should have a good understanding of software design to write good, maintainable software. Because after all, good software is low-cost, and bad software is expensive. GUIDELINE 1: UNDERSTAND THE IMPORTANCE OF SOFTWARE DESIGN Treat software design as an essential part of writing software. Focus less on C++ language details and more on software design. Avoid unnecessary coupling and dependencies to make software more adaptable to frequent changes. Understand software design as the art of managing dependencies and abstractions . Consider the boundary between software design and software architecture as fluid. Guideline 2: Design for Change One of the essential expectations for good software is its ability to change easily . This expectation is even part of the word software. Software, in18 19 contrast to hardware, is expected to be able to adapt easily to changing requirements (see also “Guideline 1: Understand the Importance of Software Design ”). However , from your own experience you may be able to tell that often it is not easy to change code. On the contrary , sometimes a seemingly simple change turns out to be a week-long endeavor . Separation of Concerns One of the best and proven solutions to reduce artificial dependencies and simplify change is to separate concerns. The core of the idea is to split, segregate, or extract pieces of functionality: Systems that ar e broken up into small, well-named, understandable pieces enable faster work. The intent behind separation of concerns is to better understand and manage complexity and thus design more modular software.",3186
An Example of Artificial Coupling,"This idea is probably as old as software itself and hence has been given many dif ferent names. For instance, the same idea is called  orthogonality  by the Pragmatic Programmers. They advise separating orthogonal aspects of software. Tom DeMarco  calls it cohesion : Cohesion is a measur e of the str ength of association of the elements inside a module. A highly cohesive module is a collection of statements and data items that should be tr eated as a whole because they ar e so closely r elated. Any attempt to divide them up would only r esult in increased coupling and decr eased r eadability . In the SOLID  principles,  one of the most established sets of design principles, the idea is known as the  Single-Responsibility Principle (SRP) : A class should have only one r eason to change. Although the concept is old and is commonly known under many names, many attempts to explain separation of concerns raise more questions than answers. This is particularly true for the SRP . The name of this design principle alone raises questions: what is a responsibility? And what is a20 21 22 23 24 single  responsibility? A common attempt to clarify the vagueness about SRP is the following: Everything should do just one thing. Unfortunately this explanation is hard to outdo in terms of vagueness. Just as the word responsibility  doesn’ t carry a lot of meaning, just one thing doesn’ t help to shed any more light on it. Irrespective of the name, the idea is always the same: group only those things that truly belong together , and separate everything that does not strictly belong. Or in other words: separate those things that change for different reasons. By doing this, you reduce  artificial coupling between different aspects of your code and it helps you make your software more adaptable to change. In the best case, you can change a particular aspect of your software in exactly one place. An Example of Artificial Coupling Let’s shed some light on separation of concerns by means of a code example. And I do have a great example indeed: I present to you the abstract Document class:   //#include <some_json_library.h>  // Potential physical dependency    class Document  {   public:     // ... virtual ~Document() = default;       virtual void exportToJSON( /*...*/ ) const = 0;        virtual void serialize( ByteStream&, /*...*/ ) const = 0;        // ... };  This sounds like a very useful base class for all kinds of documents, doesn’ t it? First, there is the exportToJSON() function (  ). All deriving classes will have to implement the exportToJSON() function in order to produce a JSON file  from the document. That will prove to be pretty useful: without having to know about a particular kind of document (and we can imagine that we will eventually have PDF documents, W ord documents, and many more), we can always export in JSON format. Nice. Second, there is a serialize() function (  ). This function lets you transform a Document into bytes via a ByteStream. You can store these bytes in some persistent system, like a file or a database.",3070
