Title,Text,Character Count
Cover,"Second   Edition David Foster Foreword by Karl FristonGenerative Deep Learning Teaching Machines to Paint, Write,   Compose, and PlaySECOND   EDITION AI / DEEP LEARNING “Generative Deep  Learning  is an  accessible introduction  to the deep learning  toolkit for generative  modeling. If you are a  creative practitioner  who loves to tinker  with code and want to  apply deep learning  to your work, then this  is the book for you.” —David Ha Head of Strategy, Stability AI “An excellent book that  dives right into all of  the major techniques  behind state-of-the- art generative deep  learning. An exciting  exploration of one of  the most fascinating  domains in AI.”  —François Chollet Creator of KerasGenerative Deep Learning Twitter: @oreillymedia linkedin.com/company/oreilly-media youtube.com/oreillymedia Generative AI is the hottest topic in tech. This practical book  teaches machine learning engineers and data scientists how  to use TensorFlow and Keras to create impressive generative  deep learning models from scratch, including variational  autoencoders (VAEs), generative adversarial networks  (GANs), Transformers, normalizing flows, energy-based  models, and denoising diffusion models. The book starts with the basics of deep learning and  progresses to cutting-edge architectures. Through tips   and tricks, you’ll understand how to make your models   learn more efficiently and become more creative. • Discover how VAEs can change facial expressions in photos • Train GANs to generate images based on your own dataset • Build diffusion models to produce new varieties of flowers • Train your own GPT for text generation • Learn how large language models like ChatGPT are trained • Explore state-of-the-art architectures such as StyleGAN2  and ViT-VQGAN • Compose polyphonic music using Transformers   and MuseGAN • Understand how generative world models can solve  reinforcement learning tasks • Dive into multimodal models such as DALL.E 2, Imagen,   and Stable Diffusion This book also explores the future of generative AI and   how individuals and companies can proactively begin  to leverage this remarkable new technology to create  competitive advantage.David Foster  is the cofounder of  Applied Data Science Partners. US $79.99  CAN $99.99 ISBN: 978-1-098-13418-1SECOND   EDITION Praise for Generative Deep Learning Generative Deep Learning  is an accessible introduction to the deep learning toolkit for generative modeling. If you are a creative practitioner who loves to tinker with code and want to apply deep learning to your work, then this is the book for you. —David Ha, Head of Strategy, Stability AI An excellent book that dives right into all of the major techniques behind state-of-the-art generative deep learning. Y ou’ll find intuitive explanations and clever analogies— backed by didactic, highly readable code examples. An exciting exploration of one of the most fascinating domains in AI. —François Chollet, Creator of Keras David Foster’s explanations of complex concepts are clear and concise, enriched with intuitive visuals, code examples, and exercises. An excellent resource for students and practitioners. —Suzana Ilić, Principal Program Manager Responsible AI, Microsoft  Azure OpenAI Generative AI is the next revolutionary step in AI technology that will have a massive impact on the world. This book provides a great introduction to this field and its incredible potential and potential risks. —Connor Leahy, CEO at Conjecture and Cofounder of EleutherAI Predicting the world means understanding the world—in all modalities. In that sense, generative AI is solving the very core of intelligence. —Jonas Andrulis, Founder & CEO Aleph Alpha Generative AI is reshaping countless industries and powering a new generation of creative tools. This book is the perfect way to get going with generative modeling and start building with this revolutionary technology yourself. —Ed Newton-Rex, VP Audio at Stability AI and composer David taught me everything I know about machine learning and has a knack for explaining the underlying concepts. Generative Deep Learning  is my go-to resource for generative AI and lives on a shelf next to my work desk amongst my small collection of favorite technical books. —Zack Thoutt,  CPO at AutoSalesVelocity Generative AI is likely to have a profound impact on society. This book gives an introduction to the field that is accessible without skimping on technical detail. —Raza Habib, Cofounder of Humanloop When people ask me how to get started with generative AI, I always recommend David’s book. The second edition is awesome because it covers the strongest models, such as diffusion models and Transformers. Definitely a must-have for anyone interested in computational creativity. —Dr. Tristan Behrens, AI Expert and AI Music Artist in Residence at KI Salon Heilbronn Dense in tech knowledge, this is my number one go-to literature when I have ideas around generative AI. It should be on every data scientist’s bookshelf. —Martin Musiol, Founder of generativeAI.net The book covers the full taxonomy of generative models in excellent detail. One of the best things I found about the book is that it covers the important theory behind the models as well as solidifying the reader’s understanding with practical examples. I must point out that the chapter on GANs is one of the best explanations I have read and provides intuitive means to fine-tune your models. The book covers a wide range of generative AI modalities including text, image, and music. A great resource for anyone getting started with GenAI. —Aishwarya Srinivasan, Data Scientist, Google Cloud David Foster Foreword by Karl FristonGenerative Deep Learning Teaching Machines to Paint, Write, Compose, and PlaySECOND EDITION Boston Farnham Sebastopol Tokyo Beijing Boston Farnham Sebastopol Tokyo Beijing",5865
Copyright,"978-1-098-13418-1 [LSI]Generative Deep Learning by David Foster Copyright © 2023 Applied Data Science Partners Ltd. All rights reserved. Printed in the United States of America. Published by O’Reilly Media, Inc., 1005 Gravenstein Highway North, Sebastopol, CA 95472. O’Reilly books may be purchased for educational, business, or sales promotional use. Online editions are also available for most titles ( http://oreilly.com ). For more information, contact our corporate/institutional sales department: 800-998-9938 or corporate@oreilly.com . Acquisitions Editor:  Nicole Butterfield Development Editor:  Michele Cronin Production Editor:  Christopher Faucher Copyeditor:  Charles Roumeliotis Proofreader:  Rachel HeadIndexer:  Judith McConville Interior Designer:  David Futato Cover Designer:  Karen Montgomery Illustrator:  Kate Dullea July 2019:  First Edition May 2023:  Second Edition Revision History for the Second Edition 2023-04-28: First Release See http://oreilly.com/catalog/errata.csp?isbn=9781098134181  for release details. The O’Reilly logo is a registered trademark of O’Reilly Media, Inc. Generative Deep Learning , the cover image, and related trade dress are trademarks of O’Reilly Media, Inc. The views expressed in this work are those of the author and do not represent the publisher’s views. While the publisher and the author have used good faith efforts to ensure that the information and instructions contained in this work are accurate, the publisher and the author disclaim all responsibility for errors or omissions, including without limitation responsibility for damages resulting from the use of or reliance on this work. Use of the information and instructions contained in this work is at your own risk. If any code samples or other technology this work contains or describes is subject to open source licenses or the intellectual property rights of others, it is your responsibility to ensure that your use thereof complies with such licenses and/or rights. For Alina, the loveliest noise vector of them all.",2044
Table of Contents,Table of Contents Foreword. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . xv Preface. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . xvii Part I. Introduction to Generative Deep Learning 1.Generative Modeling. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 3 What Is Generative Modeling? 4 Generative Versus Discriminative Modeling                                                           5 The Rise of Generative Modeling                                                                              6 Generative Modeling and AI                                                                                      8 Our First Generative Model                                                                                           9 Hello World. 9 The Generative Modeling Framework                                                                    10 Representation Learning                                                                                           12 Core Probability Theory                                                                                               15 Generative Model Taxonomy                                                                                       18 The Generative Deep Learning Codebase                                                                  20 Cloning the Repository                                                                                             20 Using Docker                                                                                                              21 Running on a GPU                                                                                                     21 Summary                                                                                                                         21 2.Deep Learning. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 23 Data for Deep Learning                                                                                                24 Deep Neural Networks                                                                                                  25 vii What Is a Neural Network? 25 Learning High-Level Features                                                                                  26 TensorFlow and Keras                                                                                               27 Multilayer Perceptron (MLP)                                                                                       28 Preparing the Data                                                                                                     28 Building the Model                                                                                                    30 Compiling the Model                                                                                                 35 Training the Model                                                                                                    37 Evaluating the Model                                                                                                 38 Convolutional Neural Network (CNN)                                                                      40 Convolutional Layers                                                                                                 41 Batch Normalization                                                                                                  46 Dropout                                                                                                                       49 Building the CNN                                                                                                      51 Training and Evaluating the CNN                                                                           53 Summary                                                                                                                         54 Part II.,4259
Table of Contents,Methods 3.Variational Autoencoders. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 59 Introduction                                                                                                                   60 Autoencoders                                                                                                                  61 The Fashion-MNIST Dataset                                                                                   62 The Autoencoder Architecture                                                                                63 The Encoder                                                                                                                64 The Decoder                                                                                                                65 Joining the Encoder to the Decoder                                                                        67 Reconstructing Images                                                                                              69 Visualizing the Latent Space                                                                                     70 Generating New Images                                                                                            71 Variational Autoencoders                                                                                             74 The Encoder                                                                                                                75 The Loss Function                                                                                                      80 Training the Variational Autoencoder                                                                    82 Analysis of the Variational Autoencoder                                                                84 Exploring the Latent Space                                                                                           85 The CelebA Dataset                                                                                                   85 Training the Variational Autoencoder                                                                    87 Analysis of the Variational Autoencoder                                                                89 Generating New Faces                                                                                               90 viii | Table of Contents Latent Space Arithmetic                                                                                            91 Morphing Between Faces                                                                                          92 Summary                                                                                                                         93 4.Generative Adversarial Networks. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 95 Introduction                                                                                                                   96 Deep Convolutional GAN (DCGAN)                                                                        97 The Bricks Dataset                                                                                                     98 The Discriminator                                                                                                      99 The Generator                                                                                                          101 Training the DCGAN                                                                                              104 Analysis of the DCGAN                                                                                          109 GAN Training: Tips and Tricks                                                                              110 Wasserstein GAN with Gradient Penalty (WGAN-GP)                                        113 Wasserstein Loss                                                                                                       114 The Lipschitz Constraint                                                                                        115 Enforcing the Lipschitz Constraint                                                                       116 The Gradient Penalty Loss                                                                                      117 Training the WGAN-GP                                                                                         119 Analysis of the WGAN-GP                                                                                     121 Conditional GAN (CGAN)                                                                                        122 CGAN Architecture                                                                                                 123 Training the CGAN                                                                                                 124 Analysis of the CGAN                                                                                             126 Summary                                                                                                                       127 5.Autoregressive Models.,5340
Table of Contents,. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 129 Introduction                                                                                                                 130 Long Short-Term Memory Network (LSTM)                                                         131 The Recipes Dataset                                                                                                 132 Working with Text Data                                                                                          133 Tokenization                                                                                                             134 Creating the Training Set                                                                                        137 The LSTM Architecture                                                                                          138 The Embedding Layer                                                                                             138 The LSTM Layer                                                                                                       140 The LSTM Cell                                                                                                         142 Training the LSTM                                                                                                   144 Analysis of the LSTM                                                                                              146 Recurrent Neural Network (RNN) Extensions                                                       149 Stacked Recurrent Networks                                                                                  149 Table of Contents | ix Gated Recurrent Units                                                                                             151 Bidirectional Cells                                                                                                    153 PixelCNN                                                                                                                      153 Masked Convolutional Layers                                                                                154 Residual Blocks                                                                                                         156 Training the PixelCNN                                                                                           158 Analysis of the PixelCNN                                                                                       159 Mixture Distributions                                                                                             162 Summary                                                                                                                       164 6.Normalizing Flow Models. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 167 Introduction                                                                                                                 168 Normalizing Flows                                                                                                      169 Change of Variables                                                                                                 170 The Jacobian Determinant                                                                                      172 The Change of Variables Equation                                                                        173 RealNVP                                                                                                                        174 The Two Moons Dataset                                                                                         174 Coupling Layers                                                                                                       175 Training the RealNVP Model                                                                                 181 Analysis of the RealNVP Model                                                                            184 Other Normalizing Flow Models                                                                              186 GLOW                                                                                                                       186 FFJORD                                                                                                                     187 Summary                                                                                                                       188 7.Energy-Based Models.,4668
Table of Contents,". . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 189 Introduction                                                                                                                 189 Energy-Based Models                                                                                                  191 The MNIST Dataset                                                                                                 192 The Energy Function                                                                                               193 Sampling Using Langevin Dynamics                                                                    194 Training with Contrastive Divergence                                                                  197 Analysis of the Energy-Based Model                                                                    201 Other Energy-Based Models                                                                                  202 Summary                                                                                                                       203 8.Diffusion  Models. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 205 Introduction                                                                                                                 206 Denoising Diffusion Models (DDM)                                                                        208 The Flowers Dataset                                                                                                208 x | Table of Contents The Forward Diffusion Process                                                                             209 The Reparameterization Trick                                                                               210 Diffusion Schedules                                                                                                 211 The Reverse Diffusion Process                                                                               214 The U-Net Denoising Model                                                                                  217 Training the Diffusion Model                                                                                224 Sampling from the Denoising Diffusion Model                                                  225 Analysis of the Diffusion Model                                                                            228 Summary                                                                                                                       231 Part III. Applications 9.Transformers. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 235 Introduction                                                                                                                 236 GPT                                                                                                                                236 The Wine Reviews Dataset                                                                                     237 Attention                                                                                                                   238 Queries, Keys, and Values                                                                                       239 Multihead Attention                                                                                                241 Causal Masking                                                                                                        242 The Transformer Block                                                                                           245 Positional Encoding                                                                                                 248 Training GPT                                                                                                            250 Analysis of GPT                                                                                                        252 Other Transformers                                                                                                     255 T5                                                                                                                                256 GPT-3 and GPT-4                                                                                                    259 ChatGPT                                                                                                                    260 Summary                                                                                                                       264 10.",4822
Table of Contents,Advanced GANs. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 267 Introduction                                                                                                                 268 ProGAN                                                                                                                        269 Progressive Training                                                                                                269 Outputs                                                                                                                      276 StyleGAN                                                                                                                      277 The Mapping Network                                                                                            278 The Synthesis Network                                                                                            279 Outputs from StyleGAN                                                                                         280 StyleGAN2                                                                                                                    281 Table of Contents | xi Weight Modulation and Demodulation                                                                282 Path Length Regularization                                                                                    283 No Progressive Growing                                                                                         284 Outputs from StyleGAN2                                                                                       286 Other Important GANs                                                                                              286 Self-Attention GAN (SAGAN)                                                                               286 BigGAN                                                                                                                     288 VQ-GAN                                                                                                                   289 ViT VQ-GAN                                                                                                           292 Summary                                                                                                                       294 11. Music Generation. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 297 Introduction                                                                                                                 298 Transformers for Music Generation                                                                         299 The Bach Cello Suite Dataset                                                                                 300 Parsing MIDI Files                                                                                                   300 Tokenization                                                                                                             303 Creating the Training Set                                                                                        304 Sine Position Encoding                                                                                           305 Multiple Inputs and Outputs                                                                                  307 Analysis of the Music-Generating Transformer                                                  309 Tokenization of Polyphonic Music                                                                        313 MuseGAN                                                                                                                     317 The Bach Chorale Dataset                                                                                      317 The MuseGAN Generator                                                                                      320 The MuseGAN Critic                                                                                              326 Analysis of the MuseGAN                                                                                      327 Summary                                                                                                                       329 12.,4445
Table of Contents,World Models. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 331 Introduction                                                                                                                 331 Reinforcement Learning                                                                                             332 The CarRacing Environment                                                                                 334 World Model Overview                                                                                              336 Architecture                                                                                                              336 Training                                                                                                                     338 Collecting Random Rollout Data                                                                              339 Training the V AE                                                                                                         340 The V AE Architecture                                                                                             341 Exploring the V AE                                                                                                   343 Collecting Data to Train the MDN-RNN                                                                 346 xii | Table of Contents Training the MDN-RNN                                                                                            346 The MDN-RNN Architecture                                                                                347 Sampling from the MDN-RNN                                                                             348 Training the Controller                                                                                               348 The Controller Architecture                                                                                   349 CMA-ES                                                                                                                     349 Parallelizing CMA-ES                                                                                              351 In-Dream Training                                                                                                      353 Summary                                                                                                                       356 13. Multimodal Models. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 359 Introduction                                                                                                                 360 DALL.E 2                                                                                                                       361 Architecture                                                                                                              362 The Text Encoder                                                                                                     362 CLIP                                                                                                                           362 The Prior                                                                                                                   367 The Decoder                                                                                                             369 Examples from DALL.E 2                                                                                       373 Imagen                                                                                                                           377 Architecture                                                                                                              377 DrawBench                                                                                                               378 Examples from Imagen                                                                                           379 Stable Diffusion                                                                                                            380 Architecture                                                                                                              380 Examples from Stable Diffusion                                                                            381 Flamingo                                                                                                                       381 Architecture                                                                                                              382 The Vision Encoder                                                                                                 382 The Perceiver Resampler                                                                                         383 The Language Model                                                                                               385 Examples from Flamingo                                                                                        388 Summary                                                                                                                       389 14.,5393
Table of Contents,Conclusion. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 391 Timeline of Generative AI                                                                                          392 2014–2017: The V AE and GAN Era                                                                      394 2018–2019: The Transformer Era                                                                          394 2020–2022: The Big Model Era                                                                              395 The Current State of Generative AI                                                                          396 Large Language Models                                                                                           396 Table of Contents | xiii Text-to-Code Models                                                                                               400 Text-to-Image Models                                                                                             402 Other Applications                                                                                                   405 The Future of Generative AI                                                                                      407 Generative AI in Everyday Life                                                                              407 Generative AI in the Workplace                                                                            409 Generative AI in Education                                                                                    410 Generative AI Ethics and Challenges                                                                    411 Final Thoughts                                                                                                             413 Index. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 417 xiv | Table of Contents,2050
Foreword,"Foreword This book is becoming part of my life. On finding a copy in my living room I asked my son, “When did you get this?” He replied, “When you gave it to me, ” bemused by my senior moment. Going through various sections together, I came to regard Gener‐ ative Deep Learning  as the Gray’s Anatomy  of Generative AI. The author dissects the anatomy of generative AI with an incredible clarity and reas‐ suring authority. He offers a truly remarkable account of a fast-moving field, under‐ written with pragmatic examples, engaging narratives, and references that are so current, it reads like a living history. Throughout his deconstructions, the author maintains a sense of wonder and excite‐ ment about the potential of generative AI—especially evident in the book’s compel‐ ling dénouement. Having laid bare the technology, he reminds us that we are at the dawn of a new age of intelligence, an age in which generative AI holds a mirror up to our language, our art, our creativity; reflecting not just what we have created, but what we could create—what we can create—limited only by “your own imagination. ” The central theme of generative models in artificial intelligence resonates deeply with me, because I see exactly the same themes emerging in the natural sciences; namely, a view of ourselves as generative models of our lived world. I suspect in the next edition of this book we will read about the confluence of artificial and natural intelligence. Until that time, I will keep this edition next to my copy of Gray’s Anatomy , and other treasures on my bookshelf. — Karl Friston, FRS Professor of Neuroscience University College London xv",1654
